arm,status,FE,decoderCalls,illegalSolutions,duplicateEvaluations,passiveObserved,qgSelections,pddrEvents,baselineUpdateEvents,fixedNeighborhoodEvents,formalLocalFE,dscrTeacherUses,dscrValidityChecks,dscrReplacements,dscrDominatedTeacherUses,cfvfOffspring,cfvfRepairs,qpActions,qpTransitions,archiveInsertions,dualQP,dualQG,caTaLiteTest,caTaLiteApply,directionalPoolRequests,directionalPoolFiltered,frontSize,initialPopulationHash,profileSha256
A0,COMPLETED,2000,2000,0,0,2000,200,1,500,1858,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0c8ed9ab0c7500e3e33df659fe52f536b7f5af7a17726bd1749939220c51da01,d3e23d26c604e6afbae1fdcf1156a983739e6ec8d57e329f828a5fa1a9f64271
A1,COMPLETED,2000,2000,0,0,2000,200,1,500,1801,1490,200,392,58,0,0,0,0,0,0,0,0,0,0,0,0,23,0c8ed9ab0c7500e3e33df659fe52f536b7f5af7a17726bd1749939220c51da01,572f480119c154a26ff422e17a163c302072b763d772d70575ce2b82866c6cef
A2,COMPLETED,2000,2000,0,0,2000,200,1,0,1789,1490,200,392,32,0,500,0,0,0,0,0,0,0,0,0,0,42,0c8ed9ab0c7500e3e33df659fe52f536b7f5af7a17726bd1749939220c51da01,08ec3fa3f97f9171a70f4015a09ccec69cfd35957f5c8eca2206967b120734f1
A3,COMPLETED,2000,2000,0,0,2000,200,1,0,1883,1490,200,392,26,0,500,0,310,160,10,16,15,0,0,0,0,14,0c8ed9ab0c7500e3e33df659fe52f536b7f5af7a17726bd1749939220c51da01,15b205c53d38e8b132762a3d9809adb149443e1c0f586107924a0464cbf03224
A4,COMPLETED,1525,1525,0,0,1525,400,2,0,602,475,400,792,49,0,1000,0,810,410,20,41,40,25,15,0,0,30,0c8ed9ab0c7500e3e33df659fe52f536b7f5af7a17726bd1749939220c51da01,28f409456f759ee615a29950e5100389ac23513ca4fec3bb9961a6b7d9714ce5
