tauAbs,tauGap,strictCoverage,missedPositiveBestRate,meanRegret,p95Regret,samples,positiveSamples,feasible
0.6702813259931484,0.020254584305865686,0.2777777777777778,0.1,0.006717365160793929,0.12091257289429022,18,10,false
0.6702813259931484,0.023355115101141743,0.2222222222222222,0.1,0.006717365160793929,0.12091257289429022,18,10,false
0.6702813259931484,0.035867209301071235,0.1111111111111111,0.0,2.755691205027163E-17,4.960244169048894E-16,18,10,true
0.6702813259931484,0.07132287458974573,0.05555555555555555,0.0,2.755691205027163E-17,4.960244169048894E-16,18,10,false
0.6702813259931484,0.07600797096512346,0.0,0.0,0.0,0.0,18,10,false
0.7043115598804346,0.020254584305865686,0.2222222222222222,0.1,0.006717365160793929,0.12091257289429022,18,10,false
0.7043115598804346,0.023355115101141743,0.16666666666666666,0.1,0.006717365160793929,0.12091257289429022,18,10,false
0.7043115598804346,0.035867209301071235,0.1111111111111111,0.0,2.755691205027163E-17,4.960244169048894E-16,18,10,true
0.7043115598804346,0.07132287458974573,0.05555555555555555,0.0,2.755691205027163E-17,4.960244169048894E-16,18,10,false
0.7043115598804346,0.07600797096512346,0.0,0.0,0.0,0.0,18,10,false
0.739738440822628,0.020254584305865686,0.16666666666666666,0.1,0.006717365160793929,0.12091257289429022,18,10,false
0.739738440822628,0.023355115101141743,0.1111111111111111,0.1,0.006717365160793929,0.12091257289429022,18,10,false
0.739738440822628,0.035867209301071235,0.05555555555555555,0.0,2.755691205027163E-17,4.960244169048894E-16,18,10,false
0.739738440822628,0.07132287458974573,0.05555555555555555,0.0,2.755691205027163E-17,4.960244169048894E-16,18,10,false
0.739738440822628,0.07600797096512346,0.0,0.0,0.0,0.0,18,10,false
0.772671168599766,0.020254584305865686,0.05555555555555555,0.0,0.0,0.0,18,10,false
0.772671168599766,0.023355115101141743,0.0,0.0,0.0,0.0,18,10,false
0.772671168599766,0.035867209301071235,0.0,0.0,0.0,0.0,18,10,false
0.772671168599766,0.07132287458974573,0.0,0.0,0.0,0.0,18,10,false
0.772671168599766,0.07600797096512346,0.0,0.0,0.0,0.0,18,10,false
0.794040881450401,0.020254584305865686,0.05555555555555555,0.0,0.0,0.0,18,10,false
0.794040881450401,0.023355115101141743,0.0,0.0,0.0,0.0,18,10,false
0.794040881450401,0.035867209301071235,0.0,0.0,0.0,0.0,18,10,false
0.794040881450401,0.07132287458974573,0.0,0.0,0.0,0.0,18,10,false
0.794040881450401,0.07600797096512346,0.0,0.0,0.0,0.0,18,10,false
