seed,runDir,arm,window,granularity,representative,qgTeacherUses,qpTeacherUses,teacherExposure,improvedOffspring,teacherUseCyclesCount
20260901,A2_CFVF,A2,W1,representative,E_C,0,0,0,0,1
20260901,A2_CFVF,A2,W1,representative,E_E,0,0,0,0,1
20260901,A2_CFVF,A2,W1,representative,E_W,0,0,0,0,1
20260901,A2_CFVF,A2,W1,representative,E_B,14,0,14,8,1
20260901,A2_CFVF,A2,W1,total,ALL,14,0,14,8,4
20260901,A2_CFVF,A2,W2,representative,E_C,34,0,34,275,2
20260901,A2_CFVF,A2,W2,representative,E_E,0,0,0,0,2
20260901,A2_CFVF,A2,W2,representative,E_W,0,0,0,0,2
20260901,A2_CFVF,A2,W2,representative,E_B,0,0,0,0,2
20260901,A2_CFVF,A2,W2,total,ALL,34,0,34,275,8
20260901,A4_BUDGET_AWARE_CATA,A4,W1,representative,E_C,35,3492,3527,1146,7
20260901,A4_BUDGET_AWARE_CATA,A4,W1,representative,E_E,0,424,424,159,7
20260901,A4_BUDGET_AWARE_CATA,A4,W1,representative,E_W,8,4937,4945,1592,7
20260901,A4_BUDGET_AWARE_CATA,A4,W1,representative,E_B,1,20,21,2,7
20260901,A4_BUDGET_AWARE_CATA,A4,W1,total,ALL,44,8873,8917,2899,28
20260901,A4_BUDGET_AWARE_CATA,A4,W2,representative,E_C,0,1062,1062,328,5
20260901,A4_BUDGET_AWARE_CATA,A4,W2,representative,E_E,0,83,83,25,5
20260901,A4_BUDGET_AWARE_CATA,A4,W2,representative,E_W,0,48,48,16,5
20260901,A4_BUDGET_AWARE_CATA,A4,W2,representative,E_B,0,23,23,0,5
20260901,A4_BUDGET_AWARE_CATA,A4,W2,total,ALL,0,1216,1216,369,20
20260902,A2_CFVF,A2,W1,representative,E_C,0,0,0,0,1
20260902,A2_CFVF,A2,W1,representative,E_E,0,0,0,0,1
20260902,A2_CFVF,A2,W1,representative,E_W,0,0,0,0,1
20260902,A2_CFVF,A2,W1,representative,E_B,10,0,10,0,1
20260902,A2_CFVF,A2,W1,total,ALL,10,0,10,0,4
20260902,A2_CFVF,A2,W2,representative,E_C,0,0,0,0,2
20260902,A2_CFVF,A2,W2,representative,E_E,3,0,3,69,2
20260902,A2_CFVF,A2,W2,representative,E_W,2,0,2,20,2
20260902,A2_CFVF,A2,W2,representative,E_B,0,0,0,0,2
20260902,A2_CFVF,A2,W2,total,ALL,5,0,5,89,8
20260902,A4_BUDGET_AWARE_CATA,A4,W1,representative,E_C,60,4750,4810,1713,7
20260902,A4_BUDGET_AWARE_CATA,A4,W1,representative,E_E,0,1906,1906,761,7
20260902,A4_BUDGET_AWARE_CATA,A4,W1,representative,E_W,27,6670,6697,2016,7
20260902,A4_BUDGET_AWARE_CATA,A4,W1,representative,E_B,2,20,22,2,7
20260902,A4_BUDGET_AWARE_CATA,A4,W1,total,ALL,89,13346,13435,4492,28
20260902,A4_BUDGET_AWARE_CATA,A4,W2,representative,E_C,0,128,128,50,5
20260902,A4_BUDGET_AWARE_CATA,A4,W2,representative,E_E,0,166,166,62,5
20260902,A4_BUDGET_AWARE_CATA,A4,W2,representative,E_W,0,410,410,134,5
20260902,A4_BUDGET_AWARE_CATA,A4,W2,representative,E_B,0,9,9,0,5
20260902,A4_BUDGET_AWARE_CATA,A4,W2,total,ALL,0,713,713,246,20
20260903,A2_CFVF,A2,W1,representative,E_C,0,0,0,0,1
20260903,A2_CFVF,A2,W1,representative,E_E,0,0,0,0,1
20260903,A2_CFVF,A2,W1,representative,E_W,44,0,44,107,1
20260903,A2_CFVF,A2,W1,representative,E_B,0,0,0,0,1
20260903,A2_CFVF,A2,W1,total,ALL,44,0,44,107,4
20260903,A2_CFVF,A2,W2,representative,E_C,0,0,0,0,2
20260903,A2_CFVF,A2,W2,representative,E_E,1,0,1,0,2
20260903,A2_CFVF,A2,W2,representative,E_W,1,0,1,4,2
20260903,A2_CFVF,A2,W2,representative,E_B,1,0,1,0,2
20260903,A2_CFVF,A2,W2,total,ALL,3,0,3,4,8
20260903,A4_BUDGET_AWARE_CATA,A4,W1,representative,E_C,0,172,172,33,7
20260903,A4_BUDGET_AWARE_CATA,A4,W1,representative,E_E,1,171,172,85,7
20260903,A4_BUDGET_AWARE_CATA,A4,W1,representative,E_W,0,137,137,35,7
20260903,A4_BUDGET_AWARE_CATA,A4,W1,representative,E_B,0,973,973,44,7
20260903,A4_BUDGET_AWARE_CATA,A4,W1,total,ALL,1,1453,1454,197,28
20260903,A4_BUDGET_AWARE_CATA,A4,W2,representative,E_C,0,54,54,15,5
20260903,A4_BUDGET_AWARE_CATA,A4,W2,representative,E_E,0,1681,1681,608,5
20260903,A4_BUDGET_AWARE_CATA,A4,W2,representative,E_W,0,21,21,6,5
20260903,A4_BUDGET_AWARE_CATA,A4,W2,representative,E_B,2,6,8,1,5
20260903,A4_BUDGET_AWARE_CATA,A4,W2,total,ALL,2,1762,1764,630,20
