seed,instance,a2RunDir,a4RunDir,a2MaxNnd,a4MaxNnd,a2RoverflowW2,a4RoverflowW2,a2RetentionW1,a2RetentionW2,a4RetentionW1,a4RetentionW2,a2MaxCmaxGap,a4MaxCmaxGap,a2FirstLossFE,a4FirstLossFE,contrastNote
20260901,100_5_3_1,A2_CFVF,A4_BUDGET_AWARE_CATA,59,73,0.505,0.704,1.0,1.0,1.0,1.0,0.0,5.93612298365224,64495,13491,seed=20260901 A2 vs A4
20260902,100_5_3_1,A2_CFVF,A4_BUDGET_AWARE_CATA,70,76,0.67,0.658,1.0,1.0,1.0,1.0,0.0,3.650358667049886,64472,13491,seed=20260902 A2 vs A4
20260903,100_5_3_1,A2_CFVF,A4_BUDGET_AWARE_CATA,61,73,0.57,0.668,1.0,1.0,1.0,1.0,0.0,5.570080503054214,64493,13491,seed=20260903 A2 vs A4
