seed,runDir,arm,cycle,fe,Nmerge,Nunique,Nnd,Roverflow,window,windowPartial
20260901,A2_CFVF,A2,1,32295,300,244,40,0.4,W1,False
20260901,A2_CFVF,A2,2,64495,299,265,42,0.42,W2,True
20260901,A2_CFVF,A2,3,96680,299,257,59,0.59,W2,True
20260901,A4_BUDGET_AWARE_CATA,A4,1,6775,263,207,16,0.16,W1,False
20260901,A4_BUDGET_AWARE_CATA,A4,2,13491,259,213,36,0.36,W1,False
20260901,A4_BUDGET_AWARE_CATA,A4,3,20281,248,217,32,0.32,W1,False
20260901,A4_BUDGET_AWARE_CATA,A4,4,27182,248,209,60,0.6,W1,False
20260901,A4_BUDGET_AWARE_CATA,A4,5,34238,250,211,64,0.64,W1,False
20260901,A4_BUDGET_AWARE_CATA,A4,6,41501,258,213,56,0.56,W1,False
20260901,A4_BUDGET_AWARE_CATA,A4,7,49036,262,218,59,0.59,W1,False
20260901,A4_BUDGET_AWARE_CATA,A4,8,56932,259,216,72,0.72,W2,True
20260901,A4_BUDGET_AWARE_CATA,A4,9,65313,256,213,73,0.73,W2,True
20260901,A4_BUDGET_AWARE_CATA,A4,10,74366,273,230,64,0.64,W2,True
20260901,A4_BUDGET_AWARE_CATA,A4,11,84405,257,212,71,0.71,W2,True
20260901,A4_BUDGET_AWARE_CATA,A4,12,96025,269,226,72,0.72,W2,True
20260902,A2_CFVF,A2,1,32276,300,244,59,0.59,W1,False
20260902,A2_CFVF,A2,2,64472,300,270,64,0.64,W2,True
20260902,A2_CFVF,A2,3,96672,300,267,70,0.7,W2,True
20260902,A4_BUDGET_AWARE_CATA,A4,1,6775,275,219,21,0.21,W1,False
20260902,A4_BUDGET_AWARE_CATA,A4,2,13491,261,222,21,0.21,W1,False
20260902,A4_BUDGET_AWARE_CATA,A4,3,20281,251,210,26,0.26,W1,False
20260902,A4_BUDGET_AWARE_CATA,A4,4,27182,241,198,37,0.37,W1,False
20260902,A4_BUDGET_AWARE_CATA,A4,5,34238,260,221,38,0.38,W1,False
20260902,A4_BUDGET_AWARE_CATA,A4,6,41501,250,201,56,0.56,W1,False
20260902,A4_BUDGET_AWARE_CATA,A4,7,49036,256,215,45,0.45,W1,False
20260902,A4_BUDGET_AWARE_CATA,A4,8,56932,251,204,56,0.56,W2,True
20260902,A4_BUDGET_AWARE_CATA,A4,9,65313,267,224,67,0.67,W2,True
20260902,A4_BUDGET_AWARE_CATA,A4,10,74366,260,222,63,0.63,W2,True
20260902,A4_BUDGET_AWARE_CATA,A4,11,84405,271,236,67,0.67,W2,True
20260902,A4_BUDGET_AWARE_CATA,A4,12,96025,269,234,76,0.76,W2,True
20260903,A2_CFVF,A2,1,32295,300,242,49,0.49,W1,False
20260903,A2_CFVF,A2,2,64493,300,272,53,0.53,W2,True
20260903,A2_CFVF,A2,3,96653,300,264,61,0.61,W2,True
20260903,A4_BUDGET_AWARE_CATA,A4,1,6775,262,204,15,0.15,W1,False
20260903,A4_BUDGET_AWARE_CATA,A4,2,13491,256,212,24,0.24,W1,False
20260903,A4_BUDGET_AWARE_CATA,A4,3,20281,266,216,36,0.36,W1,False
20260903,A4_BUDGET_AWARE_CATA,A4,4,27182,261,215,48,0.48,W1,False
20260903,A4_BUDGET_AWARE_CATA,A4,5,34238,256,213,47,0.47,W1,False
20260903,A4_BUDGET_AWARE_CATA,A4,6,41501,260,222,50,0.5,W1,False
20260903,A4_BUDGET_AWARE_CATA,A4,7,49036,258,215,65,0.65,W1,False
20260903,A4_BUDGET_AWARE_CATA,A4,8,56932,253,207,51,0.51,W2,True
20260903,A4_BUDGET_AWARE_CATA,A4,9,65313,251,214,68,0.68,W2,True
20260903,A4_BUDGET_AWARE_CATA,A4,10,74366,262,221,73,0.73,W2,True
20260903,A4_BUDGET_AWARE_CATA,A4,11,84405,259,218,71,0.71,W2,True
20260903,A4_BUDGET_AWARE_CATA,A4,12,96025,252,209,71,0.71,W2,True
