seed,runDir,arm,window,windowStartFE,windowEndFE,rounds,meanNmerge,meanNnd,maxNnd,meanRoverflow,maxRoverflow,windowPartial
20260901,A2_CFVF,A2,W1,0,50000,1,300,40,40,0.4,0.4,COMPLETE_OR_NOMINAL
20260901,A2_CFVF,A2,W2,50000,96680,2,299,50.5,59,0.505,0.59,PARTIAL_SECOND_WINDOW
20260901,A4_BUDGET_AWARE_CATA,A4,W1,0,50000,7,255.428571,46.142857,64,0.461429,0.64,COMPLETE_OR_NOMINAL
20260901,A4_BUDGET_AWARE_CATA,A4,W2,50000,96025,5,262.8,70.4,73,0.704,0.73,PARTIAL_SECOND_WINDOW
20260902,A2_CFVF,A2,W1,0,50000,1,300,59,59,0.59,0.59,COMPLETE_OR_NOMINAL
20260902,A2_CFVF,A2,W2,50000,96672,2,300,67,70,0.67,0.7,PARTIAL_SECOND_WINDOW
20260902,A4_BUDGET_AWARE_CATA,A4,W1,0,50000,7,256.285714,34.857143,56,0.348571,0.56,COMPLETE_OR_NOMINAL
20260902,A4_BUDGET_AWARE_CATA,A4,W2,50000,96025,5,263.6,65.8,76,0.658,0.76,PARTIAL_SECOND_WINDOW
20260903,A2_CFVF,A2,W1,0,50000,1,300,49,49,0.49,0.49,COMPLETE_OR_NOMINAL
20260903,A2_CFVF,A2,W2,50000,96653,2,300,57,61,0.57,0.61,PARTIAL_SECOND_WINDOW
20260903,A4_BUDGET_AWARE_CATA,A4,W1,0,50000,7,259.857143,40.714286,65,0.407143,0.65,COMPLETE_OR_NOMINAL
20260903,A4_BUDGET_AWARE_CATA,A4,W2,50000,96025,5,255.4,66.8,73,0.668,0.73,PARTIAL_SECOND_WINDOW
