seed,runDir,arm,cycle,fe,cmaxGap,tecGap,twcGap,workingSize,archiveSize,firstRepLossFE,firstCmaxGapExpandFE,firstTecGapExpandFE,firstTwcGapExpandFE,firstNndGE90FE,firstNndGT100FE
20260901,A2_CFVF,A2,1,32295,0.0,0.0,0.0,100,79,64495,,,,,
20260901,A2_CFVF,A2,2,64495,0.0,706.0190766979649,0.0,100,127,64495,,64495,,,
20260901,A2_CFVF,A2,3,96680,0.0,54.518230780086014,0.0,100,168,64495,,64495,,,
20260901,A4_BUDGET_AWARE_CATA,A4,1,6775,0.0,2697.984101158174,4662.756729674584,100,38,13491,,,,,
20260901,A4_BUDGET_AWARE_CATA,A4,2,13491,0.0,581.8979366122367,478.59964183333796,100,88,13491,,,,,
20260901,A4_BUDGET_AWARE_CATA,A4,3,20281,0.0,1179.0760796422983,4450.522730850906,100,156,13491,,20281,20281,,
20260901,A4_BUDGET_AWARE_CATA,A4,4,27182,0.0,357.2985226404562,1585.9621330818627,100,228,13491,,20281,20281,,
20260901,A4_BUDGET_AWARE_CATA,A4,5,34238,0.0,285.67553316877456,1544.1171985358815,100,260,13491,,20281,20281,,
20260901,A4_BUDGET_AWARE_CATA,A4,6,41501,0.0,551.2775579034351,2294.7588194964337,100,260,13491,,20281,20281,,
20260901,A4_BUDGET_AWARE_CATA,A4,7,49036,0.0,554.8410613073211,1268.0121684703045,100,241,13491,,20281,20281,,
20260901,A4_BUDGET_AWARE_CATA,A4,8,56932,0.6743345646930266,197.96587234653998,894.5174099477008,100,245,13491,56932,20281,20281,,
20260901,A4_BUDGET_AWARE_CATA,A4,9,65313,5.93612298365224,485.7464572097524,5149.6283752491,100,262,13491,56932,20281,20281,,
20260901,A4_BUDGET_AWARE_CATA,A4,10,74366,5.93612298365224,332.7181900471769,5149.6283752491,100,289,13491,56932,20281,20281,,
20260901,A4_BUDGET_AWARE_CATA,A4,11,84405,2.9502851296268773,457.86427578785515,3068.9484899999225,100,268,13491,56932,20281,20281,,
20260901,A4_BUDGET_AWARE_CATA,A4,12,96025,0.0,139.32602627997403,3068.9484899999225,100,241,13491,56932,20281,20281,,
20260902,A2_CFVF,A2,1,32276,0.0,0.0,0.0,100,88,64472,,,,,
20260902,A2_CFVF,A2,2,64472,0.0,0.0,0.0,100,134,64472,,,,,
20260902,A2_CFVF,A2,3,96672,0.0,0.0,0.0,100,160,64472,,,,,
20260902,A4_BUDGET_AWARE_CATA,A4,1,6775,0.0,899.7967373195715,6876.0082791202,100,50,13491,,,,,
20260902,A4_BUDGET_AWARE_CATA,A4,2,13491,0.0,667.6668489042058,5829.168475318118,100,83,13491,,,,,
20260902,A4_BUDGET_AWARE_CATA,A4,3,20281,3.3756053446969645,587.2365826831665,366.0469052498229,100,105,13491,20281,,,,
20260902,A4_BUDGET_AWARE_CATA,A4,4,27182,3.1511070830805465,201.34699819124944,1518.0689251356525,100,109,13491,20281,,27182,,
20260902,A4_BUDGET_AWARE_CATA,A4,5,34238,3.650358667049886,902.4966364853899,1638.8089726925828,100,93,13491,20281,34238,27182,,
20260902,A4_BUDGET_AWARE_CATA,A4,6,41501,0.0,964.7487964173051,2887.589397780248,100,119,13491,20281,34238,27182,,
20260902,A4_BUDGET_AWARE_CATA,A4,7,49036,0.0,507.21080337348394,5593.564732544881,100,107,13491,20281,34238,27182,,
20260902,A4_BUDGET_AWARE_CATA,A4,8,56932,0.0,562.9977856749902,1445.5134818609222,100,148,13491,20281,34238,27182,,
20260902,A4_BUDGET_AWARE_CATA,A4,9,65313,0.0,741.8206571229675,2740.0644510714337,100,167,13491,20281,34238,27182,,
20260902,A4_BUDGET_AWARE_CATA,A4,10,74366,0.0,855.0320289262163,2740.0644510714337,100,189,13491,20281,34238,27182,,
20260902,A4_BUDGET_AWARE_CATA,A4,11,84405,0.0,561.1635212835972,2740.0644510714337,100,224,13491,20281,34238,27182,,
20260902,A4_BUDGET_AWARE_CATA,A4,12,96025,0.0,609.819413885125,5041.768167634611,100,224,13491,20281,34238,27182,,
20260903,A2_CFVF,A2,1,32295,0.0,0.0,0.0,100,69,64493,,,,,
20260903,A2_CFVF,A2,2,64493,0.0,295.6075022977311,0.0,100,102,64493,,64493,,,
20260903,A2_CFVF,A2,3,96653,0.0,0.0,0.0,100,103,64493,,64493,,,
