runId,eventFamily,eventCountTotal,eventsRetained,streamComplete,legacySummaryFullCapture,correction
seed-20260822:D0_A2_CONTROL,QP,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260822:D0_A2_CONTROL,LINEAGE,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260822:D0_A2_CONTROL,DUAL_Q,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260822:D1_PA_DIRECTIONAL,QP,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260822:D1_PA_DIRECTIONAL,LINEAGE,674,674,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260822:D1_PA_DIRECTIONAL,DUAL_Q,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260822:D2_QP_SYNCHRONOUS,QP,31305,31305,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260822:D2_QP_SYNCHRONOUS,LINEAGE,669,669,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260822:D2_QP_SYNCHRONOUS,DUAL_Q,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260822:D3_A3_BLOCK_FROZEN,QP,13326,13326,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260822:D3_A3_BLOCK_FROZEN,LINEAGE,653,653,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260822:D3_A3_BLOCK_FROZEN,DUAL_Q,100,100,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260823:D0_A2_CONTROL,QP,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260823:D0_A2_CONTROL,LINEAGE,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260823:D0_A2_CONTROL,DUAL_Q,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260823:D1_PA_DIRECTIONAL,QP,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260823:D1_PA_DIRECTIONAL,LINEAGE,662,662,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260823:D1_PA_DIRECTIONAL,DUAL_Q,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260823:D2_QP_SYNCHRONOUS,QP,31124,31124,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260823:D2_QP_SYNCHRONOUS,LINEAGE,645,645,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260823:D2_QP_SYNCHRONOUS,DUAL_Q,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260823:D3_A3_BLOCK_FROZEN,QP,13291,13291,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260823:D3_A3_BLOCK_FROZEN,LINEAGE,668,668,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260823:D3_A3_BLOCK_FROZEN,DUAL_Q,100,100,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260824:D0_A2_CONTROL,QP,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260824:D0_A2_CONTROL,LINEAGE,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260824:D0_A2_CONTROL,DUAL_Q,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260824:D1_PA_DIRECTIONAL,QP,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260824:D1_PA_DIRECTIONAL,LINEAGE,653,653,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260824:D1_PA_DIRECTIONAL,DUAL_Q,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260824:D2_QP_SYNCHRONOUS,QP,31069,31069,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260824:D2_QP_SYNCHRONOUS,LINEAGE,653,653,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260824:D2_QP_SYNCHRONOUS,DUAL_Q,0,0,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260824:D3_A3_BLOCK_FROZEN,QP,13268,13268,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260824:D3_A3_BLOCK_FROZEN,LINEAGE,668,668,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
seed-20260824:D3_A3_BLOCK_FROZEN,DUAL_Q,100,100,true,false,raw events complete; legacy fullCapture field is metadata-only and superseded
