runId,seed,arm,frontSize,exactUniqueFrontSize,minCmax,minTEC,minTWC,HV,IGD,Spacing,fullEvaluations,decoderCalls,initialPopulationHash,archiveInsertions,qpActions,dualQWarmup,dualQP,dualQG,leaderEvents,leaderFallbacks,archiveDirectionalEvents,qpLeaderEvents
seed-20260822:D0_A2_CONTROL,20260822,D0_A2_CONTROL,122,122,191.14300512774835,8489.136296001067,12689.662683177467,1.0734562990759335,0.0302590129846838,0.027666315983775825,50000,50000,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,0,0,0,0,0,0,0,0,0
seed-20260822:D1_PA_DIRECTIONAL,20260822,D1_PA_DIRECTIONAL,126,126,197.96111808476982,8712.543648075249,12857.686011736765,0.9667096088122431,0.07317317974366995,0.03473342239264826,50000,50000,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,200,0,0,0,0,10000,0,10000,0
seed-20260822:D2_QP_SYNCHRONOUS,20260822,D2_QP_SYNCHRONOUS,104,104,183.3983599631338,8766.59841036019,12998.545703018826,0.9249191568053834,0.09520369801910646,0.0325846777016932,50000,50000,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,200,10000,0,0,0,10000,0,0,10000
seed-20260822:D3_A3_BLOCK_FROZEN,20260822,D3_A3_BLOCK_FROZEN,109,109,186.68938940650585,8779.393694026148,12918.331913279868,0.8868979988775901,0.130792669184599,0.037668603309204615,50000,50000,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,200,5100,49,26,25,10000,0,0,5100
seed-20260823:D0_A2_CONTROL,20260823,D0_A2_CONTROL,151,151,198.3244872679701,8590.967766285668,12867.048610517702,0.9845059528089932,0.07038434528789221,0.027598651639804034,50000,50000,c2e535bb0da51a986255463f078c0d649170b5f8f306a6b868866af1dc7bccbb,0,0,0,0,0,0,0,0,0
seed-20260823:D1_PA_DIRECTIONAL,20260823,D1_PA_DIRECTIONAL,104,104,202.37276168642302,8607.459519167496,12745.88707348048,0.9934367175982088,0.06827155434001489,0.024876731176032413,50000,50000,c2e535bb0da51a986255463f078c0d649170b5f8f306a6b868866af1dc7bccbb,200,0,0,0,0,10000,0,10000,0
seed-20260823:D2_QP_SYNCHRONOUS,20260823,D2_QP_SYNCHRONOUS,107,107,203.4634393230276,8636.089519664833,12707.667888790347,0.9428376345019278,0.10127492962707982,0.02883907713021564,50000,50000,c2e535bb0da51a986255463f078c0d649170b5f8f306a6b868866af1dc7bccbb,200,10000,0,0,0,10000,0,0,10000
seed-20260823:D3_A3_BLOCK_FROZEN,20260823,D3_A3_BLOCK_FROZEN,128,128,199.86497275627178,8733.084475364052,12764.720093978296,0.9366333047807655,0.09821339582733447,0.030491017469337862,50000,50000,c2e535bb0da51a986255463f078c0d649170b5f8f306a6b868866af1dc7bccbb,200,5100,49,26,25,10000,0,0,5100
seed-20260824:D0_A2_CONTROL,20260824,D0_A2_CONTROL,127,127,200.99707441234597,8469.405562500544,12769.455039662727,1.0419712707540931,0.043238217252318155,0.02758065506313409,50000,50000,5c87299719b1fe1ca5aed031d768ec1ba6278d7e352515e6189c3906ea6c7131,0,0,0,0,0,0,0,0,0
seed-20260824:D1_PA_DIRECTIONAL,20260824,D1_PA_DIRECTIONAL,130,130,195.73516147199453,8697.313615424897,12750.233111415484,0.9480068768066803,0.08758472011066928,0.02972956839334714,50000,50000,5c87299719b1fe1ca5aed031d768ec1ba6278d7e352515e6189c3906ea6c7131,200,0,0,0,0,10000,0,10000,0
seed-20260824:D2_QP_SYNCHRONOUS,20260824,D2_QP_SYNCHRONOUS,136,136,195.73516147199453,8555.2252992029,12828.649614764177,0.9410864368583258,0.10257011325025495,0.027160083997679583,50000,50000,5c87299719b1fe1ca5aed031d768ec1ba6278d7e352515e6189c3906ea6c7131,200,10000,0,0,0,10000,0,0,10000
seed-20260824:D3_A3_BLOCK_FROZEN,20260824,D3_A3_BLOCK_FROZEN,115,115,205.66386004772323,8565.281982500668,12506.083356934085,1.0133714791446349,0.06821746576987259,0.035099952433045124,50000,50000,5c87299719b1fe1ca5aed031d768ec1ba6278d7e352515e6189c3906ea6c7131,200,5100,49,26,25,10000,0,0,5100
