runId,manifestFiles,hashesVerified
seed-20260822:D0_A2_CONTROL,28,true
seed-20260822:D1_PA_DIRECTIONAL,28,true
seed-20260822:D2_QP_SYNCHRONOUS,28,true
seed-20260822:D3_A3_BLOCK_FROZEN,28,true
seed-20260823:D0_A2_CONTROL,28,true
seed-20260823:D1_PA_DIRECTIONAL,28,true
seed-20260823:D2_QP_SYNCHRONOUS,28,true
seed-20260823:D3_A3_BLOCK_FROZEN,28,true
seed-20260824:D0_A2_CONTROL,28,true
seed-20260824:D1_PA_DIRECTIONAL,28,true
seed-20260824:D2_QP_SYNCHRONOUS,28,true
seed-20260824:D3_A3_BLOCK_FROZEN,28,true
