gateId,item,expected,actual,verdict
G01,processExitCode,0,0,PASS
G02,status,COMPLETED,COMPLETED,PASS
G03,frontExistsAndNonEmpty,>0 points,387,PASS
G04,frontAllThreeObjectivesFinite,true,True,PASS
G05,actualFE=decoderCalls,equal,fe=500000 decoder=500000,PASS
G06,actualFE<=requestedMaxFE,<=500000,500000,PASS
G07,remainingFE<5000,<5000,0,PASS
G08,utilizationRate>0.99,>0.99,1.000000000000,PASS
G09,budgetTerminationKind,EXACT_MAX_FE or PHASE_CONSISTENT_TAIL_STOP,EXACT_MAX_FE,PASS
G10,illegalSolutions,0,0,PASS
G11,duplicateEvaluations,0,0,PASS
G12,unexplainedRepairs (cfvfRepairs),0,0,PASS
G13,sourceMissing (passiveObserved==fullEvaluations; gate free of sourceObservationLoss),0,observedCount=500000 gateFailures=NONE,PASS
G14,launcherFormalGateFailures,NONE,NONE,PASS
G15,formalJarSha256,8dad8f40266feeaa4cdb9b47dbe4e342d9064847df32c7f2933149b9b6bad8b9,8dad8f40266feeaa4cdb9b47dbe4e342d9064847df32c7f2933149b9b6bad8b9,PASS
G16,armProfileSha256,5b3cc542dafc22c1a32f1c0994bae25ffef040f6bfdf2aa6090a42f86cfd79d1,5b3cc542dafc22c1a32f1c0994bae25ffef040f6bfdf2aa6090a42f86cfd79d1,PASS
G17,snapshotSha256,84d845233e332a6612e5dfe93c97cbbeef40c4ee05766cbfd0e9446bd3043769,84d845233e332a6612e5dfe93c97cbbeef40c4ee05766cbfd0e9446bd3043769,PASS
G18,initialPopulationHashV35,179a82a3825566380ab6798aa898002d31565dad9d65802e57b295c2a4294c2d,179a82a3825566380ab6798aa898002d31565dad9d65802e57b295c2a4294c2d,PASS
G19,initialPopulationHashP8,7c6f8b425f2781653ce9705b82050652f063b461b24c0f93d9486e2c686ca2d3,7c6f8b425f2781653ce9705b82050652f063b461b24c0f93d9486e2c686ca2d3,PASS
G20,instanceSha256,2e88fa97a6f84af347a4603f04c387a65c8f9891bcab8ac6b70fdec622ea35cf,2e88fa97a6f84af347a4603f04c387a65c8f9891bcab8ac6b70fdec622ea35cf,PASS
G21,setupConfigurationSha256,E7E9FF7F646351FECB5801EC2EC177CEE2C00775173E4DE6841577695E8E58E1,E7E9FF7F646351FECB5801EC2EC177CEE2C00775173E4DE6841577695E8E58E1,PASS
G22,fatigueConfigurationSha256,81CAD959F27E461E41882E7353AC5F23574FA6DC50637F59E281B1E8788967A1,81CAD959F27E461E41882E7353AC5F23574FA6DC50637F59E281B1E8788967A1,PASS
G23,problemConfigurationSha256,892c7c3feddd09848bf35bac1a90a529153ad77b3cb712a36f357cd214cc79f4,892c7c3feddd09848bf35bac1a90a529153ad77b3cb712a36f357cd214cc79f4,PASS
G24,telemetry,OFF (false),telemetryFiles=0 configHasTelemetryKey=False,PASS
G25,ShiftMode,NONE,NONE,PASS
G25b,shiftRuntimeActivity,0,leftNanos=0 rightNanos=0 leftRecomp=0 rightRecomp=0,PASS
G26,PDDR,GLOBAL_ORIGINAL,GLOBAL_ORIGINAL,PASS
G27,seed,20260901,20260901,PASS
G28,population,100,100,PASS
G29,requestedMaxFE,500000,500000,PASS
G30,arm,A4,A4,PASS
G31,runId,V35PFC5F1-100_5_3_1-20260901-A4,V35PFC5F1-100_5_3_1-20260901-A4,PASS
G32,"freshRun (snapshot-bound, not regenerated)",snapshot-bound,initial population read from frozen snapshot,PASS
