fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived
1000,235.809311709654,235.809311709654,253.327460604323,261.263005345576,,,261.263005345576,
2000,224.903337724529,234.344488445699,263.420749046707,261.263005345576,,,,
3000,224.903337724529,224.903337724529,244.104732246968,261.263005345576,,,,
4000,223.313239680879,223.313239680879,262.195428980991,261.263005345576,,,,
5000,223.313239680879,223.313239680879,248.584938989423,261.263005345576,,,,
6000,223.313239680879,223.313239680879,244.873902550798,216.475188788972,216.475188788972,,216.475188788972,
7000,223.313239680879,223.313239680879,244.873902550798,216.475188788972,216.475188788972,,221.649671231363,
8000,223.313239680879,223.313239680879,244.873902550798,216.475188788972,216.475188788972,,222.769496688978,
9000,223.313239680879,223.313239680879,244.873902550798,216.475188788972,216.475188788972,,220.541526005806,
10000,223.313239680879,223.313239680879,244.873902550798,208.528006126034,208.528006126034,,208.528006126034,
11000,223.313239680879,223.313239680879,244.873902550798,208.528006126034,208.528006126034,,219.701095579498,
12000,223.313239680879,223.313239680879,244.873902550798,208.528006126034,208.528006126034,,253.130637280747,
13000,223.313239680879,223.313239680879,244.873902550798,208.528006126034,208.528006126034,,240.208039211954,
14000,223.313239680879,223.313239680879,244.873902550798,208.528006126034,208.528006126034,,280.298077728379,
15000,223.313239680879,223.313239680879,244.873902550798,208.528006126034,208.528006126034,,223.809130996928,
16000,223.313239680879,223.313239680879,244.873902550798,208.528006126034,208.528006126034,,219.285823570531,
17000,223.313239680879,223.313239680879,244.873902550798,208.528006126034,208.528006126034,,237.711600487151,
18000,223.313239680879,223.313239680879,244.873902550798,208.528006126034,208.528006126034,,258.828512476207,
19000,223.313239680879,223.313239680879,244.873902550798,208.528006126034,208.528006126034,,275.388106731641,
20000,223.313239680879,223.313239680879,244.873902550798,208.528006126034,208.528006126034,,312.557162318528,
