dataSource,sourceTeacherUsesCsv,sourceDscrEventsCsv,instance,seed,arm,budget,instanceClass,feWindowStart,feWindowEnd,totalSelections,uniqueTeacherCount,top1Share,top5Share,shannonEntropy,normalizedEntropy,splitG1_CMAX,splitG4_BALANCED,splitG2_TEC,splitG3_TWC,dominatedTeacherRatio,teacherIdentityBasis,dscrEventCount,meanDirectionScore,replacementRate,meanDominanceAge,qpScopeCoverage
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-100_5_3_1-20260916\dscr-teacher-uses.csv,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-100_5_3_1-20260916\dscr-events.csv,100_5_3_1,20260916,C0,250000,HARD_100JOB,0,50000,1520,292,0.069079,0.260526,6.654089,0.812482,0.250000,0.250000,0.250000,0.250000,0.000000,sha256(teacherId six-vector state blob),3032,114584.073335,0.044855,0.000000,NOT_EXPORTED(dscr-teacher-uses covers Qg scope only; Qp teacher exposure not exported by frozen jar at 250k)
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-100_5_3_1-20260916\dscr-teacher-uses.csv,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-100_5_3_1-20260916\dscr-events.csv,100_5_3_1,20260916,C0,250000,HARD_100JOB,50000,100000,1440,132,0.170833,0.415278,4.969091,0.705396,0.250000,0.250000,0.250000,0.250000,0.000000,sha256(teacherId six-vector state blob),2880,107205.592476,0.016667,0.000000,NOT_EXPORTED(dscr-teacher-uses covers Qg scope only; Qp teacher exposure not exported by frozen jar at 250k)
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-100_5_3_1-20260916\dscr-teacher-uses.csv,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-100_5_3_1-20260916\dscr-events.csv,100_5_3_1,20260916,C0,250000,HARD_100JOB,100000,150000,1244,83,0.209807,0.504019,4.320047,0.677650,0.250000,0.250000,0.250000,0.250000,0.000000,sha256(teacherId six-vector state blob),2488,106200.906620,0.008039,0.000000,NOT_EXPORTED(dscr-teacher-uses covers Qg scope only; Qp teacher exposure not exported by frozen jar at 250k)
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-100_5_3_1-20260916\dscr-teacher-uses.csv,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-100_5_3_1-20260916\dscr-events.csv,100_5_3_1,20260916,C0,250000,HARD_100JOB,150000,200000,1196,134,0.178930,0.591137,4.523391,0.640155,0.250000,0.250000,0.250000,0.250000,0.000000,sha256(teacherId six-vector state blob),2392,105805.215592,0.006271,0.000000,NOT_EXPORTED(dscr-teacher-uses covers Qg scope only; Qp teacher exposure not exported by frozen jar at 250k)
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-100_5_3_1-20260916\dscr-teacher-uses.csv,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-100_5_3_1-20260916\dscr-events.csv,100_5_3_1,20260916,C0,250000,HARD_100JOB,200000,250000,800,111,0.231250,0.656250,4.272551,0.628833,0.250000,0.250000,0.250000,0.250000,0.000000,sha256(teacherId six-vector state blob),1600,105554.839679,0.003750,0.000000,NOT_EXPORTED(dscr-teacher-uses covers Qg scope only; Qp teacher exposure not exported by frozen jar at 250k)
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\dscr-teacher-uses.csv,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\dscr-events.csv,50_2_3_1,20260916,C0,250000,NORMAL_50JOB,0,50000,1520,210,0.061842,0.232237,6.278301,0.813858,0.250000,0.250000,0.250000,0.250000,0.000000,sha256(teacherId six-vector state blob),3032,14338.468891,0.050132,0.000000,NOT_EXPORTED(dscr-teacher-uses covers Qg scope only; Qp teacher exposure not exported by frozen jar at 250k)
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\dscr-teacher-uses.csv,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\dscr-events.csv,50_2_3_1,20260916,C0,250000,NORMAL_50JOB,50000,100000,1440,123,0.140972,0.486111,4.921568,0.708903,0.250000,0.250000,0.250000,0.250000,0.000000,sha256(teacherId six-vector state blob),2880,13917.756874,0.015278,0.000000,NOT_EXPORTED(dscr-teacher-uses covers Qg scope only; Qp teacher exposure not exported by frozen jar at 250k)
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\dscr-teacher-uses.csv,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\dscr-events.csv,50_2_3_1,20260916,C0,250000,NORMAL_50JOB,100000,150000,1244,89,0.226688,0.610129,4.166909,0.643465,0.250000,0.250000,0.250000,0.250000,0.000000,sha256(teacherId six-vector state blob),2488,13856.305715,0.009646,0.000000,NOT_EXPORTED(dscr-teacher-uses covers Qg scope only; Qp teacher exposure not exported by frozen jar at 250k)
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\dscr-teacher-uses.csv,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\dscr-events.csv,50_2_3_1,20260916,C0,250000,NORMAL_50JOB,150000,200000,1196,151,0.202341,0.529264,4.761212,0.657771,0.250000,0.250000,0.250000,0.250000,0.000000,sha256(teacherId six-vector state blob),2392,13715.539085,0.009197,0.000000,NOT_EXPORTED(dscr-teacher-uses covers Qg scope only; Qp teacher exposure not exported by frozen jar at 250k)
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\dscr-teacher-uses.csv,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\dscr-events.csv,50_2_3_1,20260916,C0,250000,NORMAL_50JOB,200000,250000,800,129,0.227500,0.640000,4.457609,0.635782,0.250000,0.250000,0.250000,0.250000,0.000000,sha256(teacherId six-vector state blob),1600,13625.680656,0.006250,0.000000,NOT_EXPORTED(dscr-teacher-uses covers Qg scope only; Qp teacher exposure not exported by frozen jar at 250k)
