campaignId,remotePath,status,fileCount,totalBytes
zhangbo-cmax-audit-20k-20260812,/home/inspur/aicomp/zhangbo-cmax-audit-20k-20260812,PRESENT,24,47742981
zhangbo-fc-500k-20260817,/home/inspur/aicomp/zhangbo-fc-500k-20260817,PRESENT,104,2831158
zhangbo-fc4-20260817,/home/inspur/aicomp/zhangbo-fc4-20260817,PRESENT,88,694582
zhangbo-fc6-20260818,/home/inspur/aicomp/zhangbo-fc6-20260818,PRESENT,313,944083359
zhangbo-fc6a1-20260819,/home/inspur/aicomp/zhangbo-fc6a1-20260819,PRESENT,101,245488721
zhangbo-fc6a4-order-20260820,/home/inspur/aicomp/zhangbo-fc6a4-order-20260820,PRESENT,249,222942939
zhangbo-fc6b-region-20260820,/home/inspur/aicomp/zhangbo-fc6b-region-20260820,PRESENT,242,136822952
zhangbo-fc6b-region-20260820-r1,/home/inspur/aicomp/zhangbo-fc6b-region-20260820-r1,PRESENT,100,50309953
zhangbo-fc6b-region-20260820-r2,/home/inspur/aicomp/zhangbo-fc6b-region-20260820-r2,PRESENT,238,219260437
zhangbo-fc6b-region-20260820-r3,/home/inspur/aicomp/zhangbo-fc6b-region-20260820-r3,PRESENT,395,884993046
zhangbo-java-p9-decoder-timing-500k-20260811,/home/inspur/aicomp/zhangbo-java-p9-decoder-timing-500k-20260811,PRESENT,43,47655210
zhangbo-java-p9-five-additional-500k-20260810,/home/inspur/aicomp/zhangbo-java-p9-five-additional-500k-20260810,PRESENT,223,51053816
zhangbo-java-p9-pilot-20260810,/home/inspur/aicomp/zhangbo-java-p9-pilot-20260810,PRESENT,131,49737698
zhangbo-java-p9-single-500k-20260810,/home/inspur/aicomp/zhangbo-java-p9-single-500k-20260810,PRESENT,125,49843243
zhangbo-p86-pair-100k-20260811,/home/inspur/aicomp/zhangbo-p86-pair-100k-20260811,PRESENT,123,49741899
zhangbo-runtime-audit-100k-20260810,/home/inspur/aicomp/zhangbo-runtime-audit-100k-20260810,PRESENT,24,3892150
zhangbo-v35-doe1-20260820,/home/inspur/aicomp/zhangbo-v35-doe1-20260820,PRESENT,2056,7930136727
zhangbo-v35-doe1-heldout-20260822,/home/inspur/aicomp/zhangbo-v35-doe1-heldout-20260822,PRESENT,1577,3255989026
zhangbo-v35-p25a-main-variant-20260814,/home/inspur/aicomp/zhangbo-v35-p25a-main-variant-20260814,PRESENT,270,123524078
zhangbo-v35-p25d-8alg-50k-20260815,/home/inspur/aicomp/zhangbo-v35-p25d-8alg-50k-20260815,PRESENT,443,55354001
zhangbo-v35-p25e-corrected-50k-20260815,/home/inspur/aicomp/zhangbo-v35-p25e-corrected-50k-20260815,PRESENT,4963,722054431
zhangbo-v35-stage2-master-v2-20260823,/home/inspur/aicomp/zhangbo-v35-stage2-master-v2-20260823,PRESENT,6769,437543395
zhangbo-v35-stage2-phasebudget-20260823,/home/inspur/aicomp/zhangbo-v35-stage2-phasebudget-20260823,PRESENT,21,48351895
zhangbo-v35-stage2-phasebudget-20260823-r2,/home/inspur/aicomp/zhangbo-v35-stage2-phasebudget-20260823-r2,PRESENT,21,48336468
zhangbo-v35-stage2-phasebudget-20260823-r3,/home/inspur/aicomp/zhangbo-v35-stage2-phasebudget-20260823-r3,PRESENT,1194,107641605
