algorithm,frontSize,HV,IGD,Spacing,C_against_other,other_C_against_self,minCmax,minTEC,minTWC,maxCmax,maxTEC,maxTWC
ZHANGBO-FULL,592,0.985823023176,0.00255139598945,0.0161687705894,0.962616822430,0.00000000000,181.513888838,8342.04566127,12462.0762651,445.870305857,10793.9091687,18883.4493502
HMOPSO-QGS-F,214,0.741193744275,0.140344013608,0.0241625008356,0.00000000000,0.962616822430,207.812054799,8752.98231360,12622.3274157,449.462691124,11292.7441388,18880.4341879
