label,status,reason,initialHash,FE,frontSize,frontHash,baselineUpdates,cfvfOffspring,pddrEvents,archiveInsertions,qgSelections,qpActions,fixedEvents,cataTest,cataApply,formalOuter,formalQRounds,criticalSwap,criticalInsert,o1o9
FULL,PASS,,ffca83d43be7a67b8860ad5ccbd5e3d51c2a0f7880509879c59ecbeac0dc9ebe,20000,108,de9d4c006a2062516fae0e88fea3b417eadb4ebfb3589547a25394059b6ce77d,0,6600,66,6600,264,5900,0,9007,4293,0,0,0,0,0
B1,PASS,,ffca83d43be7a67b8860ad5ccbd5e3d51c2a0f7880509879c59ecbeac0dc9ebe,20000,80,da4d6a422f2e411dc0581690ee293016936dc71ab6eed7bfb9d670627ec7d45d,5000,0,1,0,200,0,17417,0,0,1,50,65,65,14770
