runId,algorithm,seed,instance,population,maxFEs,actualFE,decoderCalls,remainingFE,initialPopulationHashV35,canonicalFrontHash,frontSize,illegalSolutions,duplicateEvaluations,unexplainedRepairs,forbiddenMechanismEvents,crossoverCalls,mutationCalls,tournamentCalls,status,replayGroup,outputDir
EXT-2K-NSGAII-R1,NSGA-II-F,20260822,20_2_3_1,100,2000,2000,2000,0,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,22b2a082fadc8c22d5827d1d82838d6616bb6eed8181d2e0313ca9aedb267b19,65,0,0,0,0,950,1900,1900,COMPLETED,NSGAII-2K-20260822,run-NSGA-II-F-r1
EXT-2K-NSGAII-R2,NSGA-II-F,20260822,20_2_3_1,100,2000,2000,2000,0,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,22b2a082fadc8c22d5827d1d82838d6616bb6eed8181d2e0313ca9aedb267b19,65,0,0,0,0,950,1900,1900,COMPLETED,NSGAII-2K-20260822,run-NSGA-II-F-r2
EXT-2K-SPEA2-R1,SPEA2-F,20260822,20_2_3_1,100,2000,2000,2000,0,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,68d1faf5161f971f1988e85b31b15c10a840006bba150d201744ba9091f0ad06,100,0,0,0,0,1900,1900,3800,COMPLETED,SPEA2-2K-20260822,run-SPEA2-F-r1
EXT-2K-SPEA2-R2,SPEA2-F,20260822,20_2_3_1,100,2000,2000,2000,0,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,68d1faf5161f971f1988e85b31b15c10a840006bba150d201744ba9091f0ad06,100,0,0,0,0,1900,1900,3800,COMPLETED,SPEA2-2K-20260822,run-SPEA2-F-r2
