slot,lineage,JS,FA,MA,WA,Cmax,TEC,TWC,fingerprint
46,634,"3,1,4,5,8,2,6,0,9,7","0,1,1,0,1,1,1,0,0,0","0,0,1,0,1,0,1,0,1,0","0,1,0,1,0,1,0,1,0,0",56.934594502232166,1994.7126983734680,3078.5012787758674,"[3, 1, 4, 5, 8, 2, 6, 0, 9, 7]|[0, 1, 1, 0, 1, 1, 1, 0, 0, 0]|[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]|[0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
47,649,"3,1,4,5,8,2,7,6,0,9","0,1,1,0,1,1,0,0,1,0","1,0,1,1,1,0,1,0,0,1","0,1,0,0,0,1,0,1,1,0",47.646568103534210,2044.8901496644140,2912.2803417462965,"[3, 1, 4, 5, 8, 2, 7, 6, 0, 9]|[0, 1, 1, 0, 1, 1, 0, 0, 1, 0]|[1, 0, 1, 1, 1, 0, 1, 0, 0, 1]|[0, 1, 0, 0, 0, 1, 0, 1, 1, 0]"
48,668,"3,6,4,1,5,2,8,0,9,7","0,1,1,1,0,1,1,0,0,0","0,0,1,1,1,0,0,0,1,0","0,1,0,0,0,1,1,1,0,0",54.396349509787190,2000.2797931150847,3160.2380432216005,"[3, 6, 4, 1, 5, 2, 8, 0, 9, 7]|[0, 1, 1, 1, 0, 1, 1, 0, 0, 0]|[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]|[0, 1, 0, 0, 0, 1, 1, 1, 0, 0]"
49,679,"3,1,4,2,8,6,5,0,9,7","0,1,1,1,0,1,0,0,0,0","1,0,1,1,0,0,0,0,1,1","0,1,0,0,1,1,1,1,0,0",53.441289498372214,2056.7980058723824,2847.3106978702770,"[3, 1, 4, 2, 8, 6, 5, 0, 9, 7]|[0, 1, 1, 1, 0, 1, 0, 0, 0, 0]|[1, 0, 1, 1, 0, 0, 0, 0, 1, 1]|[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]"
50,690,"3,1,6,4,7,9,8,0,2,5","0,1,1,1,0,1,0,1,1,0","0,0,1,1,1,0,0,0,0,1","0,1,0,0,0,1,1,1,1,0",62.221559903716745,1993.5577929902352,3103.3679626436850,"[3, 1, 6, 4, 7, 9, 8, 0, 2, 5]|[0, 1, 1, 1, 0, 1, 0, 1, 1, 0]|[0, 0, 1, 1, 1, 0, 0, 0, 0, 1]|[0, 1, 0, 0, 0, 1, 1, 1, 1, 0]"
51,693,"3,2,8,1,5,6,0,4,9,7","0,1,1,1,0,0,0,1,0,0","0,0,1,0,0,1,0,1,1,0","0,1,0,1,1,0,1,0,0,1",61.092530578586725,2035.7196071729506,2862.7545614111740,"[3, 2, 8, 1, 5, 6, 0, 4, 9, 7]|[0, 1, 1, 1, 0, 0, 0, 1, 0, 0]|[0, 0, 1, 0, 0, 1, 0, 1, 1, 0]|[0, 1, 0, 1, 1, 0, 1, 0, 0, 1]"
52,718,"5,8,9,1,3,4,6,2,0,7","1,1,1,1,1,1,0,1,0,0","0,1,0,0,1,1,1,0,0,0","1,0,1,1,0,0,0,1,1,0",66.485888906017960,1977.3147499936458,3244.1455355133785,"[5, 8, 9, 1, 3, 4, 6, 2, 0, 7]|[1, 1, 1, 1, 1, 1, 0, 1, 0, 0]|[0, 1, 0, 0, 1, 1, 1, 0, 0, 0]|[1, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
53,724,"8,1,3,5,9,4,6,2,0,7","1,1,1,1,1,0,0,1,0,0","1,0,0,1,1,0,1,0,0,0","0,1,1,0,0,1,0,1,1,0",59.425787245371580,2000.5009104043560,3064.3912543602087,"[8, 1, 3, 5, 9, 4, 6, 2, 0, 7]|[1, 1, 1, 1, 1, 0, 0, 1, 0, 0]|[1, 0, 0, 1, 1, 0, 1, 0, 0, 0]|[0, 1, 1, 0, 0, 1, 0, 1, 1, 0]"
54,717,"3,1,6,2,5,4,0,8,9,7","0,1,1,1,0,1,0,1,1,0","0,0,1,0,0,1,0,1,0,1","0,1,0,1,1,0,1,0,1,0",57.365682596453810,2003.7002488426915,2992.9570753459534,"[3, 1, 6, 2, 5, 4, 0, 8, 9, 7]|[0, 1, 1, 1, 0, 1, 0, 1, 1, 0]|[0, 0, 1, 0, 0, 1, 0, 1, 0, 1]|[0, 1, 0, 1, 1, 0, 1, 0, 1, 0]"
55,735,"3,2,8,5,1,6,9,7,4,0","0,0,1,1,1,0,1,0,0,0","0,1,1,1,0,1,0,1,0,0","0,0,0,0,1,0,1,0,1,1",59.470298045275115,2062.3631345121170,2768.0459299941567,"[3, 2, 8, 5, 1, 6, 9, 7, 4, 0]|[0, 0, 1, 1, 1, 0, 1, 0, 0, 0]|[0, 1, 1, 1, 0, 1, 0, 1, 0, 0]|[0, 0, 0, 0, 1, 0, 1, 0, 1, 1]"
