seed,a2InitialPopulationHash,a3InitialPopulationHash,initialPopulationHashEqual,referenceFrontSize,a2FrontSize,a3FrontSize,a2HV,a3HV,deltaHV_A3_minus_A2,a2IGD,a3IGD,deltaIGD_A3_minus_A2,a2MinCmax,a3MinCmax,deltaMinCmax_A3_minus_A2,a2MinTEC,a3MinTEC,deltaMinTEC_A3_minus_A2,a2MinTWC,a3MinTWC,deltaMinTWC_A3_minus_A2,objectiveWins_A3,objectiveLosses_A3,qpTotal_A3,qpRetained_A3,qpRetentionRatio_A3,qpActionCounts_A3,qpMaxAbsAverageReward_A3,qpRewardAnomalyCandidate_A3,classification
20260822,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,True,128,122,109,0.9444821539113816,0.6966938657424395,-0.24778828816894205,0.0060017914336530885,0.1671146910645851,0.161112899630932,191.14300512774835,186.68938940650585,-4.4536157212425,8489.136296001067,8779.393694026148,290.2573980250818,12689.662683177467,12918.331913279868,228.66923010240134,1,2,13326,4096,0.3073690529791385,3571/650/838/41,936979519.9387417,True,REGRESSION_SIGNAL
20260823,c2e535bb0da51a986255463f078c0d649170b5f8f306a6b868866af1dc7bccbb,c2e535bb0da51a986255463f078c0d649170b5f8f306a6b868866af1dc7bccbb,True,185,151,128,1.0370742450401143,0.9752053128002844,-0.06186893223982981,0.01220954757097395,0.049906312591725635,0.037696765020751685,198.3244872679701,199.86497275627178,1.5404854883016696,8590.967766285668,8733.084475364052,142.1167090783838,12867.048610517702,12764.720093978296,-102.32851653940634,1,2,13291,4096,0.3081784666315552,4446/273/368/13,221672033.89179456,True,REGRESSION_SIGNAL
20260824,5c87299719b1fe1ca5aed031d768ec1ba6278d7e352515e6189c3906ea6c7131,5c87299719b1fe1ca5aed031d768ec1ba6278d7e352515e6189c3906ea6c7131,True,142,127,115,0.8610362425344779,0.8077573812308679,-0.053278861303609926,0.016239404374985136,0.06977261681582529,0.05353321244084015,200.99707441234597,205.66386004772323,4.666785635377266,8469.405562500544,8565.281982500668,95.8764200001242,12769.455039662727,12506.083356934085,-263.37168272864255,1,2,13268,4096,0.3087126921917395,4658/169/270/3,5113228770.099095,True,REGRESSION_SIGNAL
