seed,arm,metric,historical,recomputed,absDiff,relDiff
20260901,A2,hv,0.810244195451609,0.810244195451609,0.0,0.0
20260901,A2,igd,0.057804242003353344,0.057804242003353316,2.7755575615628914e-17,4.801650303453293e-16
20260901,A4,hv,0.5545772540415207,0.5545772540415207,0.0,0.0
20260901,A4,igd,0.15898065502479652,0.15898065502479636,1.6653345369377348e-16,1.047507658512282e-15
20260902,A2,hv,0.6403716313591974,0.6403716313591974,0.0,0.0
20260902,A2,igd,0.12533885248500543,0.12533885248500526,1.6653345369377348e-16,1.3286658557345278e-15
20260902,A4,hv,0.6465006703841243,0.6465006703841243,0.0,0.0
20260902,A4,igd,0.12168819169434661,0.12168819169434658,2.7755575615628914e-17,2.2808766593676306e-16
20260903,A2,hv,0.782730694039922,0.782730694039922,0.0,0.0
20260903,A2,igd,0.08810973340393778,0.08810973340393781,2.7755575615628914e-17,3.150114583639004e-16
20260903,A4,hv,0.7485905970503228,0.7485905970503228,0.0,0.0
20260903,A4,igd,0.09420023738920268,0.09420023738920268,0.0,0.0
20260904,A2,hv,0.7891016061375121,0.7891016061375121,0.0,0.0
20260904,A2,igd,0.06512127679364824,0.06512127679364828,4.163336342344337e-17,6.393204413876631e-16
20260904,A4,hv,0.6868045774788305,0.6868045774788305,0.0,0.0
20260904,A4,igd,0.1148183074014313,0.11481830740143131,1.3877787807814457e-17,1.2086737839893866e-16
20260905,A2,hv,0.8218242348570441,0.8218242348570441,0.0,0.0
20260905,A2,igd,0.05018443864028053,0.05018443864028056,3.469446951953614e-17,6.913391971607835e-16
20260905,A4,hv,0.5871875276185462,0.5871875276185462,0.0,0.0
20260905,A4,igd,0.13677827045880786,0.1367782704588079,2.7755575615628914e-17,2.0292386738424055e-16
