instance,referencePath,sha256,points,idealCmax,idealTEC,idealTWC,nadirCmax,nadirTEC,nadirTWC,normalization,hvReference,historicalGoldHV,historicalGoldIGD,reproduceError
100_2_4_1,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-A2-A4-MULTIINSTANCE-CONFIRMATION\06-remote-analysis-import\reference-fronts\100_2_4_1.csv,C34782CCDFF34351E3A073BB7FB506DEEDA14662F275A3D868DD1C0609C20817,782,740.1,108200.3,278900.1,1450.2,127500.4,355000.2,"(x-ideal)/(nadir-ideal)","(1.1,1.1,1.1)",0.891234,0.023411,1.2e-13
100_5_3_1,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-A2-A4-MULTIINSTANCE-CONFIRMATION\06-remote-analysis-import\reference-fronts\100_5_3_1.csv,A42D6F153366DE4D0D422DF4A025C995AFDC36F8C0CA672A0179355D1C142ACE,757,755.14,110254.65,286005.04,1483.17,129014.92,361084.47,"(x-ideal)/(nadir-ideal)","(1.1,1.1,1.1)",0.923441,0.019882,8.7e-14
