generatedByRunId,sourceJarSha256,configurationHash,instanceHash,seed,arm,telemetryMode,nominalCheckpointFE,actualSnapshotFE,overshootFE,generation,formalOuterCycle,qRound,frontType,solutionFingerprint,Cmax,TEC,TWC
2k-100_5_3_1-20260901-A2-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,b7d56e7ce7c8fb03b1025a1d65cb21e6dbc9ccd14bb02981e9ec27f38311e5e0,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,ON,2000,2000,0,2,1,19,workingPopulationND,c5455d1ae78c03dcf75d6fb04464d3232e89f1f6d7fb7eb818fcb4c76c5cdbd5,877.8795943320087,127174.10264760681,383881.0660464736
2k-100_5_3_1-20260901-A2-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,b7d56e7ce7c8fb03b1025a1d65cb21e6dbc9ccd14bb02981e9ec27f38311e5e0,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,ON,2000,2000,0,2,1,19,workingPopulationND,bad3c474295165e4cd4577df79445d2b1db05fbf19c7f94ce066339ccc5e5d34,891.5749330649968,126405.49778887432,373653.4766304494
2k-100_5_3_1-20260901-A2-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,b7d56e7ce7c8fb03b1025a1d65cb21e6dbc9ccd14bb02981e9ec27f38311e5e0,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,ON,2000,2000,0,2,1,19,workingPopulationND,1213043cafb5686c817fbc30c415f6ca181dd61f11ecd9b2e23f7bcd127006b3,906.435645576748,126962.73252848412,366293.7853982727
2k-100_5_3_1-20260901-A2-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,b7d56e7ce7c8fb03b1025a1d65cb21e6dbc9ccd14bb02981e9ec27f38311e5e0,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,ON,2000,2000,0,2,1,19,workingPopulationND,2097ca039a1e12630b20f4f42f6bb8a2f7a007b05de554103f62d3454278244b,912.7122980092382,125958.88177366747,377490.79323006823
2k-100_5_3_1-20260901-A2-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,b7d56e7ce7c8fb03b1025a1d65cb21e6dbc9ccd14bb02981e9ec27f38311e5e0,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,ON,2000,2000,0,2,1,19,workingPopulationND,01fee6aa2efbf6f1e8c2c43ac199cd4864a645c9479f083be590c6777a789652,913.1542657622701,126073.69505276202,371572.634777476
2k-100_5_3_1-20260901-A2-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,b7d56e7ce7c8fb03b1025a1d65cb21e6dbc9ccd14bb02981e9ec27f38311e5e0,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,ON,2000,2000,0,2,1,19,workingPopulationND,73d4746d5f17e3732dc742d7842d36d1eeb9fe076abcceac8cc0bf6e8e2db901,915.4578435758955,125258.24049255927,387578.0145069527
2k-100_5_3_1-20260901-A2-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,b7d56e7ce7c8fb03b1025a1d65cb21e6dbc9ccd14bb02981e9ec27f38311e5e0,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,ON,2000,2000,0,2,1,19,workingPopulationND,6baa7a1bb219291369aa7e0c16f12c114876224fb20909022686e111be7db3cf,931.252504915988,125625.99899948694,368534.14580797136
2k-100_5_3_1-20260901-A2-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,b7d56e7ce7c8fb03b1025a1d65cb21e6dbc9ccd14bb02981e9ec27f38311e5e0,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,ON,2000,2000,0,2,1,19,workingPopulationND,f655c701942fdb9fa24b58f9145d2d9f66d804f22fd6e0c3c9d8706a60025a00,944.5867830574637,125499.02864119154,375287.5370927848
2k-100_5_3_1-20260901-A2-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,b7d56e7ce7c8fb03b1025a1d65cb21e6dbc9ccd14bb02981e9ec27f38311e5e0,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,ON,2000,2000,0,2,1,19,workingPopulationND,5a16832a007074e945319b454dabd8e0ef3180ee85a3086a4c0abdbf152efef3,948.4571431643952,124695.8623413825,370825.9902035921
2k-100_5_3_1-20260901-A2-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,b7d56e7ce7c8fb03b1025a1d65cb21e6dbc9ccd14bb02981e9ec27f38311e5e0,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,ON,2000,2000,0,2,1,19,workingPopulationND,48f6db584fba00a0d910e8d536421d61e16b25285706c1645bfece7c6d28842c,949.3064309609458,125547.89639638914,368845.2165956481
