sample,generation,mainFE,parentSlot,factory,role,diagnosis,maximumType,maximumPressure,secondType,secondPressure,pressureGap,pSeq,pMac,pWor,pSet,pFat,action,allowed,cmax,tec,twc,qGain,accepted,bestOverall,bestAllowed,regret
1,1,5100,0,0,G1_CMAX,BAL,MAC,0.7291183067480722,SEQ,0.693251097447001,0.035867209301071235,0.693251097447001,0.7291183067480722,0.6703242722775564,0.1647432712781592,0.5755466762417261,N1,true,339.42803827195826,11865.471839493825,18134.82371360004,-0.15349315741759234,false,false,false,0.0
1,1,5100,0,0,G1_CMAX,BAL,MAC,0.7291183067480722,SEQ,0.693251097447001,0.035867209301071235,0.693251097447001,0.7291183067480722,0.6703242722775564,0.1647432712781592,0.5755466762417261,N2,true,354.35503117169,12046.522151183053,18077.41073294806,-0.292420982353564,false,false,false,0.0
1,1,5100,0,0,G1_CMAX,BAL,MAC,0.7291183067480722,SEQ,0.693251097447001,0.035867209301071235,0.693251097447001,0.7291183067480722,0.6703242722775564,0.1647432712781592,0.5755466762417261,N3,true,322.9360844679902,11810.521685541215,18020.921094888305,0.0,false,false,false,0.0
1,1,5100,0,0,G1_CMAX,BAL,MAC,0.7291183067480722,SEQ,0.693251097447001,0.035867209301071235,0.693251097447001,0.7291183067480722,0.6703242722775564,0.1647432712781592,0.5755466762417261,N4,true,322.9360844679902,12083.990142809826,20537.070819927747,0.0,false,false,false,0.0
1,1,5100,0,0,G1_CMAX,BAL,MAC,0.7291183067480722,SEQ,0.693251097447001,0.035867209301071235,0.693251097447001,0.7291183067480722,0.6703242722775564,0.1647432712781592,0.5755466762417261,N5,true,333.25947536280967,12099.28555514092,18731.692264631227,-0.09608139111574561,false,false,false,0.0
2,1,5150,20,0,G4_BALANCED,BAL,MAC,0.6702813259931484,WOR,0.6469262108920066,0.023355115101141743,0.6393003658742945,0.6702813259931484,0.6469262108920066,0.22806568370372804,0.5498821982302657,N1,true,284.2006596464607,10634.61098077622,15606.394201720728,-0.02723106291131339,false,false,false,0.0
2,1,5150,20,0,G4_BALANCED,BAL,MAC,0.6702813259931484,WOR,0.6469262108920066,0.023355115101141743,0.6393003658742945,0.6702813259931484,0.6469262108920066,0.22806568370372804,0.5498821982302657,N2,true,299.11492672526214,10727.88983701009,14680.539456686241,-0.0882671997785456,true,true,true,0.0
2,1,5150,20,0,G4_BALANCED,BAL,MAC,0.6702813259931484,WOR,0.6469262108920066,0.023355115101141743,0.6393003658742945,0.6702813259931484,0.6469262108920066,0.22806568370372804,0.5498821982302657,N3,true,268.1544884113902,10592.994939316632,15553.323600477112,0.0,false,false,false,0.0
2,1,5150,20,0,G4_BALANCED,BAL,MAC,0.6702813259931484,WOR,0.6469262108920066,0.023355115101141743,0.6393003658742945,0.6702813259931484,0.6469262108920066,0.22806568370372804,0.5498821982302657,N4,true,279.6782300411391,10850.773776161655,18250.784147518796,-0.16867514249639512,false,false,false,0.0
2,1,5150,20,0,G4_BALANCED,BAL,MAC,0.6702813259931484,WOR,0.6469262108920066,0.023355115101141743,0.6393003658742945,0.6702813259931484,0.6469262108920066,0.22806568370372804,0.5498821982302657,N5,true,282.2208364000312,10765.07064797229,15625.810485968344,-0.11259611158502947,false,false,false,0.0
3,1,5192,40,0,G4_BALANCED,BAL,MAC,0.7043115598804346,SEQ,0.7016733389814656,0.0026382208989690348,0.7016733389814656,0.7043115598804346,0.5371740462624115,0.2208301686270996,0.27042494707867304,N1,true,328.40811735079825,10006.1887027948,18841.732057395893,0.0,false,false,false,0.0
3,1,5192,40,0,G4_BALANCED,BAL,MAC,0.7043115598804346,SEQ,0.7016733389814656,0.0026382208989690348,0.7016733389814656,0.7043115598804346,0.5371740462624115,0.2208301686270996,0.27042494707867304,N2,true,384.5606295286235,9857.207938634718,17360.391390066772,-0.4584504481126695,true,false,false,0.0
3,1,5192,40,0,G4_BALANCED,BAL,MAC,0.7043115598804346,SEQ,0.7016733389814656,0.0026382208989690348,0.7016733389814656,0.7043115598804346,0.5371740462624115,0.2208301686270996,0.27042494707867304,N3,true,328.40811735079825,9963.671455165493,18302.75847267126,0.0259421162840085,true,true,true,0.0
3,1,5192,40,0,G4_BALANCED,BAL,MAC,0.7043115598804346,SEQ,0.7016733389814656,0.0026382208989690348,0.7016733389814656,0.7043115598804346,0.5371740462624115,0.2208301686270996,0.27042494707867304,N4,true,328.40811735079825,10143.530842573638,19152.807207059304,-0.05553187765896915,false,false,false,0.0
3,1,5192,40,0,G4_BALANCED,BAL,MAC,0.7043115598804346,SEQ,0.7016733389814656,0.0026382208989690348,0.7016733389814656,0.7043115598804346,0.5371740462624115,0.2208301686270996,0.27042494707867304,N5,true,307.39372795312244,10177.309852487982,18370.014381569126,0.08420913175459079,false,false,false,0.0
4,1,5250,60,2,G2_TEC,BAL,MAC,0.58545323483372,SEQ,0.5691126649372487,0.01634056989647137,0.5691126649372487,0.58545323483372,0.5224386625832649,0.1284180146076594,0.20667365853792935,N1,true,300.5743700470289,10682.361030850105,17716.99321376172,0.0,false,false,false,0.0
4,1,5250,60,2,G2_TEC,BAL,MAC,0.58545323483372,SEQ,0.5691126649372487,0.01634056989647137,0.5691126649372487,0.58545323483372,0.5224386625832649,0.1284180146076594,0.20667365853792935,N2,true,310.95956845309576,10798.952396916924,19605.240846422166,-0.0720757649900733,false,false,false,0.0
4,1,5250,60,2,G2_TEC,BAL,MAC,0.58545323483372,SEQ,0.5691126649372487,0.01634056989647137,0.5691126649372487,0.58545323483372,0.5224386625832649,0.1284180146076594,0.20667365853792935,N3,true,300.5743700470289,10618.050755220036,17239.469207395778,0.03975605114793147,true,true,true,0.0
4,1,5250,60,2,G2_TEC,BAL,MAC,0.58545323483372,SEQ,0.5691126649372487,0.01634056989647137,0.5691126649372487,0.58545323483372,0.5224386625832649,0.1284180146076594,0.20667365853792935,N4,true,300.5743700470289,11319.539565669822,16943.72982885276,-0.39389820946145543,false,false,false,0.0
4,1,5250,60,2,G2_TEC,BAL,MAC,0.58545323483372,SEQ,0.5691126649372487,0.01634056989647137,0.5691126649372487,0.58545323483372,0.5224386625832649,0.1284180146076594,0.20667365853792935,N5,true,301.5430893017326,10801.065909406721,17950.752755153237,-0.07338231996628747,false,false,false,0.0
5,1,5286,80,1,G3_TWC,BAL,SEQ,0.772671168599766,WOR,0.7636149097774566,0.009056258822309426,0.772671168599766,0.5507829099561548,0.7636149097774566,0.19800950777846799,0.426643774279453,N1,true,323.49688810569353,10869.572873307457,21555.292471080964,-0.1698287810488511,false,false,false,0.0
5,1,5286,80,1,G3_TWC,BAL,SEQ,0.772671168599766,WOR,0.7636149097774566,0.009056258822309426,0.772671168599766,0.5507829099561548,0.7636149097774566,0.19800950777846799,0.426643774279453,N2,true,250.17185563432895,11005.4691457952,20388.968109553934,-0.005745740054908699,false,false,false,0.0
5,1,5286,80,1,G3_TWC,BAL,SEQ,0.772671168599766,WOR,0.7636149097774566,0.009056258822309426,0.772671168599766,0.5507829099561548,0.7636149097774566,0.19800950777846799,0.426643774279453,N3,true,255.65458536613767,10575.19852149373,18499.18781436247,0.26011589147224784,true,true,true,0.0
5,1,5286,80,1,G3_TWC,BAL,SEQ,0.772671168599766,WOR,0.7636149097774566,0.009056258822309426,0.772671168599766,0.5507829099561548,0.7636149097774566,0.19800950777846799,0.426643774279453,N4,true,280.71979559707114,10544.627169551351,19162.21139035856,0.16683915972527472,true,false,false,0.0
5,1,5286,80,1,G3_TWC,BAL,SEQ,0.772671168599766,WOR,0.7636149097774566,0.009056258822309426,0.772671168599766,0.5507829099561548,0.7636149097774566,0.19800950777846799,0.426643774279453,N5,true,261.9862833832215,10600.24125102912,18787.151805604844,0.21960399877891607,false,false,false,0.0
