campaign,comparison,instance,seed,arm,actualFE,utilizationRate,HV,IGD,Cmax,TEC,TWC,frontSize,sourceFile
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_2_4_1,20260901,A2,500000,1.0,0.7306963639664148,0.14522209060387703,620.1836997274739,41089.95572985742,66667.75275693196,238,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_2_4_1,20260901,A4,500000,1.0,0.5328362532710226,0.21601775260574765,600.2649026781759,43025.26938338279,68244.76967492112,344,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_2_4_1,20260902,A2,500000,1.0,0.6935956685870694,0.20975212018806852,614.9815310364726,40353.5567553506,66453.77162276332,158,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_2_4_1,20260902,A4,500000,1.0,0.8088616455049923,0.06722419045585648,586.8569880405939,42140.610349784896,64864.39787642927,416,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_2_4_1,20260903,A2,500000,1.0,0.7783336589309433,0.08829471723923087,598.5782982772212,40845.83541478329,65861.34676501565,176,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_2_4_1,20260903,A4,500000,1.0,0.7651035403114184,0.09635531449510162,596.0347503055444,42299.900903846254,65903.28603675505,500,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_2_4_1,20260904,A2,500000,1.0,0.5917589121381649,0.2292195117057124,623.2760352710166,41457.767849159776,66917.3269176606,156,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_2_4_1,20260904,A4,500000,1.0,0.839016792521605,0.07737348792212331,593.5276230453309,41038.728302205935,65356.92723831499,368,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_2_4_1,20260905,A2,500000,1.0,0.6814763476160106,0.1196644553196217,612.2935320301322,42366.801874774304,66320.36476235918,224,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_2_4_1,20260905,A4,500000,1.0,0.7720114907140005,0.07712376417206752,605.1699481887009,42701.59939752365,65784.01369499072,561,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_5_3_1,20260901,A2,500000,1.0,0.810244195451609,0.057804242003353344,785.8860947070074,110886.10210120303,288977.5076913002,412,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_5_3_1,20260901,A4,500000,1.0,0.5545772540415207,0.15898065502479652,755.144349612787,113858.2152135067,307754.57119086105,387,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_5_3_1,20260902,A2,500000,1.0,0.6403716313591974,0.12533885248500543,770.6233132458055,113506.32992054417,294102.33318207704,274,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_5_3_1,20260902,A4,500000,1.0,0.6465006703841243,0.12168819169434661,757.9208429570367,114062.7080099647,294826.1809510334,399,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_5_3_1,20260903,A2,500000,1.0,0.782730694039922,0.08810973340393778,785.2108705953339,110433.33532685453,295167.11581473186,203,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_5_3_1,20260903,A4,500000,1.0,0.7485905970503228,0.09420023738920268,767.860893352523,110714.96627567103,297219.4777844857,369,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_5_3_1,20260904,A2,500000,1.0,0.7891016061375121,0.06512127679364824,782.7411175938282,111250.28903303617,291564.7678278416,296,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
