instance,label,meanHV,meanIGD,meanMinCmax,meanMinTEC,meanMinTWC,meanFmax,meanFE
20_2_3_1,B0,0.760303776536562,0.111877024695306,209.999171768403,9162.19282106628,12963.0011417154,0,0
20_2_3_1,B1,0.144165430923303,0.513119411177086,239.378078649339,10352.0227304995,14373.0439766938,0.999974793630158,56.0590053976096
20_2_3_1,B2,0.14539509526816,0.534201222763956,239.737485848433,10232.1401153998,14085.2203510251,0.99998693870659,50.6042170903604
20_2_3_1,B3,0.14539509526816,0.534201222763956,239.737485848433,10232.1401153998,14085.2203510251,0.99998693870659,50.6042170903604
20_2_3_1,B4,0.17656076034523,0.490002522963005,243.159569859876,10222.2847374154,14201.6738665615,0.99984918935777,47.0325777551141
20_2_3_1,B5,0.157125231168772,0.502026010034385,234.236487359229,10252.9374803935,13936.90304373,0.999983511236256,45.9747328219622
20_2_3_1,B6,0.15221668988099,0.546916850322359,235.291961452899,10058.9405969823,14391.3546238282,0.999756578117779,42.2262564094098
20_2_3_1,B7,0.207961290541929,0.467324773772667,235.326477188692,10297.2150038562,14165.349845677,0.999971753226005,48.7391544348546
20_2_3_1,FULL,0.202443037343549,0.480596459989304,232.054198345196,10250.9039437125,14374.1512663726,0.999965179189365,49.8009813644616
chapter4-golden-author-bridge,B0,0.929055426428074,0.0779339162140052,48.2851239669421,1827.00731283307,2529.73426573427,0,0
chapter4-golden-author-bridge,B1,0.328393774964824,0.396058373722271,52.0258393063517,1968.83767392885,2742.20523832235,0.810744305661312,0.00254544178272584
chapter4-golden-author-bridge,B2,0.350379867718188,0.38966182355335,51.1474026903628,1954.85330873679,2708.92903222059,0.824201675633168,0.0137585117396972
chapter4-golden-author-bridge,B3,0.350379867718188,0.38966182355335,51.1474026903628,1954.85330873679,2708.92903222059,0.824201675633168,0.0137585117396972
chapter4-golden-author-bridge,B4,0.33533120375521,0.396171868938592,50.5632245987635,1962.73106868234,2717.69275376489,0.819053204661812,0.00360662741618134
chapter4-golden-author-bridge,B5,0.328047599782461,0.399669954646513,50.3974644677284,1966.11605926482,2694.85187561,0.819877525545493,0.00824459567651523
chapter4-golden-author-bridge,B6,0.341217917274434,0.398476705160749,50.0982145985279,1962.04205003479,2759.44489020786,0.814641271924116,0.0061049684625511
chapter4-golden-author-bridge,B7,0.365943607696887,0.378428896396895,48.1185194772933,1958.64012677798,2681.99330956537,0.818743951083208,0.00400074788901919
chapter4-golden-author-bridge,FULL,0.369217949105244,0.375831767297243,49.0263759341573,1959.2635195133,2742.35830384117,0.816149369388064,0.00226132376000031
