algorithm,seed,HV,IGD,Spacing,C_A_R,C_R_A,frontSize,minCmax,minTEC,minTWC
ZHANGBO_A4,20260822,0.6612511808519893,0.1923165907509244,0.04723988366552935,0.0,1.0,91,198.75263814130486,8814.275921146931,12918.331913279868
HMOPSO_QGS_F,20260822,0.6662309881154943,0.21702902498151228,0.03659734475614558,0.0,1.0,89,191.7329901343105,8584.276841553256,12929.878407525386
HMOPSO_QLS_F,20260822,0.8678708418610612,0.09679373001984172,0.01847554287211193,0.014583333333333334,1.0,213,201.44506786974787,8534.510174330233,12520.878090503204
MOPSO_F,20260822,0.9446872753172217,0.06229592713388501,0.02003385393332616,0.05,1.0,207,177.0093856992494,8444.804719405198,12529.049002832093
MOPSODS_DE_F,20260822,0.9659042579322717,0.0561495712245664,0.020424015199389193,0.05625,1.0,207,180.56018029168933,8432.56913732055,12403.922140898389
MOHEADE_F,20260822,0.7476876599790202,0.14264773117842736,0.03359538857853726,0.0,1.0,130,197.91765205846366,8777.751951192655,12741.509619478626
NSGA_II_F,20260822,0.8281171266831795,0.10391708205113352,0.021089024760290363,0.0,1.0,197,210.96720941219374,8575.465715409631,12591.791463027408
SPEA2_F,20260822,0.8450448551065304,0.09624975775715314,0.04548244037938539,0.0125,1.0,100,215.9947720719359,8677.514074506875,12614.582139045615
ZHANGBO_A4,20260823,0.701958250416078,0.18856690465071516,0.034154294959182735,0.0,1.0,107,205.35635415799638,8700.993938279136,12805.715992083906
HMOPSO_QGS_F,20260823,0.5179185984888715,0.3248412235836371,0.0334894016093649,0.0,1.0,120,203.00940255328172,9064.398694652973,12838.469755734852
HMOPSO_QLS_F,20260823,0.9459279140589306,0.054967230547974616,0.02595859579410822,0.09166666666666666,1.0,207,192.03938481748537,8472.763008439344,12496.699063335189
MOPSO_F,20260823,0.936414199286187,0.06641639131288592,0.022842165465534952,0.01875,1.0,203,174.20196690808046,8566.219028439726,12439.338416357077
MOPSODS_DE_F,20260823,0.9449561364132599,0.06504194828480919,0.02262182477119891,0.029166666666666667,1.0,211,187.12309296448637,8472.06139614461,12400.209684386717
MOHEADE_F,20260823,0.7091530169336215,0.16094124171572005,0.03727833234871148,0.0,1.0,133,214.91796291110643,8875.941187392466,12791.733999986842
NSGA_II_F,20260823,0.8580666189699616,0.08929666433911856,0.027340022491018516,0.0,1.0,194,207.09666748589927,8538.982782864648,12592.708749716474
SPEA2_F,20260823,0.8597798551445115,0.09885573861715194,0.032109898838518405,0.0020833333333333333,1.0,101,211.99593969263603,8508.875128575828,12508.183125215683
ZHANGBO_A4,20260824,0.7150615398582315,0.1739297572612708,0.03015605844470232,0.0,1.0,124,205.66386004772323,8667.943054366626,12632.825650734814
HMOPSO_QGS_F,20260824,0.542786449206679,0.2811940261273456,0.05837947569250421,0.0,1.0,57,205.42918042709618,8979.90949261906,12739.242738225706
HMOPSO_QLS_F,20260824,0.923410599175587,0.07209805753231371,0.02514726112228931,0.058333333333333334,1.0,203,173.5903415604248,8555.235854829705,12565.527433152121
MOPSO_F,20260824,0.9429990863714743,0.07228694816627589,0.02061428060837256,0.041666666666666664,1.0,209,181.41654089036766,8445.232362382812,12494.124831854446
MOPSODS_DE_F,20260824,0.8981812527566825,0.08607491902492805,0.021558727698128288,0.004166666666666667,1.0,206,183.3914911786452,8555.99617425651,12515.024953324335
MOHEADE_F,20260824,0.7102292558555499,0.1617128427809376,0.04242779476966718,0.0,1.0,105,202.6354973319668,8799.968179721618,12731.048991842861
NSGA_II_F,20260824,0.8497014484988143,0.09159577344983755,0.029673054910893455,0.014583333333333334,1.0,167,203.24042276619207,8534.469133251718,12636.321202573676
SPEA2_F,20260824,0.8317641107812418,0.1073388120078487,0.03696507413312285,0.010416666666666666,1.0,100,219.03110293228642,8601.065748423094,12496.06230119681
ZHANGBO_A4,20260825,0.758019173956461,0.14592913978447886,0.037926844977843856,0.008333333333333333,1.0,109,199.99036234046963,8631.450315192189,12827.334944780248
HMOPSO_QGS_F,20260825,0.4819266065098117,0.3454478031146468,0.04313335060373536,0.0,1.0,106,206.1139451759936,9050.568461020088,13054.315271830217
HMOPSO_QLS_F,20260825,0.8589001249699869,0.10218220391958716,0.01827053175517961,0.03958333333333333,1.0,189,179.44593090838922,8652.407901267637,12604.13367339135
MOPSO_F,20260825,0.9358173259579959,0.06641353851169197,0.017168294384401678,0.11875,1.0,205,173.71110840499105,8631.785092235375,12501.137031964934
MOPSODS_DE_F,20260825,0.9416866824676675,0.05891820415956244,0.021560647180998434,0.18125,1.0,200,185.38832165490493,8670.914545511388,12495.87574401727
MOHEADE_F,20260825,0.7429515662249222,0.14447460992462782,0.04720277931251037,0.0020833333333333333,1.0,99,218.19931103480877,8799.072438940333,12520.868975426973
