algorithm,median_hv,mean_hv,std_hv,median_igd,median_cmax,median_tec,median_twc,median_time_s,reference_points,raw_points,hv_rank
MOPSODS_DE_F,0.9416866824676675,0.9344219095848251,0.02297098148747128,0.06504194828480919,183.3914911786452,8472.06139614461,12495.87574401727,9.353512024,142,1035,1
MOPSO_F,0.936414199286187,0.9368022216647118,0.007255542325444168,0.06641639131288592,177.0093856992494,8508.512367230815,12494.124831854446,9.223123512,126,1024,2
HMOPSO_QLS_F,0.923410599175587,0.9110980854815341,0.04071651108391479,0.07209805753231371,179.44593090838922,8546.589641847462,12520.878090503204,8.595586902,177,1017,3
NSGA_II_F,0.8580666189699616,0.8522335159015543,0.012951831881590678,0.08929666433911856,205.6877545465997,8536.642044647331,12591.791463027408,6.522117101,14,925,4
SPEA2_F,0.8450448551065304,0.8446246066599231,0.018080916280205018,0.09885573861715194,214.91622209866603,8613.200526867666,12508.183125215683,12.581413048,16,501,5
MOHEADE_F,0.7182199139713631,0.7256482825928954,0.01643264199751676,0.16093476620844296,214.91796291110643,8799.072438940333,12731.048991842861,7.538455382,1,580,6
ZHANGBO_A4,0.701958250416078,0.7056752814180337,0.03162266090225325,0.18856690465071516,201.32728636958814,8667.943054366626,12827.334944780248,11.399406231,4,565,7
HMOPSO_QGS_F,0.5215631962823096,0.5460851677206332,0.06317737472282438,0.3248412235836371,203.00940255328172,8979.90949261906,12838.469755734852,4.808815426,0,461,8
