competitor,hv_wins,hv_ties,hv_losses,cmax_wins,tec_wins,twc_wins,median_C_A4_other,median_C_other_A4
HMOPSO_QGS_F,4,0,1,1,4,4,0.5916666666666667,0.018691588785046728
HMOPSO_QLS_F,0,0,5,1,1,0,0.0049261083743842365,0.9158878504672897
MOPSO_F,0,0,5,0,1,0,0.0,0.9435483870967742
MOPSODS_DE_F,0,0,5,0,1,0,0.004739336492890996,0.9626865671641791
MOHEADE_F,2,0,3,3,4,1,0.24060150375939848,0.25806451612903225
NSGA_II_F,0,0,5,4,0,1,0.010309278350515464,0.7850467289719626
SPEA2_F,0,0,5,5,2,0,0.02,0.7383177570093458
