seed,arm,window,scope,pddrCycles,feSpan,exposures,exposuresPerCycle,exposuresPer1000FE,uniqueTeachers,top1Share,top5Share,entropy,normalizedEntropy,directionalImprovementEvents,improvementEventsPerExposure
20260901,A2,W1_0_50K,ALL_QG_TEACHERS,1,50000,400,400,8,138,0.0575,0.23,4.37591256601,0.888103768472,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG
20260901,A2,W2_50K_100K,ALL_QG_TEACHERS,2,46680,200,100,4.28449014567,40,0.175,0.59,2.88847943131,0.783023535261,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG
20260901,A2,W1_0_50K,DIRECTIONAL_REPRESENTATIVE_TEACHERS,1,50000,0,0,0,0,,,0,0,ONLY_LIFETIME_TOTAL_AVAILABLE,NOT_WINDOW_IDENTIFIABLE
20260901,A2,W2_50K_100K,DIRECTIONAL_REPRESENTATIVE_TEACHERS,2,46680,48,24,1.02827763496,2,0.708333333333,1,0.6036372515,0.870864469235,ONLY_LIFETIME_TOTAL_AVAILABLE,NOT_WINDOW_IDENTIFIABLE
20260901,A4,W1_0_50K,ALL_QG_TEACHERS,7,50000,1440,205.714285714,28.8,269,0.0555555555556,0.227777777778,4.5286209481,0.809446750839,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG
20260901,A4,W2_50K_100K,ALL_QG_TEACHERS,5,46025,960,192,20.8582292232,101,0.169791666667,0.604166666667,3.10216396032,0.672173987441,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG
20260901,A4,W1_0_50K,DIRECTIONAL_REPRESENTATIVE_TEACHERS,7,50000,4548,649.714285714,90.96,17,0.738566402814,0.979771328056,0.891075575359,0.314510581149,ONLY_LIFETIME_TOTAL_AVAILABLE,NOT_WINDOW_IDENTIFIABLE
20260901,A4,W2_50K_100K,DIRECTIONAL_REPRESENTATIVE_TEACHERS,5,46025,4174,834.8,90.6898424769,14,0.628174413033,0.985385721131,1.06582014099,0.403863958933,ONLY_LIFETIME_TOTAL_AVAILABLE,NOT_WINDOW_IDENTIFIABLE
20260902,A2,W1_0_50K,ALL_QG_TEACHERS,1,50000,400,400,8,129,0.1075,0.29,4.17927809767,0.859966959614,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG
20260902,A2,W2_50K_100K,ALL_QG_TEACHERS,2,46672,200,100,4.28522454577,47,0.19,0.52,3.12368521977,0.811315706023,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG
20260902,A2,W1_0_50K,DIRECTIONAL_REPRESENTATIVE_TEACHERS,1,50000,0,0,0,0,,,0,0,ONLY_LIFETIME_TOTAL_AVAILABLE,NOT_WINDOW_IDENTIFIABLE
20260902,A2,W2_50K_100K,DIRECTIONAL_REPRESENTATIVE_TEACHERS,2,46672,15,7.5,0.321391840932,3,0.666666666667,1,0.860851390631,0.783580704049,ONLY_LIFETIME_TOTAL_AVAILABLE,NOT_WINDOW_IDENTIFIABLE
20260902,A4,W1_0_50K,ALL_QG_TEACHERS,7,50000,1440,205.714285714,28.8,278,0.0756944444444,0.227083333333,4.64255871446,0.824959360389,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG
20260902,A4,W2_50K_100K,ALL_QG_TEACHERS,5,46025,960,192,20.8582292232,138,0.0927083333333,0.369791666667,3.68274940856,0.747424355206,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG
20260902,A4,W1_0_50K,DIRECTIONAL_REPRESENTATIVE_TEACHERS,7,50000,8614,1230.57142857,172.28,20,0.20872997446,0.785465521244,2.21194140929,0.73836418188,ONLY_LIFETIME_TOTAL_AVAILABLE,NOT_WINDOW_IDENTIFIABLE
20260902,A4,W2_50K_100K,DIRECTIONAL_REPRESENTATIVE_TEACHERS,5,46025,3377,675.4,73.3731667572,11,0.339650577436,0.933372816109,1.65865764906,0.691713965943,ONLY_LIFETIME_TOTAL_AVAILABLE,NOT_WINDOW_IDENTIFIABLE
20260903,A2,W1_0_50K,ALL_QG_TEACHERS,1,50000,400,400,8,93,0.0925,0.32,3.92239584073,0.865374460429,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG
20260903,A2,W2_50K_100K,ALL_QG_TEACHERS,2,46653,200,100,4.28696975543,54,0.185,0.535,3.16251444155,0.792812005421,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG
20260903,A2,W1_0_50K,DIRECTIONAL_REPRESENTATIVE_TEACHERS,1,50000,0,0,0,0,,,0,0,ONLY_LIFETIME_TOTAL_AVAILABLE,NOT_WINDOW_IDENTIFIABLE
20260903,A2,W2_50K_100K,DIRECTIONAL_REPRESENTATIVE_TEACHERS,2,46653,47,23.5,1.00743789253,4,0.936170212766,1,0.307501986978,0.221815795838,ONLY_LIFETIME_TOTAL_AVAILABLE,NOT_WINDOW_IDENTIFIABLE
20260903,A4,W1_0_50K,ALL_QG_TEACHERS,7,50000,1440,205.714285714,28.8,289,0.0333333333333,0.148611111111,4.835918619,0.853433545544,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG
20260903,A4,W2_50K_100K,ALL_QG_TEACHERS,5,46025,960,192,20.8582292232,92,0.166666666667,0.492708333333,3.2466155773,0.717993670419,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG,NOT_AVAILABLE_IN_DSCR_TEACHER_LOG
20260903,A4,W1_0_50K,DIRECTIONAL_REPRESENTATIVE_TEACHERS,7,50000,1325,189.285714286,26.5,18,0.707169811321,0.876981132075,1.3071199455,0.452232465227,ONLY_LIFETIME_TOTAL_AVAILABLE,NOT_WINDOW_IDENTIFIABLE
20260903,A4,W2_50K_100K,DIRECTIONAL_REPRESENTATIVE_TEACHERS,5,46025,1757,351.4,38.174904943,15,0.939669891861,0.985202048947,0.349406331182,0.129025056862,ONLY_LIFETIME_TOTAL_AVAILABLE,NOT_WINDOW_IDENTIFIABLE
