window,role,nEvaluated,minCmax,minTEC,minTWC
1,G1_CMAX,8370,776.8749579141363,123374.0922971585,334175.8899901862
1,G2_TEC,4119,849.0644472541816,120284.29350632915,328444.6119719609
1,G3_TWC,4149,807.1095335457443,121014.634055469,326897.7888857402
1,G4_BALANCED,8262,800.9136522890615,121552.31270341738,328347.0981959011
1,UNASSIGNED,100,886.6224131405378,128912.92401382895,390887.28222521424
2,G1_CMAX,9566,768.5371836667125,122713.35444336198,338212.1419995426
2,G2_TEC,3832,887.8760905800025,119058.15481145358,321856.6844524635
2,G3_TWC,3835,888.5534103074837,118941.26600611486,319703.60141866014
2,G4_BALANCED,7767,775.903187915445,119538.48055731665,324655.08454727835
3,G1_CMAX,9576,763.7257094773317,121124.62280613452,328087.5913716339
3,G2_TEC,3873,891.1175416500907,117384.90086617904,317181.4850364938
3,G3_TWC,3851,879.9442395493376,118053.7507715117,315771.22896432807
3,G4_BALANCED,7700,775.903187915445,117970.26481999687,317544.52587352984
4,G1_CMAX,9121,765.1389728797998,118837.14347427487,317810.2069532754
4,G2_TEC,3939,968.7836918000371,117164.72356815822,316287.0470443297
4,G3_TWC,3962,899.8681650921277,117267.28194535171,313977.9617333414
4,G4_BALANCED,7978,784.9474022077009,117684.52177341955,317340.09330830676
5,G1_CMAX,9538,774.350178490124,117986.01148955296,317233.9200123899
5,G2_TEC,3841,943.9581603555172,116216.93999208353,316517.14672725764
5,G3_TWC,3857,911.2302025475868,116660.20026843605,313136.1283814036
5,G4_BALANCED,7764,811.9775908584954,116831.05214334805,315283.8301683606
6,G1_CMAX,10485,783.0348127545113,118199.42371011343,321411.94893169036
6,G2_TEC,3591,997.9746607253613,116088.27890140479,312421.5752382201
6,G3_TWC,3639,989.4837661362321,115561.69800943631,311591.00039302965
6,G4_BALANCED,7285,813.6369090750344,116622.34970047722,315865.5323215395
7,G1_CMAX,9369,768.1310222915582,118941.99209219801,324487.507234047
7,G2_TEC,3882,1016.5523838311418,115771.61201528211,314722.60440289415
7,G3_TWC,3890,951.4706239292074,115938.49974735206,309906.2003811855
7,G4_BALANCED,7859,800.304047128136,116396.70442632433,311592.74884919176
8,G1_CMAX,11235,766.4259026724693,120702.77480705656,330695.3815306474
8,G2_TEC,3407,989.6138998035206,115949.15972200775,312534.7424687397
8,G3_TWC,3450,945.9415317585541,116005.77852810116,309621.3013491391
8,G4_BALANCED,6908,795.9216203350495,116119.74688927115,310896.9049899476
9,G1_CMAX,10119,754.1206773194182,119393.26958834162,322001.9284583896
9,G2_TEC,3695,912.4649022021691,115674.41250492485,311431.9973576162
9,G3_TWC,3720,899.3942421408697,115771.52870553739,309183.67668886296
9,G4_BALANCED,7466,786.8988297838608,115980.20096383868,313321.579806224
10,G1_CMAX,11149,777.5040067827789,117640.92706829043,319530.362754536
10,G2_TEC,3441,996.2758319439255,115496.11485415163,312428.38693881495
10,G3_TWC,3447,947.9701132627888,115568.26179017326,311004.9280471593
10,G4_BALANCED,6963,816.0612377603334,115616.40019164233,312673.37094447826
11,G1_CMAX,12459,766.2191294063142,119785.1047777134,328621.83930780704
11,G2_TEC,3115,1043.7952318039765,115262.34713968135,310060.90058043133
11,G3_TWC,3140,904.3153575220499,115439.54761348019,311897.33764401556
11,G4_BALANCED,6286,802.8885988588644,115536.15747867846,314720.47931730177
12,G1_CMAX,11962,768.7806714585553,119227.91922592747,323411.0589550154
12,G2_TEC,3257,1005.0816895024624,114841.5540394868,310553.0530171243
12,G3_TWC,3236,1063.3905569459903,115110.9111246122,310949.25670935935
12,G4_BALANCED,6545,800.1989573074457,115378.51304415308,313767.1028968268
13,G1_CMAX,12662,767.3933683252062,118299.03134073173,323303.94400794635
13,G2_TEC,3069,1005.4730035191894,114787.9732817068,311279.50734547526
13,G3_TWC,3078,1010.0241055209493,114826.33761023592,310111.72870968666
13,G4_BALANCED,6191,809.8075557242568,114917.04913939934,312070.43438469653
14,G1_CMAX,12711,779.37598570952,118219.86049899741,323157.8888825302
14,G2_TEC,3062,1013.6118731589797,114337.66175530304,307754.57119086105
14,G3_TWC,3079,1075.6910027517615,114592.97313617813,308558.2304728469
14,G4_BALANCED,6148,811.7005257790603,114737.83147816431,309404.8520656148
15,G1_CMAX,12414,764.6763035132943,118250.03537573534,325058.8146937054
15,G2_TEC,3134,1010.13447017905,114229.1388811529,307813.2706926819
15,G3_TWC,3138,1028.9960982232515,114472.50498885136,308447.6467758117
