source,GENERATED,DESCENDANT,IMPROVING_DESCENDANT,MERGE_POOL,PDDR_SELECTED,WORKING_POPULATION,PERSONAL_ARCHIVE,QG_TEACHER,QP_TEACHER,QP_ACTION,mergeToPddrRate,pddrToWorkingRate,generatedToPddrRate,improvingDescendantRate,teacherEventsPerGenerated
GLOBAL_CFVF,310000,305000,46654,10229,4060,4060,0,10303,0,0,0.3969107439632418,1.0,0.013096774193548388,0.15296393442622952,0.03323548387096774
CATA,15198,14951,1570,3669,1125,1125,0,11,0,0,0.30662305805396567,1.0,0.07402289774970391,0.1050096983479366,0.0007237794446637715
INHERITED_LS,174702,173282,25650,1664,979,979,0,2032,0,0,0.5883413461538461,1.0,0.005603828233219997,0.14802460728754285,0.011631234902863162
PARENT_CARRYOVER,100,0,0,100,3,3,0,6,0,0,0.03,1.0,0.03,0.0,0.06
