window,nominalFElo,nominalFEhi,source,nEvaluated,nUniqueObjectives,nTuplesExclusive,nexclND,exclusiveNDSharePct,WHVG,WHVGSharePct,hvAll,nndAll,emptyWindow,life_GENERATED,life_DESCENDANT,life_IMPROVING_DESCENDANT,life_MERGE_POOL,life_PDDR_SELECTED,life_WORKING_POPULATION,life_PERSONAL_ARCHIVE,life_QG_TEACHER,life_QP_TEACHER,life_QP_ACTION
1,0,25000,GLOBAL_CFVF,19894,19618,19552,116,75.81699346405229,0.18944262085796493,21.18786329680212,0.894109133159064,153,False,19894,14894,2971,403,170,170,0,705,0,0
1,0,25000,CATA,753,741,677,1,0.6535947712418301,1.0246693994631073e-05,0.0011460227409183798,0.894109133159064,153,False,753,506,96,228,92,92,0,0,0,0
1,0,25000,INHERITED_LS,4253,1979,1977,35,22.875816993464053,0.010881932626235713,1.2170698433409015,0.894109133159064,153,False,4253,2833,261,46,35,35,0,85,0,0
1,0,25000,PARENT_CARRYOVER,100,100,100,0,0.0,0.0,0.0,0.894109133159064,153,False,100,0,0,100,3,3,0,6,0,0
2,25000,50000,GLOBAL_CFVF,18262,17065,16987,185,85.25345622119816,0.09839927242737712,10.996398903453837,0.8948317834893301,217,False,18262,18262,1936,650,252,252,0,683,0,0
2,25000,50000,CATA,1025,1011,936,8,3.686635944700461,0.004544093312607966,0.5078153678100941,0.8948317834893301,217,False,1025,1025,139,244,74,74,0,0,0,0
2,25000,50000,INHERITED_LS,5713,2667,2663,22,10.138248847926267,0.0015917799509250763,0.17788594239668695,0.8948317834893301,217,False,5713,5713,2711,95,66,66,0,1,0,0
2,25000,50000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.8948317834893301,217,False,0,0,0,0,0,0,0,0,0,0
3,50000,75000,GLOBAL_CFVF,18112,17523,17453,223,91.0204081632653,0.10004641514550083,12.36885108814584,0.8088577866491103,245,False,18112,18112,3990,662,275,275,0,724,0,0
3,50000,75000,CATA,1106,1095,1027,4,1.6326530612244898,0.000506175825600419,0.0625790879379891,0.8088577866491103,245,False,1106,1106,163,297,81,81,0,0,0,0
