checkpointTargetFE,checkpointObservedFE,overshootFE,evaluationCounterFE,frontType,frontSize
25000,25000,0,25081,checkpoint-decision-front,203
25000,25000,0,25081,checkpoint-observed-full-front,240
50000,50000,0,50036,checkpoint-decision-front,317
50000,50000,0,50036,checkpoint-observed-full-front,370
75000,75000,0,75066,checkpoint-decision-front,325
75000,75000,0,75066,checkpoint-observed-full-front,357
96025,96025,0,96025,terminal-decision-front,373
96025,96025,0,96025,terminal-observed-full-front,423
