arm,medianHV,medianIGD,medianSpacing,hvWinsVsA0,medianCoverageAdvantageVsA0
A0,0.805486837293,0.121827339669,0.022431042237,0,0.000000000000
A4,0.869089770789,0.070394797789,0.020225295914,4,-0.003443459052
A5,0.858302416951,0.064493856861,0.019507442389,4,-0.038064516129
