seed,arm,FE,frontSize,HV,IGD,Spacing,minCmax,minTEC,minTWC,C_arm_over_A0,C_A0_over_arm,C_arm_over_A4,C_A4_over_arm,wallSeconds
20260809,A0,500000,374,0.825222275318,0.081334934101,0.022431042237,182.433150687938,8510.612042350469,12717.038760970148,1.000000000000,1.000000000000,0.581761006289,0.307486631016,61.905671
20260809,A4,500000,318,0.829305685192,0.074646623869,0.022680129305,189.633373258225,8539.196594477871,12502.189379320607,0.307486631016,0.581761006289,1.000000000000,1.000000000000,251.426628
20260809,A5,500000,305,0.826985791875,0.082130746336,0.017818058798,187.965119251556,8413.438950912227,12586.179239184945,0.184491978610,0.577049180328,0.238993710692,0.603278688525,221.549641
20260810,A0,500000,591,0.894944321641,0.040345590127,0.017742027606,187.481694009606,8392.521019733542,12493.739636210020,1.000000000000,1.000000000000,0.502293577982,0.055837563452,55.546500
20260810,A4,500000,436,0.870458313001,0.054605093924,0.020225295914,175.569934356121,8453.591600619948,12630.607288624287,0.055837563452,0.502293577982,1.000000000000,1.000000000000,323.182027
20260810,A5,500000,371,0.847780481715,0.076698860787,0.024676639890,191.375302021294,8298.639335179469,12429.870354871031,0.010152284264,0.752021563342,0.110091743119,0.582210242588,290.569439
20260811,A0,500000,184,0.710784095063,0.175548596287,0.027618654235,187.731467487649,8789.304338281607,12766.975950014217,1.000000000000,1.000000000000,0.122994652406,0.711956521739,37.773423
20260811,A4,500000,374,0.869089770789,0.071974675504,0.017546815325,189.454477598531,8365.183791826646,12670.653437400699,0.711956521739,0.122994652406,1.000000000000,1.000000000000,400.899230
20260811,A5,496118,430,0.858302416951,0.062254848071,0.021317978081,177.843926519303,8451.539819139900,12700.041729845947,0.706521739130,0.090697674419,0.360962566845,0.320930232558,250.939150
20260812,A0,500000,375,0.726357438441,0.183274069916,0.022034033533,170.924092226701,8799.080263673610,12864.672933013524,1.000000000000,1.000000000000,0.028697571744,0.586666666667,57.630168
20260812,A4,499946,453,0.873296877766,0.054282353840,0.017933049620,190.070953093112,8517.119650775132,12738.684331259063,0.586666666667,0.028697571744,1.000000000000,1.000000000000,352.464341
20260812,A5,500000,415,0.880968027362,0.063307756872,0.019035636922,172.547009804823,8395.436499820793,12641.165897487510,0.576000000000,0.089156626506,0.083885209713,0.474698795181,266.420328
20260813,A0,500000,186,0.805486837293,0.121827339669,0.030069375706,190.943708864387,8686.240828261056,12420.169774925518,1.000000000000,1.000000000000,0.250755287009,0.247311827957,35.166560
20260813,A4,500000,331,0.856300760542,0.070394797789,0.023849517976,190.036203660835,8490.816737914487,12534.852385866048,0.247311827957,0.250755287009,1.000000000000,1.000000000000,248.116194
20260813,A5,500000,325,0.865276409337,0.064493856861,0.019507442389,179.253369206879,8344.150920439600,12620.853120553791,0.241935483871,0.280000000000,0.386706948640,0.409230769231,233.229305
