seed,arm,FE,frontSize,HV,IGD,Spacing,minCmax,minTEC,minTWC,coverageAdvantageVsA0,coverageAdvantageVsA4,wallSeconds,cfvfOffspring,qpActions,archiveInsertions,caTaLiteTest,caTaLiteApply,directionalPoolRequests
20260819,A0,100000,106,0.852283464876,0.110708419723,0.044890580422,186.170144990698,8489.492678950324,12563.360747549046,0.000000000000,0.201937786843,3.495083,0,0,0,0,0,0
20260819,A4,100000,148,0.818031763382,0.089403068678,0.036656466865,198.543958452432,8648.564249404237,12926.321571810662,-0.201937786843,0.000000000000,10.339535,20000,15000,400,513,292,0
20260819,A5,100000,262,0.873486004261,0.060108661107,0.025116900516,190.684907003768,8487.365236202408,12858.534949164710,0.065029526141,0.415824221168,15.943915,20000,15000,400,567,278,266
20260820,A0,100000,121,0.733056983485,0.161187733655,0.031486696405,194.205919790047,8874.991088906865,12584.347641455180,0.000000000000,-0.805767977779,3.583372,0,0,0,0,0,0
20260820,A4,100000,241,0.928016671468,0.033810384247,0.026208625210,187.922016907790,8661.267048662592,12692.707710035924,0.805767977779,0.000000000000,13.700851,20000,15000,400,456,292,0
20260820,A5,100000,162,0.815152762823,0.095212778590,0.030077258959,196.659722539019,8591.523158899709,12761.011930971275,0.397204366901,-0.719686491471,12.323764,20000,15000,400,476,301,224
20260821,A0,100000,139,0.772928154114,0.135882453775,0.040086350036,196.651678282609,8618.238575007661,12688.308881215250,0.000000000000,-0.075239808153,3.269174,0,0,0,0,0,0
20260821,A4,100000,144,0.853561456383,0.076574955335,0.036932601976,198.983049101137,8586.196120294688,12630.247815278586,0.075239808153,0.000000000000,9.286225,20000,15000,400,441,309,0
20260821,A5,100000,148,0.746460806775,0.138189922278,0.037392610476,194.826014462179,8602.534901672083,12913.361090107126,-0.460528874198,-0.652214714715,13.565101,20000,15000,400,529,288,164
