generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
1,5100,0,1,G1_CMAX,0.692840295001586,0.5373656644894158,0.6940244927590877,0.17131576524962228,0.36907858659360976,WOR,SEQ,0.6940244927590877,0.692840295001586,0.0011841977575017815,false,BAL,FULL_MASK_AUDIT,9,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,5104,1,0,G1_CMAX,0.6239837944984492,0.5397862867466825,0.6008375156370591,0.18119847807848494,0.5382653710070442,SEQ,WOR,0.6239837944984492,0.6008375156370591,0.02314627886139009,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N4|N5,APPLY,N2
1,5105,2,1,G1_CMAX,0.7361562947118394,0.7874116335252397,0.75509545465941,0.1493931439569865,0.4478286637591279,MAC,WOR,0.7874116335252397,0.75509545465941,0.032316178865829714,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5110,3,2,G1_CMAX,0.7634700209656495,0.8247604548589919,0.690925802705534,0.17255213235262123,0.20904865411911697,MAC,SEQ,0.8247604548589919,0.7634700209656495,0.06129043389334232,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,5114,4,0,G1_CMAX,0.6968897735263264,0.7258315812863447,0.5653203747111516,0.2102367165763132,0.4452016743844889,MAC,SEQ,0.7258315812863447,0.6968897735263264,0.028941807760018312,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5119,5,0,G1_CMAX,0.6172917368116989,0.6267030433861467,0.6148177564786352,0.1690000745371173,0.4905960207838967,MAC,SEQ,0.6267030433861467,0.6172917368116989,0.009411306574447775,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N3
1,5120,6,1,G1_CMAX,0.6688431553064397,0.6303782756208085,0.6899441754501934,0.15541264127462362,0.36668948088746967,WOR,SEQ,0.6899441754501934,0.6688431553064397,0.0211010201437537,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,5124,7,1,G1_CMAX,0.639635807978112,0.6815020881498669,0.6489618783187261,0.1479998553734611,0.25944450888178244,MAC,WOR,0.6815020881498669,0.6489618783187261,0.03254020983114081,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5129,8,0,G1_CMAX,0.6616661889679424,0.6167117461661527,0.6457812822403224,0.16675234073860468,0.47003880549086063,SEQ,WOR,0.6616661889679424,0.6457812822403224,0.015884906727619996,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N3
1,5130,9,1,G1_CMAX,0.5892909078067581,0.5296651729660935,0.747850590811308,0.2122338774794727,0.3445166214877004,WOR,SEQ,0.747850590811308,0.5892909078067581,0.15855968300454992,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N4|N5,TEST,N1|N2|N4|N5
