cycle,source,evaluated,accepted,superseded,enteredPddr,pddrSelected,pddrRejected,fe,regionAssignments,regionRoles,bestGeneratedCmax
1,GLOBAL_Q_FINAL,0,0,0,100,49,51,0,0,"{}",Infinity
1,PARENT,0,0,0,100,11,89,0,0,"{}",Infinity
1,CATA_TEST,190,77,41,36,21,15,190,0,"{}",262.39897477923466
1,CATA_APPLY,58,27,0,27,13,14,58,0,"{}",282.0108769888551
1,CRITICAL_SWAP,6,2,2,0,0,0,6,0,"{}",282.8353725995518
1,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",259.6216361135349
1,O1_O9,1407,55,49,6,6,0,1407,0,"{}",220.12891249322908
2,GLOBAL_Q_FINAL,0,0,0,100,44,56,0,0,"{}",Infinity
2,PARENT,0,0,0,100,36,64,0,0,"{}",Infinity
2,CATA_TEST,134,37,17,20,11,9,134,0,"{}",252.60611626324214
2,CATA_APPLY,72,32,2,30,4,26,72,0,"{}",289.44825749597607
2,CRITICAL_SWAP,7,3,3,0,0,0,7,0,"{}",276.56433573865206
2,CRITICAL_INSERT,7,5,5,0,0,0,7,0,"{}",259.7296029255288
2,O1_O9,1448,92,85,7,5,2,1448,0,"{}",220.00303954140784
3,GLOBAL_Q_FINAL,0,0,0,100,27,73,0,0,"{}",Infinity
3,PARENT,0,0,0,100,60,40,0,0,"{}",Infinity
3,CATA_TEST,137,36,13,23,7,16,137,0,"{}",281.76713278297825
3,CATA_APPLY,71,26,3,23,2,21,71,0,"{}",242.09836494715142
3,CRITICAL_SWAP,7,3,3,0,0,0,7,0,"{}",241.25565780487835
3,CRITICAL_INSERT,7,5,5,0,0,0,7,0,"{}",277.236714800869
3,O1_O9,1449,68,61,7,4,3,1449,0,"{}",221.4440891058952
4,GLOBAL_Q_FINAL,0,0,0,100,26,74,0,0,"{}",Infinity
4,PARENT,0,0,0,100,67,33,0,0,"{}",Infinity
4,CATA_TEST,173,41,14,27,4,23,173,0,"{}",245.52545350267147
4,CATA_APPLY,63,11,1,10,0,10,63,0,"{}",241.6937095418961
4,CRITICAL_SWAP,6,4,4,0,0,0,6,0,"{}",240.99399756670073
4,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",238.5836319022943
4,O1_O9,1427,69,63,6,3,3,1427,0,"{}",215.6906027687591
5,GLOBAL_Q_FINAL,0,0,0,100,14,86,0,0,"{}",Infinity
5,PARENT,0,0,0,100,78,22,0,0,"{}",Infinity
5,CATA_TEST,122,25,9,16,3,13,122,0,"{}",229.2541724472272
5,CATA_APPLY,74,39,1,38,5,33,74,0,"{}",228.78829658302692
5,CRITICAL_SWAP,7,3,3,0,0,0,7,0,"{}",279.734909691763
5,CRITICAL_INSERT,7,6,6,0,0,0,7,0,"{}",258.91325128912854
5,O1_O9,1471,62,55,7,0,7,1471,0,"{}",188.83654079753597
6,GLOBAL_Q_FINAL,0,0,0,100,18,82,0,0,"{}",Infinity
6,PARENT,0,0,0,100,73,27,0,0,"{}",Infinity
6,CATA_TEST,149,35,14,21,6,15,149,0,"{}",261.96064566885997
6,CATA_APPLY,68,29,2,27,1,26,68,0,"{}",262.4781532894678
6,CRITICAL_SWAP,7,4,4,0,0,0,7,0,"{}",263.5467196050172
6,CRITICAL_INSERT,7,5,5,0,0,0,7,0,"{}",248.30662735967826
6,O1_O9,1456,91,84,7,2,5,1456,0,"{}",220.892537590106
7,GLOBAL_Q_FINAL,0,0,0,100,29,71,0,0,"{}",Infinity
7,PARENT,0,0,0,100,60,40,0,0,"{}",Infinity
7,CATA_TEST,102,25,11,14,5,9,102,0,"{}",253.31073321649524
7,CATA_APPLY,79,38,3,35,5,30,79,0,"{}",248.88675890600166
7,CRITICAL_SWAP,8,2,2,0,0,0,8,0,"{}",272.07173616448904
7,CRITICAL_INSERT,8,6,6,0,0,0,8,0,"{}",250.44757226707043
7,O1_O9,1498,68,60,8,1,7,1498,0,"{}",222.50766451012993
8,GLOBAL_Q_FINAL,0,0,0,100,21,79,0,0,"{}",Infinity
8,PARENT,0,0,0,100,71,29,0,0,"{}",Infinity
8,CATA_TEST,170,51,23,28,4,24,170,0,"{}",246.89483014974937
8,CATA_APPLY,63,27,3,24,3,21,63,0,"{}",241.63009207159178
8,CRITICAL_SWAP,7,1,1,0,0,0,7,0,"{}",231.63490223692008
8,CRITICAL_INSERT,7,6,6,0,0,0,7,0,"{}",276.66918106326426
8,O1_O9,1458,84,77,7,1,6,1458,0,"{}",211.68484811093845
9,GLOBAL_Q_FINAL,0,0,0,100,16,84,0,0,"{}",Infinity
9,PARENT,0,0,0,100,79,21,0,0,"{}",Infinity
9,CATA_TEST,144,23,6,17,3,14,144,0,"{}",210.83757855130756
9,CATA_APPLY,69,36,1,35,1,34,69,0,"{}",245.0998279101508
9,CRITICAL_SWAP,6,3,3,0,0,0,6,0,"{}",232.95684750399585
9,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",215.15315746964507
9,O1_O9,1490,49,43,6,1,5,1490,0,"{}",194.24139063869262
10,GLOBAL_Q_FINAL,0,0,0,100,18,82,0,0,"{}",Infinity
10,PARENT,0,0,0,100,78,22,0,0,"{}",Infinity
10,CATA_TEST,123,33,14,19,2,17,123,0,"{}",232.23146711417408
10,CATA_APPLY,74,33,1,32,1,31,74,0,"{}",250.0546325487167
10,CRITICAL_SWAP,7,2,2,0,0,0,7,0,"{}",252.76566684787593
10,CRITICAL_INSERT,7,5,5,0,0,0,7,0,"{}",232.39983405116135
10,O1_O9,1516,55,48,7,1,6,1516,0,"{}",207.11245613207512
11,GLOBAL_Q_FINAL,0,0,0,100,23,77,0,0,"{}",Infinity
11,PARENT,0,0,0,100,72,28,0,0,"{}",Infinity
11,CATA_TEST,133,33,16,17,1,16,133,0,"{}",230.75309438460908
11,CATA_APPLY,72,27,4,23,0,23,72,0,"{}",245.05981747286557
11,CRITICAL_SWAP,7,1,1,0,0,0,7,0,"{}",246.17497906289438
11,CRITICAL_INSERT,7,6,6,0,0,0,7,0,"{}",219.8063320614888
11,O1_O9,1522,61,54,7,4,3,1522,0,"{}",213.59164505850856
12,GLOBAL_Q_FINAL,0,0,0,100,11,89,0,0,"{}",Infinity
12,PARENT,0,0,0,100,87,13,0,0,"{}",Infinity
12,CATA_TEST,133,31,13,18,1,17,133,0,"{}",220.38410414902373
12,CATA_APPLY,72,31,2,29,0,29,72,0,"{}",255.37413933826647
12,CRITICAL_SWAP,7,2,2,0,0,0,7,0,"{}",238.00390170996033
12,CRITICAL_INSERT,7,4,4,0,0,0,7,0,"{}",229.15708880899214
12,O1_O9,1537,57,50,7,1,6,1537,0,"{}",193.2311578358841
13,GLOBAL_Q_FINAL,0,0,0,100,11,89,0,0,"{}",Infinity
13,PARENT,0,0,0,100,85,15,0,0,"{}",Infinity
13,CATA_TEST,149,24,8,16,2,14,149,0,"{}",238.28031237917682
13,CATA_APPLY,68,34,1,33,2,31,68,0,"{}",245.9051429522056
13,CRITICAL_SWAP,7,2,2,0,0,0,7,0,"{}",260.3915807794255
13,CRITICAL_INSERT,7,4,4,0,0,0,7,0,"{}",215.0088769146362
13,O1_O9,1541,65,58,7,0,7,1541,0,"{}",197.99863526724
14,GLOBAL_Q_FINAL,0,0,0,100,14,86,0,0,"{}",Infinity
14,PARENT,0,0,0,100,77,23,0,0,"{}",Infinity
14,CATA_TEST,158,39,17,22,2,20,158,0,"{}",228.14479851714276
14,CATA_APPLY,66,30,0,30,4,26,66,0,"{}",248.83356163962833
14,CRITICAL_SWAP,7,1,1,0,0,0,7,0,"{}",270.8241167281122
