seed,phase,FE_CATA,FE_inherited,bestCmax_CATA,bestCmax_inherited,enteredPddr_CATA,enteredPddr_inherited,pddrSelected_CATA,pddrSelected_inherited
20260822,ORDER_CURRENT,11607,178293,208.83747523527387,183.9581480660247,2683,770,229,90
20260822,ORDER_SWAP,0,189900,Infinity,170.93208077499963,0,756,0,88
20260823,ORDER_CURRENT,15084,174816,181.5555663959187,175.0817074813607,2827,715,232,69
20260823,ORDER_SWAP,0,189900,Infinity,168.99614723726435,0,747,0,110
20260824,ORDER_CURRENT,12426,177474,181.47558854843143,174.903277189513,2476,647,144,75
20260824,ORDER_SWAP,0,189900,Infinity,186.4140373774765,0,803,0,143
