checkpointTargetFE,checkpointObservedFE,overshootFE,evaluationCounterFE,frontType,frontSize
50000,50000,0,50026,checkpoint-decision-front,166
50000,50000,0,50026,checkpoint-observed-full-front,252
100000,100000,0,100000,checkpoint-decision-front,245
100000,100000,0,100000,checkpoint-observed-full-front,373
150000,150000,0,150000,checkpoint-decision-front,332
150000,150000,0,150000,checkpoint-observed-full-front,424
200000,200000,0,200021,checkpoint-decision-front,368
200000,200000,0,200021,checkpoint-observed-full-front,466
249003,249003,0,249003,terminal-decision-front,353
249003,249003,0,249003,terminal-observed-full-front,485
