instance,arm,seed,checkpointTargetFE,observedFullFrontSize,decisionFrontSize,HV,IGD,Spacing,C_front_vs_PFref,C_PFref_vs_front,minCmax,minTEC,minTWC
50_2_3_1,C0,20260916,50000,271,238,0.9621392054095903,0.06916778637238655,0.027413105141278184,0.27611940298507465,1.0,327.09381614836707,20999.501427290645,34148.59563071115
50_2_3_1,C0,20260916,100000,413,282,1.0696201322707237,0.08525733648158415,0.01951161513740284,0.26952526799387444,1.0,325.4508042190989,20947.320312197022,33325.992867912566
50_2_3_1,C0,20260916,150000,495,329,0.9976400678260413,0.09981929501586136,0.019044203234361314,0.24266666666666667,1.0,325.4508042190989,20930.554033446544,33285.95532766379
50_2_3_1,C0,20260916,200000,478,327,1.0111890926482328,0.10511949552685669,0.019032721590289695,0.21534320323014805,1.0,325.4508042190989,20880.480363894298,33121.535727360984
50_2_3_1,C0,20260917,50000,320,286,0.7685249774063919,0.14110298496733237,0.023258391744656617,0.05472636815920398,1.0,320.27384647688496,21051.38648331196,35525.047487510914
50_2_3_1,C0,20260917,100000,449,375,0.873822011263297,0.1322283089356386,0.02241649334598379,0.0444104134762634,1.0,320.27384647688496,20899.092180876498,35149.03359566033
50_2_3_1,C0,20260917,150000,601,487,0.8021655976305504,0.1420372389430452,0.02003950238562962,0.032,1.0,320.27384647688496,20885.32563688193,35105.355605149736
50_2_3_1,C0,20260917,200000,797,545,0.8585746814010857,0.1433700869967417,0.017934032635843027,0.008075370121130552,1.0,320.27384647688496,20885.32563688193,34954.83000960143
50_2_3_1,C0,20260918,50000,289,209,0.8098250885307818,0.14492675503367444,0.040414004928475813,0.17661691542288557,1.0,321.51656250529027,21042.349422604064,34960.77728640755
50_2_3_1,C0,20260918,100000,424,327,0.99984413639878,0.09344212114850747,0.02709269685479752,0.2343032159264931,1.0,321.51656250529027,21017.167561694732,33674.68636650357
50_2_3_1,C0,20260918,150000,545,412,0.9626209656810824,0.0718749829392272,0.0258895339614078,0.24533333333333332,1.0,321.51609896535405,20975.20538265045,33523.77019345151
