instance,arm,seed,actualFE,terminationKind,outerCycles,totalLocalFE,localFeShare,frontSize,HV,IGD,Spacing,C_front_vs_PFref,C_PFref_vs_front,minCmax,minTEC,minTWC,wallNanos
50_2_3_1,C0,20260916,250000,EXACT_MAX_FE,31,94900,0.3796,341,1.0319996491886967,0.12762153077681998,0.015305740351522467,0.1931216931216931,1.0,325.98718076449666,20877.21447364332,32891.67200623221,166086201620
50_2_3_1,C0,20260917,250000,EXACT_MAX_FE,31,94900,0.3796,533,0.8742729745280589,0.14922292116616903,0.015781138194767442,0.006613756613756613,1.0,320.27384647688496,20876.258430088317,34954.83000960143,200713337969
50_2_3_1,C0,20260918,250000,EXACT_MAX_FE,31,94900,0.3796,494,0.9929827154727207,0.07878325688224669,0.021971322234039192,0.22486772486772486,1.0,318.12338127167124,20960.316088321197,32815.434462753605,184387029127
50_2_3_1,C2,20260916,249003,PHASE_CONSISTENT_TAIL_STOP,34,78903,0.316876,297,0.9990777282970503,0.10730867235354472,0.02504521761670387,0.09391534391534391,1.0,330.0666799771134,20828.38024169665,33139.578764000995,178260103409
50_2_3_1,C2,20260917,249003,PHASE_CONSISTENT_TAIL_STOP,34,78903,0.316876,449,0.9069244270312897,0.12469593822993434,0.019867759056978233,0.03835978835978836,1.0,316.925992038194,20877.4093207181,34917.397666294455,243468750307
50_2_3_1,C2,20260918,249003,PHASE_CONSISTENT_TAIL_STOP,34,78903,0.316876,289,0.9281593785639022,0.09813443100405406,0.02794324441241529,0.05291005291005291,1.0,319.56200726431143,20909.180944853786,34088.53602220159,175313500728
50_2_3_1,C3,20260916,250000,EXACT_MAX_FE,36,69900,0.2796,405,1.010705966989136,0.11030858558144684,0.019638223707633365,0.12433862433862433,1.0,326.29677396392685,20795.524741717058,32368.460400635347,197382552317
50_2_3_1,C3,20260917,250000,EXACT_MAX_FE,36,69900,0.2796,573,0.8911675625556803,0.14495342365471017,0.0156238124840656,0.05555555555555555,1.0,320.19335998148523,20792.969342530618,34887.47386432449,252132433022
50_2_3_1,C3,20260918,250000,EXACT_MAX_FE,36,69900,0.2796,324,0.9948329884522354,0.07755328945046075,0.02273491030114867,0.21031746031746032,1.0,317.50007997554223,20938.92477688744,33228.52931203255,194558783798
100_5_3_1,C0,20260916,250000,EXACT_MAX_FE,31,94900,0.3796,343,0.6302100147618727,0.12840780572056942,0.013824359231932067,0.15737298636926889,1.0,766.0549540085175,113129.50817674771,306133.49532927806,297121788871
100_5_3_1,C0,20260917,250000,EXACT_MAX_FE,31,94900,0.3796,381,0.6773595751124728,0.08526772621186446,0.014312749450897803,0.04460966542750929,1.0,767.6686825844785,113126.03924302539,294478.51540204446,354737581469
100_5_3_1,C0,20260918,250000,EXACT_MAX_FE,31,94900,0.3796,369,0.6561497749272351,0.09039331337750235,0.014878935114489565,0.06815365551425032,1.0,767.8722026444482,113535.21543391276,291782.7834695397,356146315933
100_5_3_1,C2,20260916,249003,PHASE_CONSISTENT_TAIL_STOP,34,78903,0.316876,353,0.7772994411471226,0.053674762791916006,0.0200889941482195,0.2218091697645601,1.0,764.8685691556349,110128.32793448458,291078.7284302233,368572740904
100_5_3_1,C2,20260917,249003,PHASE_CONSISTENT_TAIL_STOP,34,78903,0.316876,274,0.6265253223082843,0.10401503393076007,0.017509175665872102,0.07434944237918216,1.0,772.7976866278588,113403.30845845398,300168.51388727577,381849441083
100_5_3_1,C2,20260918,249003,PHASE_CONSISTENT_TAIL_STOP,34,78903,0.316876,338,0.613932599106167,0.11990506558937275,0.014448893349543496,0.05328376703841388,1.0,761.9363365879146,115127.5394518039,290272.52826011233,387485519999
100_5_3_1,C3,20260916,250000,EXACT_MAX_FE,36,69900,0.2796,354,0.621173552670298,0.11266427784491638,0.015010238938142963,0.15489467162329615,1.0,768.8947923180799,113682.28511975141,306599.1218020362,363378229050
100_5_3_1,C3,20260917,250000,EXACT_MAX_FE,36,69900,0.2796,350,0.7223577174567603,0.07466379646211785,0.018730410268144454,0.19454770755885997,1.0,759.1546023570241,111985.80416768414,290434.13007179834,416611202952
100_5_3_1,C3,20260918,250000,EXACT_MAX_FE,36,69900,0.2796,444,0.5691740873121014,0.12400450746560705,0.01257821900689808,0.0322180916976456,1.0,763.7794421763869,115154.87930536612,300634.83061296144,379512051281
