instance,seed,arm,dHV_terminal,dIGD_terminal,dCmax_terminal,dTEC_terminal,dTWC_terminal,dHV_ck50000,dIGD_ck50000,dHV_ck100000,dIGD_ck100000,dHV_ck150000,dIGD_ck150000,dHV_ck200000,dIGD_ck200000
50_2_3_1,20260916,C2,-0.03190109697956567,0.1591648235186716,-0.012514293362854296,0.0023391162651664878,-0.007537067672382522,-0.005294124274931399,-0.12393427103916098,-0.040611117045085604,0.13244030214220764,-0.03685721338614885,0.10731386300933685,-0.032832102932057884,0.020684627157543482
50_2_3_1,20260917,C2,0.03734697680762287,0.16436471518287973,0.010453099669293692,-5.512916184844126e-05,0.0010708775667537533,0.010554592649162508,-0.08639321040754828,-0.01818018218895602,-0.040166401841855943,0.04196361865609638,0.11645770495032647,0.040473669567264364,0.15238384442729985
50_2_3_1,20260918,C2,-0.0652814353147714,-0.24562546520170625,-0.004522226523839311,0.00243961700061873,-0.03879581606310858,-0.10999924743924774,-0.20912518816502815,-0.0939406808905652,-0.21221511483285127,-0.07830193741010649,-0.4019448285547519,-0.0752602090201882,-0.2794799879707372
50_2_3_1,MEDIAN,C2,-0.03190109697956567,0.1591648235186716,-0.004522226523839311,0.0023391162651664878,-0.007537067672382522,-0.005294124274931399,-0.12393427103916098,-0.040611117045085604,-0.040166401841855943,-0.03685721338614885,0.10731386300933685,-0.032832102932057884,0.020684627157543482
50_2_3_1,20260916,C3,-0.020633419998059677,0.13565849813891837,-0.0009497097361440608,0.003912865484492238,0.015907114892113994,-0.056590783321193903,-0.25988507291913837,-0.07753678523527915,-0.12395446106488929,-0.0795807752233816,-0.07774358077353928,-0.02979402160774694,-0.10325632271483606
50_2_3_1,20260917,C3,0.019324156779227122,0.028611539555002456,0.0002513052385797422,0.003989655897230008,0.0019269481573343074,-0.024121512177558573,-0.12201633251583552,-0.04617186591156974,-0.2019164952871281,-0.03294426709962433,-0.09355486136439739,0.008874295422916838,0.01932915042318838
50_2_3_1,20260918,C3,0.001863348627003991,0.015612040939413159,0.001959306774740687,0.0010205624449372958,-0.012588431512245262,-0.05202385144748952,-0.2225158093848462,-0.0687332059295345,-0.4170162623542815,-0.05153548204882142,-0.38485650949840516,0.008996334867517268,0.07907430315468549
50_2_3_1,MEDIAN,C3,0.001863348627003991,0.028611539555002456,0.0002513052385797422,0.003912865484492238,0.0019269481573343074,-0.05202385144748952,-0.2225158093848462,-0.0687332059295345,-0.2019164952871281,-0.05153548204882142,-0.09355486136439739,0.008874295422916838,0.01932915042318838
100_5_3_1,20260916,C2,0.2333974753492742,0.5819976636878397,0.0015486941852861122,0.026528712894024437,0.04917713065949155,-0.04279045121102709,-0.25049081658799127,-0.05987868918459859,-0.11072278507580434,0.039205213053634794,0.33972426412365714,0.2000933526262606,0.5895800818299339
100_5_3_1,20260917,C2,-0.07504766252953271,-0.2198640511688354,-0.006681273001931882,-0.0024509760730943753,-0.019322287323619815,0.02177371144871607,0.08144756949296071,-0.051678370141704726,-0.11655455725236878,-0.06416347443573651,-0.2276270178493186,-0.09059929875084634,-0.33853851353682546
100_5_3_1,20260918,C2,-0.06434076095773994,-0.3264815848559819,0.0077302786011672515,-0.014024935010741276,0.005175957235958873,-0.07735257885951656,0.021024055809546183,-0.08085000083489916,-0.22072009549484092,-0.08518104321597984,-0.374600621254613,-0.06169059383914024,-0.3254361898274502
100_5_3_1,MEDIAN,C2,-0.06434076095773994,-0.2198640511688354,0.0015486941852861122,-0.0024509760730943753,0.005175957235958873,-0.04279045121102709,0.021024055809546183,-0.05987868918459859,-0.11655455725236878,-0.06416347443573651,-0.2276270178493186,-0.06169059383914024,-0.3254361898274502
100_5_3_1,20260916,C3,-0.014338810682006027,0.12260569197726828,-0.0037070947648108923,-0.004886231292900791,-0.0015209915930868658,-0.04279045121102709,-0.25049081658799127,-0.0983319102932513,-0.36778811637441916,-0.09403817482060764,-0.21615771853487115,-0.05699411610018678,0.0034302075486847875
100_5_3_1,20260917,C3,0.06643169152339168,0.12436041420172339,0.01109082657741138,0.010079333484766603,0.013734059086532743,0.021989941482585776,0.085820905256258,0.10358976055267496,0.1179131305797626,0.07688594698676755,0.08034565564994871,0.05325759227414932,0.08947610758514708
100_5_3_1,20260918,C3,-0.13255462538988003,-0.37183274771372704,0.005330002120100733,-0.01426574006367342,-0.03033779799535642,-0.056937216945972646,-0.0028871204641244966,-0.09133169754906399,-0.15427187711582946,-0.16176304282586354,-0.6066964484953842,-0.18000335232340534,-0.736984165992644
100_5_3_1,MEDIAN,C3,-0.014338810682006027,0.12260569197726828,0.005330002120100733,-0.004886231292900791,-0.0015209915930868658,-0.04279045121102709,-0.0028871204641244966,-0.09133169754906399,-0.15427187711582946,-0.09403817482060764,-0.21615771853487115,-0.05699411610018678,0.0034302075486847875
