candidate,normalSafetyGate,hardImprovementGate,singleSeedDisasterGate,tripleObjectiveGate,checkpointConsistencyGate,allGates,failedGates,checkpointFlips,tripleObjectiveDetail,"fiveDim[dHV_hard,dIGD_hard,dCmax_all,dTEC_all,dTWC_all]"
C2,FAIL,FAIL,FAIL,PASS,PASS(MINOR_FLUCTUATION_ONLY),FAIL,normalSafety;hardImprovement;singleSeedDisaster,NONE,dCmax_terminal_50_2_3_1=0/3;dCmax_terminal_100_5_3_1=0/3;dTEC_terminal_50_2_3_1=0/3;dTEC_terminal_100_5_3_1=0/3;dTWC_terminal_50_2_3_1=1/3;dTWC_terminal_100_5_3_1=0/3,"-0.064341,-0.219864,-0.004522,-0.002451,-0.007537"
C3,PASS,PASS,PASS,PASS,CONFLICT,FAIL,checkpointConsistency:CONFLICT,HV_ck50000_50_2_3_1=-0.0520;HV_ck100000_50_2_3_1=-0.0687;HV_ck150000_50_2_3_1=-0.0515,dCmax_terminal_50_2_3_1=0/3;dCmax_terminal_100_5_3_1=0/3;dTEC_terminal_50_2_3_1=0/3;dTEC_terminal_100_5_3_1=0/3;dTWC_terminal_50_2_3_1=0/3;dTWC_terminal_100_5_3_1=1/3,"-0.014339,0.122606,0.000251,-0.004886,-0.001521"
