instance,seed,arm,maxFEs,offWallMs,onWallMs,overheadPct,observerErrors,frontFinite,illegal,duplicate,expected250kLogGB,gate
100_5_3_1,20260901,A2,2000,190,192,1.05,0,true,0,0,0.08,PASS
100_5_3_1,20260901,A4,2000,340,343,0.88,0,true,0,0,0.12,PASS
100_5_3_1,20260901,A2,20000,1850,1920,3.78,0,true,0,0,0.85,PASS
100_5_3_1,20260901,A4,20000,3400,3520,3.52,0,true,0,0,0.95,PASS
100_2_4_1,20260901,A2,20000,1780,1845,3.65,0,true,0,0,0.82,PASS
100_2_4_1,20260901,A4,20000,3350,3460,3.28,0,true,0,0,0.93,PASS
