generatedByRunId,sourceJarSha256,configurationHash,instanceHash,seed,arm,telemetryMode,nominalCheckpointFE,actualSnapshotFE,overshootFE,generation,formalOuterCycle,qRound,frontType,unobservableReason,solutionFingerprint,Cmax,TEC,TWC,atomicBoundary
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,ddc038ffd40ebf506da782d2bf65efb88bd97bc6fd2bece51df846b956fe9d92,864.3811484756039,130470.52779790646,375965.3621798239,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,748d122a54b3a62572c4358a40d3fedb5c4306347ddff213389d21f21c47f9f4,872.7250978613966,130049.77624745815,371720.86653283355,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,5954f9cc99417a3254f50183d50994146f28b3abd13b2a3a1ba02c3822e54677,875.6827700460608,129285.89972340318,372622.7720766802,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,8985b0d8aa0f6f8e9b047c60d0b63b680abbecfe628bf712903f68597ee1421e,887.6162853443097,129009.81508091203,381668.7167072261,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,1d37f95d1510b673935c79cb71a1d7b11cfe594a393af9fda1d2c3c54fb41288,888.0912942134233,128521.39949333086,371470.24363101705,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,620ca90e94289d6f7690f639c6025bddce8278be76a5e22acb500981cd829ffb,895.244968370127,129209.28711168165,371252.8132469349,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,daa5e7a596b4b39e9d00da9aaa31814462ec38b2213c2443303810730e7c37ef,896.6226443008475,128724.26407679394,357949.66374601977,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,abbda146f901846ad2a9b2352fdc1ea5451366b4d279a930d798919495486659,901.3891660351064,128012.90820051121,390500.2983995684,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,e9f891755085ebde7a6288eadeebbc77d29ff46abaeb99e53497d08c36bbb4e1,916.1471249728231,127597.60320609537,381023.7805063418,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,80ab67dce3b9d2092a63b0b4b6cd1213a535bd7dbba04366cb0593d64b2d9a12,916.1798506490937,127768.75843255929,355162.6990718625,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,1be8153b25d0a3c52f510bb72392e41082fa533027dc467b4b80ae5f4cd76924,921.6901387544588,127278.87250527598,389220.13203145156,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,959cd6c3644a93c0a8d7195b8fb4d85f2857214cac4dbb4067c9901e24d4a3af,923.148758557707,127658.18633317138,379222.02581640054,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,8058506e819895f35e6768b7226bf0164a83b228d0c9c0f387d6d253d462592c,923.7805013408614,126708.22832505754,366220.3683395304,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,224bc7db4381fdbd4d9f8075d6dec282d1c72ffb1381bfe9e105f06411a7709d,998.6646229549723,126691.51673947908,391259.71931976045,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,162adf9b2d02deae48ebea27048bced36b9b08aa03faeede82cc2e0a21724cb4,1002.2818953860866,127050.56563431936,364433.1095300424,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,1cabbe1a8c4ffb988589e961fd789604da653ea2495a5a3dc52e6fd6967f43f2,1011.4968693017336,126729.9768458125,355527.32549549773,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,307292c9e6e6bdaa1355fe3c61ba4a6870ba49872603b665f02bb0cb9e027f66,1019.4160357726422,126620.12780093396,373000.2561890532,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,29b6fc46a317d941ddce7120739e90ae7a3372137eafe74134a22d6356a81c1f,1035.4758335369834,126061.44187130206,375700.9700362721,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,b182b88645170a9b496e66ec0cf8d2edb37cd58baacd9ee8624adc2a72fd1e37,1051.6222724761387,126197.70629649388,360385.2139307888,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,adee25ecf018aa5e160c50936d2bd988f17051587d657e7db0d95e9a6d1c76eb,1092.9633783799957,125574.51577317149,385097.5062898218,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,9d6add1999ca1907ac7c4d62792579aef533fba156647d4a45b76096744235cc,1158.085147172426,123674.63205438573,379670.90888352995,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,decisionArchiveFront,NONE,793f4df8d56d3df0841bd05129d29ad0a912032a7afb05aad240aa2e01bfd76b,1165.0029781551339,125424.07130467198,370140.03950540023,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,observedFullFront,NONE,e752b27fab80197d359e99fdb71d9941f3431f726ebc52fb80129bbc68e7bdc1,861.5947234316445,129049.20555682643,378177.25469922053,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
