seed,cycle,fe,Nmerge,Nunique,Nnd,Roverflow
20260901,1,6775,263,207,16,0.16
20260901,2,13491,259,213,36,0.36
20260901,3,20281,248,217,32,0.32
20260901,4,27182,248,209,60,0.6
20260901,5,34238,250,211,64,0.64
20260901,6,41501,258,213,56,0.56
20260901,7,49036,262,218,59,0.59
20260901,8,56932,259,216,72,0.72
20260901,9,65313,256,213,73,0.73
20260901,10,74366,273,230,64,0.64
20260901,11,84405,257,212,71,0.71
20260901,12,96025,269,226,72,0.72
