seed,cycle,fe,workingBestCmax,archiveBestCmax,cmaxGap,workingBestTEC,archiveBestTEC,tecGap,workingBestTWC,archiveBestTWC,twcGap,workingSize,archiveSize
20260901,1,6775,804.9523006888813,804.9523006888813,0.0,125118.97165182323,122420.98755066506,2697.984101158174,361305.1014833392,356642.3447536646,4662.756729674584,100,38
20260901,2,13491,778.3474116284325,778.3474116284325,0.0,122874.89814880687,122293.00021219463,581.8979366122367,337418.53978852904,336939.9401466957,478.59964183333796,100,88
20260901,3,20281,778.3474116284325,778.3474116284325,0.0,122874.89814880687,121695.82206916457,1179.0760796422983,333114.1935345232,328663.6708036723,4450.522730850906,100,156
20260901,4,27182,777.4285310227301,777.4285310227301,0.0,120752.17364317962,120394.87512053916,357.2985226404562,329842.92290713766,328256.9607740558,1585.9621330818627,100,228
20260901,5,34238,777.4285310227301,777.4285310227301,0.0,120244.21402550873,119958.53849233995,285.67553316877456,327250.2788934111,325706.1616948752,1544.1171985358815,100,260
20260901,6,41501,774.6234824657193,774.6234824657193,0.0,119382.22213598754,118830.9445780841,551.2775579034351,327250.2788934111,324955.52007391467,2294.7588194964337,100,260
20260901,7,49036,768.6873594820671,768.6873594820671,0.0,119382.22213598754,118827.38107468022,554.8410613073211,325121.1412726852,323853.1291042149,1268.0121684703045,100,241
20260901,8,56932,769.3616940467601,768.6873594820671,0.6743345646930266,118856.05158464093,118658.08571229439,197.96587234653998,323738.42989224306,322843.91248229536,894.5174099477008,100,245
20260901,9,65313,774.6234824657193,768.6873594820671,5.93612298365224,118856.05158464093,118370.30512743117,485.7464572097524,323738.42989224306,318588.80151699396,5149.6283752491,100,262
20260901,10,74366,774.6234824657193,768.6873594820671,5.93612298365224,118637.31875882765,118304.60056878047,332.7181900471769,323738.42989224306,318588.80151699396,5149.6283752491,100,289
20260901,11,84405,771.637644611694,768.6873594820671,2.9502851296268773,118637.31875882765,118179.4544830398,457.86427578785515,321657.7500069939,318588.80151699396,3068.9484899999225,100,268
20260901,12,96025,767.8111858549942,767.8111858549942,0.0,117852.68726078173,117713.36123450176,139.32602627997403,321657.7500069939,318588.80151699396,3068.9484899999225,100,241
