campaignId,remotePath,status,fileCount,totalBytes
zhangbo-cmax-audit-20k-20260812,/home/inspur/aicomp/zhangbo-cmax-audit-20k-20260812,MISSING,0,0
zhangbo-fc-500k-20260817,/home/inspur/aicomp/zhangbo-fc-500k-20260817,MISSING,0,0
zhangbo-fc4-20260817,/home/inspur/aicomp/zhangbo-fc4-20260817,MISSING,0,0
zhangbo-fc6-20260818,/home/inspur/aicomp/zhangbo-fc6-20260818,PRESENT,313,944083359
zhangbo-fc6a1-20260819,/home/inspur/aicomp/zhangbo-fc6a1-20260819,MISSING,0,0
zhangbo-fc6a4-order-20260820,/home/inspur/aicomp/zhangbo-fc6a4-order-20260820,PRESENT,249,222942939
zhangbo-fc6b-region-20260820,/home/inspur/aicomp/zhangbo-fc6b-region-20260820,MISSING,0,0
zhangbo-fc6b-region-20260820-r1,/home/inspur/aicomp/zhangbo-fc6b-region-20260820-r1,MISSING,0,0
zhangbo-fc6b-region-20260820-r2,/home/inspur/aicomp/zhangbo-fc6b-region-20260820-r2,MISSING,0,0
zhangbo-fc6b-region-20260820-r3,/home/inspur/aicomp/zhangbo-fc6b-region-20260820-r3,PRESENT,395,884993046
zhangbo-java-p9-decoder-timing-500k-20260811,/home/inspur/aicomp/zhangbo-java-p9-decoder-timing-500k-20260811,MISSING,0,0
zhangbo-java-p9-five-additional-500k-20260810,/home/inspur/aicomp/zhangbo-java-p9-five-additional-500k-20260810,MISSING,0,0
zhangbo-java-p9-pilot-20260810,/home/inspur/aicomp/zhangbo-java-p9-pilot-20260810,MISSING,0,0
zhangbo-java-p9-single-500k-20260810,/home/inspur/aicomp/zhangbo-java-p9-single-500k-20260810,MISSING,0,0
zhangbo-p86-pair-100k-20260811,/home/inspur/aicomp/zhangbo-p86-pair-100k-20260811,MISSING,0,0
zhangbo-runtime-audit-100k-20260810,/home/inspur/aicomp/zhangbo-runtime-audit-100k-20260810,MISSING,0,0
zhangbo-v35-doe1-20260820,/home/inspur/aicomp/zhangbo-v35-doe1-20260820,MISSING,0,0
zhangbo-v35-doe1-heldout-20260822,/home/inspur/aicomp/zhangbo-v35-doe1-heldout-20260822,MISSING,0,0
zhangbo-v35-p25a-main-variant-20260814,/home/inspur/aicomp/zhangbo-v35-p25a-main-variant-20260814,MISSING,0,0
zhangbo-v35-p25d-8alg-50k-20260815,/home/inspur/aicomp/zhangbo-v35-p25d-8alg-50k-20260815,MISSING,0,0
zhangbo-v35-p25e-corrected-50k-20260815,/home/inspur/aicomp/zhangbo-v35-p25e-corrected-50k-20260815,PRESENT,4963,722054431
zhangbo-v35-stage2-master-v2-20260823,/home/inspur/aicomp/zhangbo-v35-stage2-master-v2-20260823,PRESENT,6769,437543395
zhangbo-v35-stage2-phasebudget-20260823,/home/inspur/aicomp/zhangbo-v35-stage2-phasebudget-20260823,MISSING,0,0
zhangbo-v35-stage2-phasebudget-20260823-r2,/home/inspur/aicomp/zhangbo-v35-stage2-phasebudget-20260823-r2,MISSING,0,0
zhangbo-v35-stage2-phasebudget-20260823-r3,/home/inspur/aicomp/zhangbo-v35-stage2-phasebudget-20260823-r3,PRESENT,1194,107641605
