algorithm,instance,seed,cycle,fe,pool,target,nLT1,nEq1,nGt1,nND,selLT1,selEq1,selGt1,rejLT1,rejEq1,rejGt1,bpLT1,bpEq1,bpGt1
BASE,100_2_3_1,20260824,17,114539,267,100,104,0,163,104,100,0,0,4,0,163,100,0,0
BASE,100_2_3_1,20260824,18,121415,261,100,89,0,172,89,89,0,11,0,0,161,89,0,11
BASE,100_2_3_1,20260824,19,128316,275,100,92,0,183,92,92,0,8,0,0,175,92,0,8
BASE,100_2_3_1,20260824,20,135245,272,100,93,0,179,93,93,0,7,0,0,172,93,0,7
BASE,100_2_3_1,20260824,21,142203,263,100,64,0,199,64,64,0,36,0,0,163,64,0,36
BASE,100_2_3_1,20260824,22,149192,279,100,80,0,199,80,80,0,20,0,0,179,80,0,20
BASE,100_2_3_1,20260824,23,156214,273,100,86,0,187,86,86,0,14,0,0,173,86,0,14
BASE,100_2_3_1,20260824,24,163271,267,100,76,0,191,76,76,0,24,0,0,167,76,0,24
BASE,100_2_3_1,20260824,25,170366,274,100,73,0,201,73,73,0,27,0,0,174,73,0,27
BASE,100_2_3_1,20260824,26,177500,268,100,80,0,188,80,80,0,20,0,0,168,80,0,20
BASE,100_2_3_1,20260824,27,184676,266,100,92,0,174,92,92,0,8,0,0,166,92,0,8
BASE,100_2_3_1,20260824,28,191896,275,100,83,0,192,83,83,0,17,0,0,175,83,0,17
BASE,100_2_3_1,20260824,29,199163,270,100,62,0,208,62,62,0,38,0,0,170,62,0,38
BASE,100_2_3_1,20260824,30,206480,272,100,75,0,197,75,75,0,25,0,0,172,75,0,25
BASE,100_2_3_1,20260824,31,213849,268,100,90,0,178,90,90,0,10,0,0,168,90,0,10
BASE,100_2_3_1,20260824,32,221274,271,100,104,0,167,104,100,0,0,4,0,167,100,0,0
BASE,100_2_3_1,20260824,33,228758,266,100,86,0,180,86,86,0,14,0,0,166,86,0,14
BASE,100_2_3_1,20260824,34,236304,268,100,87,0,181,87,87,0,13,0,0,168,87,0,13
BASE,100_2_3_1,20260824,35,243916,273,100,84,0,189,84,84,0,16,0,0,173,84,0,16
BASE,100_2_3_1,20260824,36,251598,282,100,103,0,179,103,100,0,0,3,0,179,100,0,0
BASE,100_2_3_1,20260824,37,259354,267,100,112,1,154,113,100,0,0,12,1,154,100,0,0
BASE,100_2_3_1,20260824,38,267188,274,100,117,0,157,117,100,0,0,17,0,157,100,0,0
BASE,100_2_3_1,20260824,39,275106,266,100,119,0,147,119,100,0,0,19,0,147,100,0,0
BASE,100_2_3_1,20260824,40,283112,254,100,138,0,116,138,100,0,0,38,0,116,100,0,0
BASE,100_2_3_1,20260824,41,291213,256,100,109,0,147,109,100,0,0,9,0,147,100,0,0
BASE,100_2_3_1,20260824,42,299414,268,100,99,0,169,99,99,0,1,0,0,168,99,0,1
BASE,100_2_3_1,20260824,43,307723,276,100,114,1,161,115,100,0,0,14,1,161,100,0,0
BASE,100_2_3_1,20260824,44,316147,263,100,112,0,151,112,100,0,0,12,0,151,100,0,0
BASE,100_2_3_1,20260824,45,324694,276,100,120,0,156,120,100,0,0,20,0,156,100,0,0
BASE,100_2_3_1,20260824,46,333373,279,100,113,0,166,113,100,0,0,13,0,166,100,0,0
BASE,100_2_3_1,20260824,47,342194,288,100,94,0,194,94,94,0,6,0,0,188,94,0,6
BASE,100_2_3_1,20260824,48,351168,269,100,106,0,163,106,100,0,0,6,0,163,100,0,0
BASE,100_2_3_1,20260824,49,360308,274,100,98,0,176,98,98,0,2,0,0,174,98,0,2
BASE,100_2_3_1,20260824,50,369628,267,100,102,0,165,102,100,0,0,2,0,165,100,0,0
BASE,100_2_3_1,20260824,51,379143,265,100,108,0,157,108,100,0,0,8,0,157,100,0,0
BASE,100_2_3_1,20260824,52,388872,270,100,117,0,153,117,100,0,0,17,0,153,100,0,0
BASE,100_2_3_1,20260824,53,398836,274,100,107,0,167,107,100,0,0,7,0,167,100,0,0
BASE,100_2_3_1,20260824,54,409059,259,100,88,2,169,90,88,2,10,0,0,159,88,2,10
BASE,100_2_3_1,20260824,55,419570,286,100,107,3,176,110,100,0,0,7,3,176,99,1,0
BASE,100_2_3_1,20260824,56,430402,278,100,105,0,173,105,100,0,0,5,0,173,100,0,0
BASE,100_2_3_1,20260824,57,441595,282,100,102,0,180,102,100,0,0,2,0,180,100,0,0
BASE,100_2_3_1,20260824,58,453199,272,100,97,0,175,97,97,0,3,0,0,172,97,0,3
BASE,100_2_3_1,20260824,59,465273,287,100,100,0,187,100,100,0,0,0,0,187,100,0,0
BASE,100_2_3_1,20260824,60,477894,289,100,113,2,174,115,100,0,0,13,2,174,99,1,0
BASE,100_2_3_1,20260824,61,491160,299,100,106,0,193,106,100,0,0,6,0,193,100,0,0
BASE,100_2_3_1,20260824,62,500000,268,100,102,0,166,102,100,0,0,2,0,166,100,0,0
BASE,20_2_3_1,20260822,1,6767,310,100,37,0,273,37,37,0,63,0,0,210,37,0,63
BASE,20_2_3_1,20260822,2,13435,269,100,39,0,230,39,39,0,61,0,0,169,39,0,61
BASE,20_2_3_1,20260822,3,20106,280,100,79,1,200,80,79,1,20,0,0,180,79,1,20
BASE,20_2_3_1,20260822,4,26781,263,100,105,3,155,108,100,0,0,5,3,155,100,0,0
BASE,20_2_3_1,20260822,5,33462,281,100,87,0,194,87,87,0,13,0,0,181,87,0,13
BASE,20_2_3_1,20260822,6,40149,260,100,77,0,183,77,77,0,23,0,0,160,77,0,23
BASE,20_2_3_1,20260822,7,46844,255,100,91,0,164,91,91,0,9,0,0,155,91,0,9
BASE,20_2_3_1,20260822,8,53549,270,100,99,0,171,99,99,0,1,0,0,170,99,0,1
BASE,20_2_3_1,20260822,9,60264,259,100,107,0,152,107,100,0,0,7,0,152,100,0,0
BASE,20_2_3_1,20260822,10,66991,262,100,111,0,151,111,100,0,0,11,0,151,100,0,0
BASE,20_2_3_1,20260822,11,73732,257,100,111,0,146,111,100,0,0,11,0,146,100,0,0
BASE,20_2_3_1,20260822,12,80488,267,100,120,1,146,121,100,0,0,20,1,146,100,0,0
BASE,20_2_3_1,20260822,13,87260,266,100,105,0,161,105,100,0,0,5,0,161,100,0,0
BASE,20_2_3_1,20260822,14,94049,251,100,114,0,137,114,100,0,0,14,0,137,100,0,0
BASE,20_2_3_1,20260822,15,100858,251,100,102,0,149,102,100,0,0,2,0,149,100,0,0
BASE,20_2_3_1,20260822,16,107687,262,100,104,0,158,104,100,0,0,4,0,158,100,0,0
BASE,20_2_3_1,20260822,17,114539,250,100,120,0,130,120,100,0,0,20,0,130,100,0,0
BASE,20_2_3_1,20260822,18,121415,258,100,102,0,156,102,100,0,0,2,0,156,100,0,0
BASE,20_2_3_1,20260822,19,128316,255,100,92,0,163,92,92,0,8,0,0,155,92,0,8
BASE,20_2_3_1,20260822,20,135245,251,100,101,0,150,101,100,0,0,1,0,150,100,0,0
BASE,20_2_3_1,20260822,21,142203,250,100,112,0,138,112,100,0,0,12,0,138,100,0,0
BASE,20_2_3_1,20260822,22,149192,246,100,121,2,123,123,100,0,0,21,2,123,100,0,0
BASE,20_2_3_1,20260822,23,156214,246,100,128,2,116,130,100,0,0,28,2,116,99,1,0
BASE,20_2_3_1,20260822,24,163271,272,100,109,0,163,109,100,0,0,9,0,163,100,0,0
BASE,20_2_3_1,20260822,25,170366,273,100,121,0,152,121,100,0,0,21,0,152,100,0,0
BASE,20_2_3_1,20260822,26,177500,259,100,109,0,150,109,100,0,0,9,0,150,100,0,0
BASE,20_2_3_1,20260822,27,184676,268,100,119,0,149,119,100,0,0,19,0,149,100,0,0
BASE,20_2_3_1,20260822,28,191896,252,100,103,0,149,103,100,0,0,3,0,149,100,0,0
BASE,20_2_3_1,20260822,29,199163,267,100,117,0,150,117,100,0,0,17,0,150,100,0,0
BASE,20_2_3_1,20260822,30,206480,254,100,111,0,143,111,100,0,0,11,0,143,100,0,0
BASE,20_2_3_1,20260822,31,213849,256,100,111,0,145,111,100,0,0,11,0,145,100,0,0
BASE,20_2_3_1,20260822,32,221274,253,100,127,1,125,128,100,0,0,27,1,125,100,0,0
BASE,20_2_3_1,20260822,33,228758,274,100,131,0,143,131,100,0,0,31,0,143,100,0,0
BASE,20_2_3_1,20260822,34,236304,262,100,118,0,144,118,100,0,0,18,0,144,100,0,0
BASE,20_2_3_1,20260822,35,243916,260,100,127,3,130,130,100,0,0,27,3,130,100,0,0
BASE,20_2_3_1,20260822,36,251598,255,100,116,1,138,117,100,0,0,16,1,138,100,0,0
BASE,20_2_3_1,20260822,37,259354,261,100,121,1,139,122,100,0,0,21,1,139,100,0,0
BASE,20_2_3_1,20260822,38,267188,253,100,120,0,133,120,100,0,0,20,0,133,100,0,0
BASE,20_2_3_1,20260822,39,275106,244,100,115,0,129,115,100,0,0,15,0,129,100,0,0
BASE,20_2_3_1,20260822,40,283112,266,100,111,0,155,111,100,0,0,11,0,155,100,0,0
BASE,20_2_3_1,20260822,41,291213,268,100,91,0,177,91,91,0,9,0,0,168,91,0,9
BASE,20_2_3_1,20260822,42,299414,266,100,86,0,180,86,86,0,14,0,0,166,86,0,14
BASE,20_2_3_1,20260822,43,307723,265,100,89,0,176,89,89,0,11,0,0,165,89,0,11
BASE,20_2_3_1,20260822,44,316147,263,100,109,0,154,109,100,0,0,9,0,154,100,0,0
BASE,20_2_3_1,20260822,45,324694,266,100,114,0,152,114,100,0,0,14,0,152,100,0,0
BASE,20_2_3_1,20260822,46,333373,277,100,117,0,160,117,100,0,0,17,0,160,100,0,0
BASE,20_2_3_1,20260822,47,342194,273,100,107,0,166,107,100,0,0,7,0,166,100,0,0
BASE,20_2_3_1,20260822,48,351168,256,100,113,1,142,114,100,0,0,13,1,142,100,0,0
BASE,20_2_3_1,20260822,49,360308,262,100,112,0,150,112,100,0,0,12,0,150,100,0,0
BASE,20_2_3_1,20260822,50,369628,264,100,113,1,150,114,100,0,0,13,1,150,100,0,0
BASE,20_2_3_1,20260822,51,379143,275,100,116,0,159,116,100,0,0,16,0,159,100,0,0
BASE,20_2_3_1,20260822,52,388872,273,100,123,0,150,123,100,0,0,23,0,150,100,0,0
BASE,20_2_3_1,20260822,53,398836,272,100,110,0,162,110,100,0,0,10,0,162,100,0,0
BASE,20_2_3_1,20260822,54,409059,272,100,108,0,164,108,100,0,0,8,0,164,100,0,0
BASE,20_2_3_1,20260822,55,419570,250,100,112,2,136,114,100,0,0,12,2,136,100,0,0
BASE,20_2_3_1,20260822,56,430402,270,100,111,0,159,111,100,0,0,11,0,159,100,0,0
BASE,20_2_3_1,20260822,57,441595,273,100,126,3,144,129,100,0,0,26,3,144,100,0,0
BASE,20_2_3_1,20260822,58,453199,278,100,105,0,173,105,100,0,0,5,0,173,100,0,0
BASE,20_2_3_1,20260822,59,465273,263,100,115,0,148,115,100,0,0,15,0,148,100,0,0
BASE,20_2_3_1,20260822,60,477894,280,100,110,0,170,110,100,0,0,10,0,170,100,0,0
BASE,20_2_3_1,20260822,61,491160,284,100,108,0,176,108,100,0,0,8,0,176,100,0,0
BASE,20_2_3_1,20260822,62,500000,247,100,103,0,144,103,100,0,0,3,0,144,100,0,0
BASE,20_2_3_1,20260823,1,6767,281,100,43,0,238,43,43,0,57,0,0,181,43,0,57
BASE,20_2_3_1,20260823,2,13435,283,100,47,3,233,50,47,3,50,0,0,183,47,3,50
BASE,20_2_3_1,20260823,3,20106,283,100,66,4,213,70,66,4,30,0,0,183,66,4,30
BASE,20_2_3_1,20260823,4,26781,283,100,88,8,187,96,88,8,4,0,0,183,88,8,4
BASE,20_2_3_1,20260823,5,33462,294,100,84,4,206,88,84,4,12,0,0,194,84,4,12
BASE,20_2_3_1,20260823,6,40149,253,100,98,3,152,101,98,2,0,0,1,152,98,2,0
BASE,20_2_3_1,20260823,7,46844,272,100,111,0,161,111,100,0,0,11,0,161,100,0,0
BASE,20_2_3_1,20260823,8,53549,269,100,109,0,160,109,100,0,0,9,0,160,100,0,0
BASE,20_2_3_1,20260823,9,60264,278,100,108,2,168,110,100,0,0,8,2,168,100,0,0
BASE,20_2_3_1,20260823,10,66991,279,100,111,0,168,111,100,0,0,11,0,168,100,0,0
BASE,20_2_3_1,20260823,11,73732,269,100,114,0,155,114,100,0,0,14,0,155,100,0,0
BASE,20_2_3_1,20260823,12,80488,286,100,116,1,169,117,100,0,0,16,1,169,100,0,0
BASE,20_2_3_1,20260823,13,87260,273,100,113,0,160,113,100,0,0,13,0,160,100,0,0
BASE,20_2_3_1,20260823,14,94049,264,100,115,1,148,116,100,0,0,15,1,148,100,0,0
BASE,20_2_3_1,20260823,15,100858,274,100,114,2,158,116,100,0,0,14,2,158,99,1,0
BASE,20_2_3_1,20260823,16,107687,274,100,113,0,161,113,100,0,0,13,0,161,100,0,0
BASE,20_2_3_1,20260823,17,114539,283,100,111,1,171,112,100,0,0,11,1,171,99,1,0
BASE,20_2_3_1,20260823,18,121415,264,100,116,1,147,117,100,0,0,16,1,147,100,0,0
BASE,20_2_3_1,20260823,19,128316,265,100,107,0,158,107,100,0,0,7,0,158,100,0,0
BASE,20_2_3_1,20260823,20,135245,262,100,112,2,148,114,100,0,0,12,2,148,99,1,0
BASE,20_2_3_1,20260823,21,142203,274,100,110,1,163,111,100,0,0,10,1,163,100,0,0
BASE,20_2_3_1,20260823,22,149192,293,100,105,0,188,105,100,0,0,5,0,188,100,0,0
BASE,20_2_3_1,20260823,23,156214,265,100,113,1,151,114,100,0,0,13,1,151,100,0,0
BASE,20_2_3_1,20260823,24,163271,287,100,114,1,172,115,100,0,0,14,1,172,100,0,0
BASE,20_2_3_1,20260823,25,170366,302,100,115,0,187,115,100,0,0,15,0,187,100,0,0
BASE,20_2_3_1,20260823,26,177500,306,100,109,2,195,111,100,0,0,9,2,195,99,1,0
BASE,20_2_3_1,20260823,27,184676,290,100,108,0,182,108,100,0,0,8,0,182,100,0,0
BASE,20_2_3_1,20260823,28,191896,283,100,111,3,169,114,100,0,0,11,3,169,99,1,0
BASE,20_2_3_1,20260823,29,199163,289,100,104,2,183,106,100,0,0,4,2,183,99,1,0
BASE,20_2_3_1,20260823,30,206480,301,100,109,0,192,109,100,0,0,9,0,192,100,0,0
BASE,20_2_3_1,20260823,31,213849,289,100,114,1,174,115,100,0,0,14,1,174,100,0,0
BASE,20_2_3_1,20260823,32,221274,287,100,120,0,167,120,100,0,0,20,0,167,100,0,0
BASE,20_2_3_1,20260823,33,228758,294,100,112,1,181,113,100,0,0,12,1,181,100,0,0
BASE,20_2_3_1,20260823,34,236304,303,100,119,0,184,119,100,0,0,19,0,184,100,0,0
BASE,20_2_3_1,20260823,35,243916,306,100,116,2,188,118,100,0,0,16,2,188,99,1,0
BASE,20_2_3_1,20260823,36,251598,295,100,116,0,179,116,100,0,0,16,0,179,100,0,0
BASE,20_2_3_1,20260823,37,259354,301,100,113,2,186,115,100,0,0,13,2,186,100,0,0
BASE,20_2_3_1,20260823,38,267188,292,100,113,0,179,113,100,0,0,13,0,179,100,0,0
BASE,20_2_3_1,20260823,39,275106,303,100,122,2,179,124,100,0,0,22,2,179,100,0,0
BASE,20_2_3_1,20260823,40,283112,290,100,116,0,174,116,100,0,0,16,0,174,100,0,0
BASE,20_2_3_1,20260823,41,291213,282,100,125,0,157,125,100,0,0,25,0,157,100,0,0
BASE,20_2_3_1,20260823,42,299414,269,100,117,3,149,120,100,0,0,17,3,149,99,1,0
BASE,20_2_3_1,20260823,43,307723,307,100,116,1,190,117,100,0,0,16,1,190,100,0,0
BASE,20_2_3_1,20260823,44,316147,278,100,110,0,168,110,100,0,0,10,0,168,100,0,0
BASE,20_2_3_1,20260823,45,324694,309,100,114,0,195,114,100,0,0,14,0,195,100,0,0
BASE,20_2_3_1,20260823,46,333373,286,100,120,1,165,121,100,0,0,20,1,165,100,0,0
BASE,20_2_3_1,20260823,47,342194,283,100,116,0,167,116,100,0,0,16,0,167,100,0,0
BASE,20_2_3_1,20260823,48,351168,293,100,108,0,185,108,100,0,0,8,0,185,100,0,0
BASE,20_2_3_1,20260823,49,360308,287,100,117,0,170,117,100,0,0,17,0,170,100,0,0
BASE,20_2_3_1,20260823,50,369628,301,100,109,0,192,109,100,0,0,9,0,192,100,0,0
BASE,20_2_3_1,20260823,51,379143,309,100,87,0,222,87,87,0,13,0,0,209,87,0,13
BASE,20_2_3_1,20260823,52,388872,307,100,99,0,208,99,99,0,1,0,0,207,99,0,1
BASE,20_2_3_1,20260823,53,398836,303,100,112,2,189,114,100,0,0,12,2,189,100,0,0
BASE,20_2_3_1,20260823,54,409059,297,100,116,0,181,116,100,0,0,16,0,181,100,0,0
BASE,20_2_3_1,20260823,55,419570,290,100,114,0,176,114,100,0,0,14,0,176,100,0,0
BASE,20_2_3_1,20260823,56,430402,300,100,117,1,182,118,100,0,0,17,1,182,100,0,0
BASE,20_2_3_1,20260823,57,441595,299,100,114,1,184,115,100,0,0,14,1,184,100,0,0
BASE,20_2_3_1,20260823,58,453199,293,100,124,0,169,124,100,0,0,24,0,169,100,0,0
BASE,20_2_3_1,20260823,59,465273,310,100,120,0,190,120,100,0,0,20,0,190,100,0,0
BASE,20_2_3_1,20260823,60,477894,326,100,120,1,205,121,100,0,0,20,1,205,100,0,0
BASE,20_2_3_1,20260823,61,491160,308,100,111,0,197,111,100,0,0,11,0,197,100,0,0
BASE,20_2_3_1,20260823,62,500000,277,100,111,0,166,111,100,0,0,11,0,166,100,0,0
BASE,20_2_3_1,20260824,1,6767,310,100,35,0,275,35,35,0,65,0,0,210,35,0,65
BASE,20_2_3_1,20260824,2,13435,289,100,35,0,254,35,35,0,65,0,0,189,35,0,65
BASE,20_2_3_1,20260824,3,20106,279,100,52,1,226,53,52,1,47,0,0,179,52,1,47
BASE,20_2_3_1,20260824,4,26781,280,100,73,0,207,73,73,0,27,0,0,180,73,0,27
BASE,20_2_3_1,20260824,5,33462,279,100,78,1,200,79,78,1,21,0,0,179,78,1,21
BASE,20_2_3_1,20260824,6,40149,269,100,85,0,184,85,85,0,15,0,0,169,85,0,15
BASE,20_2_3_1,20260824,7,46844,260,100,98,4,158,102,98,2,0,0,2,158,98,2,0
BASE,20_2_3_1,20260824,8,53549,283,100,101,1,181,102,100,0,0,1,1,181,99,1,0
BASE,20_2_3_1,20260824,9,60264,270,100,110,0,160,110,100,0,0,10,0,160,100,0,0
BASE,20_2_3_1,20260824,10,66991,274,100,118,0,156,118,100,0,0,18,0,156,100,0,0
BASE,20_2_3_1,20260824,11,73732,276,100,112,0,164,112,100,0,0,12,0,164,100,0,0
BASE,20_2_3_1,20260824,12,80488,264,100,107,3,154,110,100,0,0,7,3,154,99,1,0
BASE,20_2_3_1,20260824,13,87260,263,100,115,0,148,115,100,0,0,15,0,148,100,0,0
BASE,20_2_3_1,20260824,14,94049,279,100,110,3,166,113,100,0,0,10,3,166,99,1,0
BASE,20_2_3_1,20260824,15,100858,259,100,120,0,139,120,100,0,0,20,0,139,100,0,0
BASE,20_2_3_1,20260824,16,107687,250,100,117,2,131,119,100,0,0,17,2,131,99,1,0
BASE,20_2_3_1,20260824,17,114539,274,100,96,0,178,96,96,0,4,0,0,174,96,0,4
BASE,20_2_3_1,20260824,18,121415,275,100,111,0,164,111,100,0,0,11,0,164,100,0,0
BASE,20_2_3_1,20260824,19,128316,267,100,120,0,147,120,100,0,0,20,0,147,100,0,0
BASE,20_2_3_1,20260824,20,135245,258,100,111,0,147,111,100,0,0,11,0,147,100,0,0
BASE,20_2_3_1,20260824,21,142203,273,100,119,0,154,119,100,0,0,19,0,154,100,0,0
BASE,20_2_3_1,20260824,22,149192,279,100,114,0,165,114,100,0,0,14,0,165,100,0,0
