algorithm,instance,seed,cycle,fe,pool,target,nLT1,nEq1,nGt1,nND,selLT1,selEq1,selGt1,rejLT1,rejEq1,rejGt1,bpLT1,bpEq1,bpGt1
BASE,100_2_3_1,20260823,1,6767,289,100,10,0,279,10,10,0,90,0,0,189,10,0,90
BASE,100_2_3_1,20260823,2,13435,284,100,28,0,256,28,28,0,72,0,0,184,28,0,72
BASE,100_2_3_1,20260823,3,20106,277,100,14,0,263,14,14,0,86,0,0,177,14,0,86
BASE,100_2_3_1,20260823,4,26781,285,100,25,0,260,25,25,0,75,0,0,185,25,0,75
BASE,100_2_3_1,20260823,5,33462,279,100,40,8,231,48,40,8,52,0,0,179,40,8,52
BASE,100_2_3_1,20260823,6,40149,263,100,40,9,214,49,40,9,51,0,0,163,40,9,51
BASE,100_2_3_1,20260823,7,46844,258,100,36,14,208,50,36,14,50,0,0,158,36,14,50
BASE,100_2_3_1,20260823,8,53549,276,100,73,0,203,73,73,0,27,0,0,176,73,0,27
BASE,100_2_3_1,20260823,9,60264,272,100,69,6,197,75,69,6,25,0,0,172,69,6,25
BASE,100_2_3_1,20260823,10,66991,274,100,38,6,230,44,38,6,56,0,0,174,38,6,56
BASE,100_2_3_1,20260823,11,73732,257,100,48,0,209,48,48,0,52,0,0,157,48,0,52
BASE,100_2_3_1,20260823,12,80488,248,100,59,0,189,59,59,0,41,0,0,148,59,0,41
BASE,100_2_3_1,20260823,13,87260,249,100,79,0,170,79,79,0,21,0,0,149,79,0,21
BASE,100_2_3_1,20260823,14,94049,252,100,88,0,164,88,88,0,12,0,0,152,88,0,12
BASE,100_2_3_1,20260823,15,100858,254,100,102,0,152,102,100,0,0,2,0,152,100,0,0
BASE,100_2_3_1,20260823,16,107687,276,100,103,0,173,103,100,0,0,3,0,173,100,0,0
BASE,100_2_3_1,20260823,17,114539,248,100,101,0,147,101,100,0,0,1,0,147,100,0,0
BASE,100_2_3_1,20260823,18,121415,285,100,103,0,182,103,100,0,0,3,0,182,100,0,0
BASE,100_2_3_1,20260823,19,128316,280,100,111,1,168,112,100,0,0,11,1,168,100,0,0
BASE,100_2_3_1,20260823,20,135245,266,100,99,0,167,99,99,0,1,0,0,166,99,0,1
BASE,100_2_3_1,20260823,21,142203,273,100,101,0,172,101,100,0,0,1,0,172,100,0,0
BASE,100_2_3_1,20260823,22,149192,261,100,86,0,175,86,86,0,14,0,0,161,86,0,14
BASE,100_2_3_1,20260823,23,156214,259,100,102,0,157,102,100,0,0,2,0,157,100,0,0
BASE,100_2_3_1,20260823,24,163271,268,100,94,0,174,94,94,0,6,0,0,168,94,0,6
BASE,100_2_3_1,20260823,25,170366,250,100,102,0,148,102,100,0,0,2,0,148,100,0,0
BASE,100_2_3_1,20260823,26,177500,253,100,106,0,147,106,100,0,0,6,0,147,100,0,0
BASE,100_2_3_1,20260823,27,184676,260,100,109,2,149,111,100,0,0,9,2,149,99,1,0
BASE,100_2_3_1,20260823,28,191896,257,100,102,0,155,102,100,0,0,2,0,155,100,0,0
BASE,100_2_3_1,20260823,29,199163,266,100,91,0,175,91,91,0,9,0,0,166,91,0,9
BASE,100_2_3_1,20260823,30,206480,253,100,99,2,152,101,99,1,0,0,1,152,99,1,0
BASE,100_2_3_1,20260823,31,213849,266,100,103,0,163,103,100,0,0,3,0,163,100,0,0
BASE,100_2_3_1,20260823,32,221274,248,100,112,0,136,112,100,0,0,12,0,136,100,0,0
BASE,100_2_3_1,20260823,33,228758,236,100,89,0,147,89,89,0,11,0,0,136,89,0,11
BASE,100_2_3_1,20260823,34,236304,246,100,88,0,158,88,88,0,12,0,0,146,88,0,12
BASE,100_2_3_1,20260823,35,243916,268,100,97,0,171,97,97,0,3,0,0,168,97,0,3
BASE,100_2_3_1,20260823,36,251598,256,100,90,0,166,90,90,0,10,0,0,156,90,0,10
BASE,100_2_3_1,20260823,37,259354,263,100,93,0,170,93,93,0,7,0,0,163,93,0,7
BASE,100_2_3_1,20260823,38,267188,246,100,93,0,153,93,93,0,7,0,0,146,93,0,7
BASE,100_2_3_1,20260823,39,275106,244,100,67,3,174,70,67,3,30,0,0,144,67,3,30
BASE,100_2_3_1,20260823,40,283112,259,100,84,0,175,84,84,0,16,0,0,159,84,0,16
BASE,100_2_3_1,20260823,41,291213,245,100,86,0,159,86,86,0,14,0,0,145,86,0,14
BASE,100_2_3_1,20260823,42,299414,243,100,90,1,152,91,90,1,9,0,0,143,90,1,9
BASE,100_2_3_1,20260823,43,307723,249,100,94,6,149,100,94,6,0,0,0,149,94,6,0
BASE,100_2_3_1,20260823,44,316147,251,100,87,9,155,96,87,9,4,0,0,151,87,9,4
BASE,100_2_3_1,20260823,45,324694,268,100,112,0,156,112,100,0,0,12,0,156,100,0,0
BASE,100_2_3_1,20260823,46,333373,262,100,106,2,154,108,100,0,0,6,2,154,99,1,0
BASE,100_2_3_1,20260823,47,342194,258,100,99,3,156,102,99,1,0,0,2,156,99,1,0
BASE,100_2_3_1,20260823,48,351168,258,100,106,0,152,106,100,0,0,6,0,152,100,0,0
BASE,100_2_3_1,20260823,49,360308,259,100,83,3,173,86,83,3,14,0,0,159,83,3,14
BASE,100_2_3_1,20260823,50,369628,256,100,102,0,154,102,100,0,0,2,0,154,100,0,0
BASE,100_2_3_1,20260823,51,379143,266,100,112,0,154,112,100,0,0,12,0,154,100,0,0
BASE,100_2_3_1,20260823,52,388872,266,100,112,0,154,112,100,0,0,12,0,154,100,0,0
BASE,100_2_3_1,20260823,53,398836,252,100,116,0,136,116,100,0,0,16,0,136,100,0,0
BASE,100_2_3_1,20260823,54,409059,276,100,109,2,165,111,100,0,0,9,2,165,99,1,0
BASE,100_2_3_1,20260823,55,419570,278,100,108,2,168,110,100,0,0,8,2,168,99,1,0
BASE,100_2_3_1,20260823,56,430402,251,100,97,3,151,100,97,3,0,0,0,151,97,3,0
BASE,100_2_3_1,20260823,57,441595,262,100,107,3,152,110,100,0,0,7,3,152,99,1,0
BASE,100_2_3_1,20260823,58,453199,270,100,103,3,164,106,100,0,0,3,3,164,99,1,0
BASE,100_2_3_1,20260823,59,465273,261,100,98,0,163,98,98,0,2,0,0,161,98,0,2
BASE,100_2_3_1,20260823,60,477894,267,100,97,0,170,97,97,0,3,0,0,167,97,0,3
BASE,100_2_3_1,20260823,61,491160,278,100,112,0,166,112,100,0,0,12,0,166,100,0,0
BASE,100_2_3_1,20260823,62,500000,255,100,119,0,136,119,100,0,0,19,0,136,100,0,0
BASE,100_2_3_1,20260824,1,6767,279,100,16,0,263,16,16,0,84,0,0,179,16,0,84
BASE,100_2_3_1,20260824,2,13435,302,100,34,0,268,34,34,0,66,0,0,202,34,0,66
BASE,100_2_3_1,20260824,3,20106,291,100,51,1,239,52,51,1,48,0,0,191,51,1,48
BASE,100_2_3_1,20260824,4,26781,282,100,49,0,233,49,49,0,51,0,0,182,49,0,51
BASE,100_2_3_1,20260824,5,33462,289,100,63,0,226,63,63,0,37,0,0,189,63,0,37
BASE,100_2_3_1,20260824,6,40149,284,100,53,0,231,53,53,0,47,0,0,184,53,0,47
BASE,100_2_3_1,20260824,7,46844,295,100,48,1,246,49,48,1,51,0,0,195,48,1,51
BASE,100_2_3_1,20260824,8,53549,279,100,67,0,212,67,67,0,33,0,0,179,67,0,33
BASE,100_2_3_1,20260824,9,60264,277,100,73,0,204,73,73,0,27,0,0,177,73,0,27
BASE,100_2_3_1,20260824,10,66991,278,100,79,0,199,79,79,0,21,0,0,178,79,0,21
BASE,100_2_3_1,20260824,11,73732,282,100,88,0,194,88,88,0,12,0,0,182,88,0,12
BASE,100_2_3_1,20260824,12,80488,264,100,72,0,192,72,72,0,28,0,0,164,72,0,28
BASE,100_2_3_1,20260824,13,87260,271,100,65,0,206,65,65,0,35,0,0,171,65,0,35
BASE,100_2_3_1,20260824,14,94049,275,100,91,0,184,91,91,0,9,0,0,175,91,0,9
BASE,100_2_3_1,20260824,15,100858,271,100,71,0,200,71,71,0,29,0,0,171,71,0,29
BASE,100_2_3_1,20260824,16,107687,263,100,85,2,176,87,85,2,13,0,0,163,85,2,13
