algorithm,instance,metric,n,median,Q1,Q3,min,max
BASE,100_2_3_1,pool,124,268.0,259.0,276.0,236,302
BASE,100_2_3_1,nND,124,95.0,79.0,106.0,10,138
BASE,100_2_3_1,nLT1,124,94.0,79.0,105.25,10,138
BASE,100_2_3_1,nEq1,124,0.0,0.0,0.0,0,14
BASE,100_2_3_1,nGt1,124,172.5,156.75,192.25,116,279
BASE,100_2_3_1,selLT1,124,94.0,79.0,100.0,10,100
BASE,100_2_3_1,selEq1,124,0.0,0.0,0.0,0,14
BASE,100_2_3_1,rejEq1,124,0.0,0.0,0.0,0,3
BASE,100_2_3_1,RC,124,0.94,0.79,1.0525000000000002,0.1,1.38
BASE,100_2_3_1,RB,124,0.0,0.0,0.0,0.0,0.14
BASE,100_2_3_1,P_nLT1>100,124,0.3951612903225806,,,,
BASE,100_2_3_1,P_nND>100,124,0.4112903225806452,,,,
BASE,20_2_3_1,pool,186,277.5,265.25,290.0,244,326
BASE,20_2_3_1,nND,186,111.0,106.0,115.0,35,131
BASE,20_2_3_1,nLT1,186,111.0,105.25,115.0,35,131
BASE,20_2_3_1,nEq1,186,0.0,0.0,1.0,0,8
BASE,20_2_3_1,nGt1,186,168.5,154.0,182.0,116,275
BASE,20_2_3_1,selLT1,186,100.0,100.0,100.0,35,100
BASE,20_2_3_1,selEq1,186,0.0,0.0,0.0,0,8
BASE,20_2_3_1,rejEq1,186,0.0,0.0,1.0,0,3
BASE,20_2_3_1,RC,186,1.11,1.0525000000000002,1.15,0.35,1.31
BASE,20_2_3_1,RB,186,0.0,0.0,0.01,0.0,0.08
BASE,20_2_3_1,P_nLT1>100,186,0.8387096774193549,,,,
BASE,20_2_3_1,P_nND>100,186,0.8602150537634409,,,,
QGS,100_2_3_1,pool,48,300.0,299.0,300.0,257,300
QGS,100_2_3_1,nND,48,84.0,57.5,97.25,28,116
QGS,100_2_3_1,nLT1,48,77.5,54.25,95.0,28,112
QGS,100_2_3_1,nEq1,48,2.0,0.0,4.0,0,11
QGS,100_2_3_1,nGt1,48,213.5,198.75,242.5,159,272
QGS,100_2_3_1,selLT1,48,77.5,54.25,95.0,28,100
QGS,100_2_3_1,selEq1,48,0.0,0.0,2.0,0,11
QGS,100_2_3_1,rejEq1,48,0.0,0.0,0.0,0,9
QGS,100_2_3_1,RC,48,0.775,0.5425,0.95,0.28,1.12
QGS,100_2_3_1,RB,48,0.02,0.0,0.04,0.0,0.11
QGS,100_2_3_1,P_nLT1>100,48,0.0625,,,,
QGS,100_2_3_1,P_nND>100,48,0.1875,,,,
QGS,20_2_3_1,pool,54,300.0,300.0,300.0,237,300
QGS,20_2_3_1,nND,54,101.0,86.25,108.0,36,130
QGS,20_2_3_1,nLT1,54,101.0,86.25,108.0,36,124
QGS,20_2_3_1,nEq1,54,0.0,0.0,0.0,0,6
QGS,20_2_3_1,nGt1,54,198.5,191.0,213.75,135,264
QGS,20_2_3_1,selLT1,54,100.0,86.25,100.0,36,100
QGS,20_2_3_1,selEq1,54,0.0,0.0,0.0,0,2
QGS,20_2_3_1,rejEq1,54,0.0,0.0,0.0,0,6
QGS,20_2_3_1,RC,54,1.01,0.8625,1.08,0.36,1.24
QGS,20_2_3_1,RB,54,0.0,0.0,0.0,0.0,0.06
QGS,20_2_3_1,P_nLT1>100,54,0.5185185185185185,,,,
QGS,20_2_3_1,P_nND>100,54,0.5185185185185185,,,,
