runKey,runId,attemptId,algorithm,instance,seed,population,maxFEs,snapshotPath,snapshotSha256,instanceSha256,jarSha256,command,launchUtc,finalDirectory,outcome
NSGA-II-F|20_2_3_1|20260822|100|20000,PRE20-NSGAIIF-20_2_3_1,1,NSGA-II-F,20_2_3_1,20260822,100,20000,E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-FORMAL-MANIFEST/initial-populations\20_2_3_1\seed-20260822.fourvec,b5f53f6e47583f9f414dce18ae2b8824e6a775e030639d4cb19d5acd0af5ae24,47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08,966da3d2d23842f4ea5892e8da57404c88b076be2f9fcb568b54953f525447d9,java -cp E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT/01-launcher-hardening/external-fair-baseline-comparison-preflight-966da3d2.jar org.uma.jmetal.runner.lc_psode.ZhangBoV35ExternalFairBaselineRunner --algorithm NSGA-II-F --instance E:\学习\李明哲-毕业材料\张博改进\java-jmetal58\EADHFSP\20_2_3_1.txt --seed 20260822 --population 100 --maxFEs 20000 --snapshot E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-FORMAL-MANIFEST/initial-populations\20_2_3_1\seed-20260822.fourvec --run-id PRE20-NSGAIIF-20_2_3_1 --attempt-id 1 --final-output E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT\03-runs\run-PRE20-NSGAIIF-20_2_3_1,2026-08-30T04:56:56Z,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT\03-runs\run-PRE20-NSGAIIF-20_2_3_1,ACCEPTED
NSGA-II-F|50_2_3_1|20260822|100|20000,PRE20-NSGAIIF-50_2_3_1,1,NSGA-II-F,50_2_3_1,20260822,100,20000,E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-FORMAL-MANIFEST/initial-populations\50_2_3_1\seed-20260822.fourvec,02fb303696f84dbb4e36d328084bd07581dc08bfbe7d6bcedbfe6fa193f4c43a,d08d6abc46788d46bc24c135a8dc810b4675e333e3d61e65c7551835fc93e787,966da3d2d23842f4ea5892e8da57404c88b076be2f9fcb568b54953f525447d9,java -cp E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT/01-launcher-hardening/external-fair-baseline-comparison-preflight-966da3d2.jar org.uma.jmetal.runner.lc_psode.ZhangBoV35ExternalFairBaselineRunner --algorithm NSGA-II-F --instance E:\学习\李明哲-毕业材料\张博改进\java-jmetal58\EADHFSP\50_2_3_1.txt --seed 20260822 --population 100 --maxFEs 20000 --snapshot E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-FORMAL-MANIFEST/initial-populations\50_2_3_1\seed-20260822.fourvec --run-id PRE20-NSGAIIF-50_2_3_1 --attempt-id 1 --final-output E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT\03-runs\run-PRE20-NSGAIIF-50_2_3_1,2026-08-30T04:56:57Z,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT\03-runs\run-PRE20-NSGAIIF-50_2_3_1,ACCEPTED
NSGA-II-F|100_2_4_1|20260822|100|20000,PRE20-NSGAIIF-100_2_4_1,1,NSGA-II-F,100_2_4_1,20260822,100,20000,E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-FORMAL-MANIFEST/initial-populations\100_2_4_1\seed-20260822.fourvec,cfc45052ac6eee887378a0fe5ff036e2e339d11ae3e631c183e665a59140294b,10b57d8c0c8ec590dd9ae0ce3eb265fc0e50c7fa52196efe2ff7fb085060b8d3,966da3d2d23842f4ea5892e8da57404c88b076be2f9fcb568b54953f525447d9,java -cp E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT/01-launcher-hardening/external-fair-baseline-comparison-preflight-966da3d2.jar org.uma.jmetal.runner.lc_psode.ZhangBoV35ExternalFairBaselineRunner --algorithm NSGA-II-F --instance E:\学习\李明哲-毕业材料\张博改进\java-jmetal58\EADHFSP\100_2_4_1.txt --seed 20260822 --population 100 --maxFEs 20000 --snapshot E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-FORMAL-MANIFEST/initial-populations\100_2_4_1\seed-20260822.fourvec --run-id PRE20-NSGAIIF-100_2_4_1 --attempt-id 1 --final-output E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT\03-runs\run-PRE20-NSGAIIF-100_2_4_1,2026-08-30T04:57:00Z,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT\03-runs\run-PRE20-NSGAIIF-100_2_4_1,ACCEPTED
SPEA2-F|20_2_3_1|20260822|100|20000,PRE20-SPEA2F-20_2_3_1,1,SPEA2-F,20_2_3_1,20260822,100,20000,E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-FORMAL-MANIFEST/initial-populations\20_2_3_1\seed-20260822.fourvec,b5f53f6e47583f9f414dce18ae2b8824e6a775e030639d4cb19d5acd0af5ae24,47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08,966da3d2d23842f4ea5892e8da57404c88b076be2f9fcb568b54953f525447d9,java -cp E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT/01-launcher-hardening/external-fair-baseline-comparison-preflight-966da3d2.jar org.uma.jmetal.runner.lc_psode.ZhangBoV35ExternalFairBaselineRunner --algorithm SPEA2-F --instance E:\学习\李明哲-毕业材料\张博改进\java-jmetal58\EADHFSP\20_2_3_1.txt --seed 20260822 --population 100 --maxFEs 20000 --snapshot E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-FORMAL-MANIFEST/initial-populations\20_2_3_1\seed-20260822.fourvec --run-id PRE20-SPEA2F-20_2_3_1 --attempt-id 1 --final-output E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT\03-runs\run-PRE20-SPEA2F-20_2_3_1,2026-08-30T04:57:03Z,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT\03-runs\run-PRE20-SPEA2F-20_2_3_1,ACCEPTED
SPEA2-F|50_2_3_1|20260822|100|20000,PRE20-SPEA2F-50_2_3_1,1,SPEA2-F,50_2_3_1,20260822,100,20000,E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-FORMAL-MANIFEST/initial-populations\50_2_3_1\seed-20260822.fourvec,02fb303696f84dbb4e36d328084bd07581dc08bfbe7d6bcedbfe6fa193f4c43a,d08d6abc46788d46bc24c135a8dc810b4675e333e3d61e65c7551835fc93e787,966da3d2d23842f4ea5892e8da57404c88b076be2f9fcb568b54953f525447d9,java -cp E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT/01-launcher-hardening/external-fair-baseline-comparison-preflight-966da3d2.jar org.uma.jmetal.runner.lc_psode.ZhangBoV35ExternalFairBaselineRunner --algorithm SPEA2-F --instance E:\学习\李明哲-毕业材料\张博改进\java-jmetal58\EADHFSP\50_2_3_1.txt --seed 20260822 --population 100 --maxFEs 20000 --snapshot E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-FORMAL-MANIFEST/initial-populations\50_2_3_1\seed-20260822.fourvec --run-id PRE20-SPEA2F-50_2_3_1 --attempt-id 1 --final-output E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT\03-runs\run-PRE20-SPEA2F-50_2_3_1,2026-08-30T04:57:05Z,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT\03-runs\run-PRE20-SPEA2F-50_2_3_1,ACCEPTED
SPEA2-F|100_2_4_1|20260822|100|20000,PRE20-SPEA2F-100_2_4_1,1,SPEA2-F,100_2_4_1,20260822,100,20000,E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-FORMAL-MANIFEST/initial-populations\100_2_4_1\seed-20260822.fourvec,cfc45052ac6eee887378a0fe5ff036e2e339d11ae3e631c183e665a59140294b,10b57d8c0c8ec590dd9ae0ce3eb265fc0e50c7fa52196efe2ff7fb085060b8d3,966da3d2d23842f4ea5892e8da57404c88b076be2f9fcb568b54953f525447d9,java -cp E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT/01-launcher-hardening/external-fair-baseline-comparison-preflight-966da3d2.jar org.uma.jmetal.runner.lc_psode.ZhangBoV35ExternalFairBaselineRunner --algorithm SPEA2-F --instance E:\学习\李明哲-毕业材料\张博改进\java-jmetal58\EADHFSP\100_2_4_1.txt --seed 20260822 --population 100 --maxFEs 20000 --snapshot E:\学习\李明哲-毕业材料\张博改进\docs/evidence/V35-FORMAL-MANIFEST/initial-populations\100_2_4_1\seed-20260822.fourvec --run-id PRE20-SPEA2F-100_2_4_1 --attempt-id 1 --final-output E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT\03-runs\run-PRE20-SPEA2F-100_2_4_1,2026-08-30T04:57:08Z,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-EXTERNAL-BASELINE-PRODUCTION-PREFLIGHT\03-runs\run-PRE20-SPEA2F-100_2_4_1,ACCEPTED
