seed,phase,FE_CATA,FE_inherited,bestCmax_CATA,bestCmax_inherited,enteredPddr_CATA,enteredPddr_inherited,pddrSelected_CATA,pddrSelected_inherited
20260822,REGION_GLOBAL,11607,178293,208.83747523527387,183.9581480660247,2683,770,229,90
20260822,REGION_AWARE,12596,177304,173.14191051372916,170.08587538081997,3139,724,250,89
20260823,REGION_GLOBAL,15084,174816,181.5555663959187,175.0817074813607,2827,715,232,69
20260823,REGION_AWARE,12318,177582,186.5555032825312,179.13234127972135,3215,745,229,112
20260824,REGION_GLOBAL,12426,177474,181.47558854843143,174.903277189513,2476,647,144,75
20260824,REGION_AWARE,13694,176206,183.17785950625665,177.93401113179763,3415,726,279,93
