step,event
-1,"FORCED=20/40/20/20"
-1,"FORCED=15/55/15/15"
-1,"FORCED=25/25/25/25"
-1,"RANK_ADD=10/30/30/30;rank=4"
-1,"RANK_ADD=10/35/25/30;rank=5"
-1,"RANK_ADD=10/35/30/25;rank=6"
-1,"RANK_ADD=10/40/20/30;rank=7"
-1,"RANK_ADD=10/40/25/25;rank=8"
-1,"RANK_ADD=15/25/30/30;rank=9"
-1,"RANK_ADD=30/30/10/30;rank=10"
-1,"FILL_ADD=10/50/30/10;logDet=-67.09550795382252"
-1,"FILL_ADD=30/30/30/10;logDet=-61.84407062186316"
-1,"FILL_ADD=30/50/10/10;logDet=-58.16922182965546"
-1,"FILL_ADD=10/60/10/20;logDet=-55.691678002877836"
-1,"FILL_ADD=15/45/10/30;logDet=-53.57192010543"
-1,"EXCHANGE=10/35/25/30->10/60/20/10;logDet=-52.65769887717058"
-1,"EXCHANGE=10/40/25/25->20/60/10/10;logDet=-52.14392423285697"
-1,"EXCHANGE=10/35/30/25->10/40/30/20;logDet=-51.94861041151137"
-1,"EXCHANGE=10/30/30/30->20/40/30/10;logDet=-51.867226846882616"
-1,"EXCHANGE=15/45/10/30->10/50/10/30;logDet=-51.84072005257994"
