index,G1_CMAX,G4_BALANCED,G2_TEC,G3_TWC,mixtureHash
0,10,30,30,30,a7a54ed18512c295932b4409cc6f4951844558cfd6eb9a8b7532224262fac0f3
1,10,35,25,30,68b146143b8a8fc581456e8a9fa98b041f70255ab9abb7eb6cae36dd61963a57
2,10,35,30,25,7b22ef5c22ab279462ff10c34a25adc801b4d1292b609940681b6c53af3daa2b
3,10,40,20,30,f012be3e4ec458521327832a10a2a4b99451c1fb5ee63299bffe3fe80afe223f
4,10,40,25,25,5b23301cfc55bbcf9bc724ac322534cb06eba12eae507459303965785e0d76a7
5,10,40,30,20,a201dc31d36557b3230043d683d1f6b72cf8292248080e9424b14f4e2aa9ea6e
6,10,45,15,30,635210161bf6cfa393401afc8a44cb70e97c1af6db42795728e28b06ff9323f2
7,10,45,20,25,670ff3dac52fb8ac99e40fddfd92f0eab45113753d3fec9597ac4ebaa8330ae8
8,10,45,25,20,40abf985f5372a409485d882d0f251d4a934caa3abf5e4e28d5d595721cf603f
9,10,45,30,15,522dbab4cc8724d66dadc5e938f012e8ead9647c51807469ed3fb76cd758ec7f
10,10,50,10,30,14d695d3ff8e5537307cb60dfd13fcae3dc3cffef81220a12570ee8b49d6a7c3
11,10,50,15,25,f5dbf7710396f760b19654cabe1c680d999f99d5f35793406289578febbbcb43
12,10,50,20,20,54e1a66229e83a740c7574d22248f703899bf14d17ed132d9286085ad9ece650
13,10,50,25,15,304b3701160ccbf4bf09ff41f212f9e18f3716d66d45d22670e52e25949ecf4d
14,10,50,30,10,e42689951ec4632848ca440cba361de9361c5b16fe332367fefed4b323402112
15,10,55,10,25,46bf42f16765519975b70407c5501f55423982b6a6dd9ebe0d2b8817cc67823d
16,10,55,15,20,e1bf2a9be8a8c422ad434c134cd0893b44713d7956560367a1bbfdac1140ca9e
17,10,55,20,15,44b95458c42df6f1d80bc7224dbed0710324f5b78eb40862ef7e31df813e63de
18,10,55,25,10,8c3990ef28ba28119179d018034dc81b0f5b711e543af8ba64dabdcba9ba4116
19,10,60,10,20,82dc58807a8d99571db5992458628176eb0a2e0df06fc97b00079be6bfcde339
20,10,60,15,15,7f4b8e997c2904d43ccd9da9caeb80018dc66105ee5723e97c4c48a6d6055bde
21,10,60,20,10,7a684d33d46336d2149aaf6931037551b18f54a32e6be9db0791f6890c589eb5
22,15,25,30,30,fa410aee99d2b56bb026a8f8d69173449759581d06a814aed5063270aa786eab
23,15,30,25,30,4994a67cf601d0621fafbd645224f6aad05b3b437c7939468d19f31be0a5dbc9
24,15,30,30,25,ac3c4f40f4bf6cf33010234495c00bed34f0a624ee7140083cb7b9f3a7021288
25,15,35,20,30,b34006317e43e1be6832533acc98a87db8a30ebd6489608fe94cf575a19d573b
26,15,35,25,25,1b0f7fa4f6a8bb659c047e7df176cadb18faab8bf35b7257aee1a62b6b2fdcb8
27,15,35,30,20,665135c4fe9bf267711427a14365a941ac7c544803d05c5c854b7b91ff6dc0e3
28,15,40,15,30,7e2ba2cc6f3a2c877db93140a308ab41cf0d7127682b830a64741ed6881d86c3
29,15,40,20,25,008c140c451303f1208105ea3a9463ad8f0495f6e9e34580b3e0392972a0a2d6
30,15,40,25,20,17d12b83b1822ce9f18f05131aba40b3a378decbb2d77ad91e3a3e92ff4df565
31,15,40,30,15,51b8410d86a12c3d77dc46275cb41406eec88aaa97d1e074e1b6ef576a8d4dfb
32,15,45,10,30,14e8ee42a595c61f5679b3c7163b8c626dec2b87f21b3cd01b0000cc9973337e
33,15,45,15,25,b615ebbd4e99cb3efd63fe0181fc54781827ad6d8a0b5c4a08ba32ba46867789
34,15,45,20,20,c9d15b1bb5a9a1277ee8d859c92e1748a28967f98bb429e38e7b5d11f145e5e4
35,15,45,25,15,93b3d9ecdde8f9635d0b74e395f7f8980d56433887a235cbc71b648043c29cad
36,15,45,30,10,35b91c7f5cccfb96342fb57f84ef56537b65ec8a41575327072b6e9f08357b07
37,15,50,10,25,285642650a3f8ad705e4295b7655a0d97ac16cbdb8b453b5570a0aa7a6cc5c19
38,15,50,15,20,9a7ccbd23499333fe1f667d8f51fca9803c4001f58b71f5e80edede34f3f3aab
39,15,50,20,15,776b801a1e8c757769801b3dab020c77f1fc2acfd628647e6fec8602f65ff7c3
40,15,50,25,10,d0cbda7e0049af955f5e5cf77f5018fa5e48ef21084dbe1f327f533743a3fec8
41,15,55,10,20,3b8a1e6b7b60ae5f87e0a9bcda9a99e9da2682dd7237fd83ac95019f745b5e3c
42,15,55,15,15,51b495db97c90ad7bc872a6827c159321785292a734725825a7982ccc45e8c44
43,15,55,20,10,cd8294e447902a99dcad37a4501a09b5a44f7555452fd4b14522d0d41ca40df9
44,15,60,10,15,5c295d42318b8afeeed256ce2bdb4cecd54516b0ac15dcf6ca6f125baaa06412
45,15,60,15,10,c920bdd0454468de346c4be68f1844b1d214ad53705e45f2e0b4834190545dba
46,20,25,25,30,f543a73e65b78a7bd16686d88e73ad0dc9d160ca157b97455fe6d6cb127fe585
47,20,25,30,25,55efd83d23b6baa4fed958ef340a1c37587c4a5e0533dbab58506441d698e8b2
48,20,30,20,30,8a7ba1d7a7e3c274ef6c25f2989bad53c75c5de6a43bcb81c2a546dfec7e16eb
49,20,30,25,25,f65c55009aace55b21c3f304125bdb24c19bcc9804ba87b23f1aa2f0fb23f96c
50,20,30,30,20,b9fcaa78e29cf485b2c624c731e2574d7ccdc99eff9ba7ea09265bbc1c6f9eef
51,20,35,15,30,61df64a962845c5be9da26453715a8e5f1b1c8114d9916168667bd5723ff35b7
52,20,35,20,25,b57f67954f41e9910948347e292bd4bd88dcc898811c8f40c9f0ad869213487f
53,20,35,25,20,e7b6555b3adc3ab092629bd9ebb4a6097889681e140f030078a05acb56da7764
54,20,35,30,15,93d2a029640d509dfc0475be832e338ca8c8732e67ca7921c34e0ae49cc71f42
55,20,40,10,30,535b2c57544983e16ce0e2fbbbf3875c1003d8ed2219a1e96d5d55d6789624e7
56,20,40,15,25,2b2a0e877377a11db27dbce335816aac7af22b3f403b450451a2975d7d06a36d
57,20,40,20,20,7dee88952ca12071bc76ca6e110eb74dcaa03aa85a3340a6f39dbe75ec8a8c69
58,20,40,25,15,db02e80faffa3defe2bb8100c5d59e26ef02b39c1d82d6877028bbd4387d9aee
59,20,40,30,10,9f5715c606e31e5fb00fb123d6634a5f4167da6b7bfd8f6b0b7a3eca66d6cd33
60,20,45,10,25,07ad84780a6c5a4651510a408a84cb164efec1c07adf8bf73e70b9b95de3cc26
61,20,45,15,20,3e6343e886604d27c02a92adbc943adc88aea918e69837c2cdf1bb41e81f8a53
62,20,45,20,15,98f683e18fc6c1d8e4e653d98b59dc95f6195c74009014ff6aff9561e71bdafb
63,20,45,25,10,91b4b5b0e022dbeae78c8268cc4de425b6ce9a65310fc801ab4d7edf13e31e22
64,20,50,10,20,f71dc27d4e42aa2a96bfd5e6b193f1d8f555a8fda7ce11272d4983970313e260
65,20,50,15,15,4903813339a85ccdbcc6b7ad2663212980cf0f30254a59fe2e39e1bc1fdcf432
66,20,50,20,10,decbedc954eb6795a39ba27c6d43ca7705623bbc9b50616c8cff8bf035546445
67,20,55,10,15,2525028726d79759651acd1a83f8b100f726511782f7b465b5883b1f9ca03478
68,20,55,15,10,e533bb01da774db5660d4e48d8aaf66caa784df8fd34445593ffda3db13dcd67
69,20,60,10,10,e1893313572a138bd4686b1468e39bb43002f42ef9a39280156a59398f6f83d9
70,25,25,20,30,74e9dd9981e870e9e4c0b42bb4e990246943bb117d06ba238055dc31d670d91d
71,25,25,25,25,60b802f24883d500c0171352ca11d815fe4f0b80018ebe67e11c31fa55ead92a
72,25,25,30,20,6f2f18767e909d7b8402c47d2f8ad0f2ef9c381b7287fe30703cc4b37a599869
73,25,30,15,30,87e578eb584762b4e800a87d21601534ac8e6fb1c7ece5ead630119df1f06dd5
74,25,30,20,25,66bdd5082f79d8bd4e4a52394efad8d922d501b37e62ce1930af84c0940bfa6b
75,25,30,25,20,0960b8cb6ded81d7a8f3b585dab612420b7c706b1c9f390c1b310a6a711f2801
76,25,30,30,15,2ec09c6ab886a7092ef2f5076f7070fcba1d5631a7052c6950a65c2242ba4f1b
77,25,35,10,30,8fdc0f6a724efa475570180db36f83234c6ebdcce4011860cc6d60e5701a3803
78,25,35,15,25,f08d4c8d59f68836db1cce27404fca0c56ac73a96b64dbec2fd3903cea46ae28
79,25,35,20,20,8797b6eb9d0261d65f2f1dfa5ad777b6c2f7997aa7dd4eb0e2b64d22a097c179
80,25,35,25,15,dfdbd1112a7c6a5a89a23a4504e39ebd6e685d535fd3e0c356cff13da1a96f7b
81,25,35,30,10,4fb84b47f77372bd4fab06c5ff45a3b3fa825c53d43906b4ee4d94a747879d0e
82,25,40,10,25,94f64c107094c55757edc21215bdd5875ac3dbaeed7a0ba3f16460660592709c
83,25,40,15,20,f37937e936149ee7161d08fc673a980b1e788dfd7493eb06b815c4635942bd8a
84,25,40,20,15,53dc3234c7b4cbef840c9887038e8ad9e089cb790d6c96558d775276bce5b844
85,25,40,25,10,c5a7848cd5246ff60658117f119cd9d59c34186bb9f766d8870045dfe9e4e10a
86,25,45,10,20,0faf7e1729695c7cb6ad55cd5eecef118fabc31ccca03bd6d3b979a34d35d0a3
87,25,45,15,15,e2f9309e22cbe2f9e9734f82397668a2e59cb9a476c0fbfe60479a9c19c1fb3d
88,25,45,20,10,857b94e0b14738e7ca3a658de69640e4a2f9144e232fd9d1d76c289d2533ba04
89,25,50,10,15,797d71ef8e485d9b858dc130daf47b6d721d26f939a581f11b80823d37246cc2
90,25,50,15,10,c1d26fa79a5ba4c8f3a55a7fdd027aae2c42ce1d2b37566b2a2b3dc781cd1539
91,25,55,10,10,45001e579c0c2a805435d3c9eaaf95bc1bedf048ab550f2c24e8904b7eabaac0
92,30,25,15,30,f88c4a53142732432d8c575bbc2e4fb1edbf5f2f0047709065f4a6f920f1b285
93,30,25,20,25,e53ac0d2fdf46743022fc0712844ee3d2a9c2ac4ea1622ec6d538b9611a7750b
94,30,25,25,20,07e8a0bb2ec16278d20d1a9f22e92a486931ff8db010fa5abfb1ed1567e5a39e
95,30,25,30,15,30e79d7e878dc79a843501209c6836f1228377336f99a8b687ac0cb35d101899
96,30,30,10,30,ec310e5b9aef5f25fe5491369637624d3046ec967e0bee7b215ebeef7ffbe67e
97,30,30,15,25,8ef9a80e70c73aef933e14f7262053d1f851e07e896ffbaec779cad4be406322
98,30,30,20,20,2cd3120dfdb2fb7b074e6bac7fe53f78865a6c1ec3b124abcf821c76db75f843
99,30,30,25,15,e434fc7edc3e64eb11d94728ea370a2c0de2e3657b022cf3e093a252062a3bd2
100,30,30,30,10,b4b1f3db69b40292df2519e8d97a7bdf02ee2f24e94fdb6992edeb6d3a378863
