treatment,mixture,mixtureHash,forced
0,10/40/20/30,f012be3e4ec458521327832a10a2a4b99451c1fb5ee63299bffe3fe80afe223f,false
1,10/40/30/20,a201dc31d36557b3230043d683d1f6b72cf8292248080e9424b14f4e2aa9ea6e,false
2,10/50/10/30,14d695d3ff8e5537307cb60dfd13fcae3dc3cffef81220a12570ee8b49d6a7c3,false
3,10/50/30/10,e42689951ec4632848ca440cba361de9361c5b16fe332367fefed4b323402112,false
4,10/60/10/20,82dc58807a8d99571db5992458628176eb0a2e0df06fc97b00079be6bfcde339,false
5,10/60/20/10,7a684d33d46336d2149aaf6931037551b18f54a32e6be9db0791f6890c589eb5,false
6,15/25/30/30,fa410aee99d2b56bb026a8f8d69173449759581d06a814aed5063270aa786eab,false
7,15/55/15/15,51b495db97c90ad7bc872a6827c159321785292a734725825a7982ccc45e8c44,true
8,20/40/20/20,7dee88952ca12071bc76ca6e110eb74dcaa03aa85a3340a6f39dbe75ec8a8c69,true
9,20/40/30/10,9f5715c606e31e5fb00fb123d6634a5f4167da6b7bfd8f6b0b7a3eca66d6cd33,false
10,20/60/10/10,e1893313572a138bd4686b1468e39bb43002f42ef9a39280156a59398f6f83d9,false
11,25/25/25/25,60b802f24883d500c0171352ca11d815fe4f0b80018ebe67e11c31fa55ead92a,true
12,30/30/10/30,ec310e5b9aef5f25fe5491369637624d3046ec967e0bee7b215ebeef7ffbe67e,false
13,30/30/30/10,b4b1f3db69b40292df2519e8d97a7bdf02ee2f24e94fdb6992edeb6d3a378863,false
14,30/50/10/10,cd45e2fd8903c0c119f0033eac545082642496fedc8f723daec91921f955b87f,false
