treatment,mixture,instance,seed,status,FE,frontSize,initialPopulationHash,reason
0,10/40/20/30,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
1,10/40/30/20,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
2,10/50/10/30,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
3,10/50/30/10,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
4,10/60/10/20,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
5,10/60/20/10,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
6,15/25/30/30,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
7,15/55/15/15,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
8,20/40/20/20,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
9,20/40/30/10,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
10,20/60/10/10,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
11,25/25/25/25,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
12,30/30/10/30,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
13,30/30/30/10,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
14,30/50/10/10,20_2_3_1,20260822,COMPLETED,100,37,58c4c3b6be9869b3666595618cbd11ef9d076ebc4ff6f60e1321d0f63b2f4b00,BUDGET_OR_NORMAL_STOP
