sequence,factory,stage,machine,job,start,end,actualDuration,energy
0,0,0,1,9,0.0000000000000000,9.5000000000000000,9.5000000000000000,95.000000000000000
1,0,0,0,3,9.5000000000000000,19.500000000000000,10.000000000000000,70.000000000000000
2,0,0,0,6,19.500000000000000,32.000000000000000,12.500000000000000,87.500000000000000
3,0,0,2,1,19.500000000000000,34.807692307692310,15.307692307692307,183.69230769230768
4,0,0,1,8,32.000000000000000,45.611111111111114,13.611111111111110,158.61111111111111
5,0,1,0,9,9.5000000000000000,17.227272727272727,7.7272727272727270,69.545454545454530
6,0,1,1,3,19.500000000000000,33.797520661157020,14.297520661157023,114.38016528925618
7,0,1,0,6,33.797520661157020,48.342975206611570,14.545454545454543,147.47933884297518
8,0,1,1,1,34.807692307692310,48.141025641025635,13.333333333333332,107.67683831320194
9,0,1,1,8,48.342975206611570,57.516528925619830,9.1735537190082630,73.590379317652040
10,1,0,1,5,0.0000000000000000,7.7272727272727275,7.7272727272727275,61.818181818181820
11,1,0,1,4,7.7272727272727275,17.809917355371900,10.082644628099173,80.661157024793380
12,1,0,0,7,17.809917355371900,32.355371900826450,14.545454545454545,101.81818181818181
13,1,0,0,2,32.355371900826450,44.022038567493110,11.666666666666666,81.666666666666660
14,1,0,1,0,44.022038567493110,52.431129476584020,8.4090909090909080,93.484848484848470
15,1,1,0,5,7.7272727272727275,21.893939393939394,14.166666666666666,99.166666666666660
16,1,1,1,4,21.893939393939394,35.505050505050505,13.611111111111110,108.88888888888889
17,1,1,2,7,35.505050505050505,48.282828282828284,12.777777777777777,76.666666666666660
18,1,1,0,2,44.022038567493110,60.688705234159780,16.666666666666664,138.79476584022038
19,1,1,1,0,52.431129476584020,58.820018365472905,6.3888888888888880,68.037190082644630
