job,finalCompletion
0,58.820018365472905
1,48.141025641025635
2,60.688705234159780
3,33.797520661157020
4,35.505050505050505
5,21.893939393939394
6,48.342975206611570
7,48.282828282828284
8,57.516528925619830
9,17.227272727272727
