sequence,job,stage,factory,machine,worker,predecessorCompletion,machineAvailableBefore,workerAvailableBefore,start,recoveryDuration,fatigueBeforeRecovery,fatigueAtStart,ST,SUT,machineSpeed,machinePower,workerEfficiency,workerCost,lambda,muCurrentStage,recoveryMu,r,delta,baseProcessing,baseSetup,baseAT,fatigueMultiplier,actualProcessing,actualSetup,actualAT,end,fatigueAfter,energy,cost,safeThresholdExceeded
0,9,0,0,1,1,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,9,2,1.2000000000000000,10,1.0000000000000000,10,0.019031052517911810,0.042003943265363816,0.042003943265363816,0.30000000000000000,22.742226782219984,7.5000000000000000,2.0000000000000000,9.5000000000000000,1.0000000000000000,7.5000000000000000,2.0000000000000000,9.5000000000000000,9.5000000000000000,0.0000000000000000,95.000000000000000,95.000000000000000,false
1,3,0,0,0,1,0.0000000000000000,0.0000000000000000,9.5000000000000000,9.5000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,9,1,1.0000000000000000,7,1.0000000000000000,10,0.019031052517911810,0.042003943265363816,0.042003943265363816,0.30000000000000000,22.742226782219984,9.0000000000000000,1.0000000000000000,10.000000000000000,1.0000000000000000,9.0000000000000000,1.0000000000000000,10.000000000000000,19.500000000000000,0.0000000000000000,70.000000000000000,100.00000000000000,false
2,6,0,0,0,0,0.0000000000000000,19.500000000000000,0.0000000000000000,19.500000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,13,2,1.0000000000000000,7,1.2000000000000000,12,0.026910216099651475,0.034574509866280250,0.034574509866280250,0.30000000000000000,16.083427597309207,10.833333333333334,1.6666666666666667,12.500000000000000,1.0000000000000000,10.833333333333334,1.6666666666666667,12.500000000000000,32.000000000000000,0.0000000000000000,87.500000000000000,150.00000000000000,false
3,1,0,0,2,1,0.0000000000000000,0.0000000000000000,19.500000000000000,19.500000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,16,3,1.3000000000000000,12,1.0000000000000000,10,0.019031052517911810,0.042003943265363816,0.042003943265363816,0.30000000000000000,22.742226782219984,12.307692307692307,3.0000000000000000,15.307692307692307,1.0000000000000000,12.307692307692307,3.0000000000000000,15.307692307692307,34.807692307692310,0.0000000000000000,183.69230769230768,153.07692307692307,false
4,8,0,0,1,0,0.0000000000000000,9.5000000000000000,32.000000000000000,32.000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,16,3,1.2000000000000000,10,1.2000000000000000,12,0.026910216099651475,0.034574509866280250,0.034574509866280250,0.30000000000000000,16.083427597309207,11.111111111111110,2.5000000000000000,13.611111111111110,1.0000000000000000,11.111111111111110,2.5000000000000000,13.611111111111110,45.611111111111114,0.0000000000000000,158.61111111111111,433.33333333333337,false
5,9,1,0,0,3,9.5000000000000000,0.0000000000000000,0.0000000000000000,9.5000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,9,1,1.2000000000000000,9,1.1000000000000000,11,0.024516346668978548,0.043395852293984480,0.043395852293984480,0.30000000000000000,17.653874702887027,6.8181818181818175,0.90909090909090910,7.7272727272727270,1.0000000000000000,6.8181818181818175,0.90909090909090910,7.7272727272727270,17.227272727272727,0.0000000000000000,69.545454545454530,85.000000000000000,false
6,3,1,0,1,3,19.500000000000000,0.0000000000000000,17.227272727272727,19.500000000000000,2.2727272727272734,0.0000000000000000,0.0000000000000000,14,3,1.1000000000000000,8,1.1000000000000000,11,0.024516346668978548,0.043395852293984480,0.043395852293984480,0.30000000000000000,17.653874702887027,11.570247933884296,2.7272727272727270,14.297520661157023,1.0000000000000000,11.570247933884296,2.7272727272727270,14.297520661157023,33.797520661157020,0.0000000000000000,114.38016528925618,157.27272727272725,false
7,6,1,0,0,3,32.000000000000000,17.227272727272727,33.797520661157020,33.797520661157020,0.0000000000000000,0.0000000000000000,0.0000000000000000,18,1,1.2000000000000000,9,1.1000000000000000,11,0.024516346668978548,0.043395852293984480,0.043395852293984480,0.30000000000000000,17.653874702887027,13.636363636363635,0.90909090909090910,14.545454545454543,1.0000000000000000,13.636363636363635,0.90909090909090910,14.545454545454543,48.342975206611570,0.0000000000000000,147.47933884297518,342.27272727272725,false
8,1,1,0,1,2,34.807692307692310,33.797520661157020,0.0000000000000000,34.807692307692310,0.0000000000000000,0.0000000000000000,0.0000000000000000,11,2,1.1000000000000000,8,0.90000000000000000,9,0.012729338129720998,0.065342985380131170,0.065342985380131170,0.30000000000000000,34.000865391119540,11.111111111111110,2.2222222222222223,13.333333333333332,1.0000000000000000,11.111111111111110,2.2222222222222223,13.333333333333332,48.141025641025635,0.0000000000000000,107.67683831320194,129.09154481881754,false
9,8,1,0,1,3,45.611111111111114,48.141025641025635,48.342975206611570,48.342975206611570,0.0000000000000000,0.0000000000000000,0.0000000000000000,10,1,1.1000000000000000,8,1.1000000000000000,11,0.024516346668978548,0.043395852293984480,0.043395852293984480,0.30000000000000000,17.653874702887027,8.2644628099173540,0.90909090909090910,9.1735537190082630,1.0000000000000000,8.2644628099173540,0.90909090909090910,9.1735537190082630,57.516528925619830,0.0000000000000000,73.590379317652040,103.13053613053617,false
10,5,0,1,1,1,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,8,2,1.1000000000000000,8,1.2000000000000000,12,0.014007937494133423,0.067304527860011370,0.067304527860011370,0.30000000000000000,30.897376037546632,6.0606060606060606,1.6666666666666667,7.7272727272727275,1.0000000000000000,6.0606060606060606,1.6666666666666667,7.7272727272727275,7.7272727272727275,0.0000000000000000,61.818181818181820,92.727272727272730,false
11,4,0,1,1,0,0.0000000000000000,7.7272727272727275,0.0000000000000000,7.7272727272727275,0.0000000000000000,0.0000000000000000,0.0000000000000000,10,2,1.1000000000000000,8,1.1000000000000000,11,0.012935701129515060,0.063507722404199880,0.063507722404199880,0.30000000000000000,33.458450217217900,8.2644628099173540,1.8181818181818181,10.082644628099173,1.0000000000000000,8.2644628099173540,1.8181818181818181,10.082644628099173,17.809917355371900,0.0000000000000000,80.661157024793380,110.90909090909090,false
12,7,0,1,0,0,0.0000000000000000,0.0000000000000000,17.809917355371900,17.809917355371900,0.0000000000000000,0.0000000000000000,0.0000000000000000,14,2,1.0000000000000000,7,1.1000000000000000,11,0.012935701129515060,0.063507722404199880,0.063507722404199880,0.30000000000000000,33.458450217217900,12.727272727272727,1.8181818181818181,14.545454545454545,1.0000000000000000,12.727272727272727,1.8181818181818181,14.545454545454545,32.355371900826450,0.0000000000000000,101.81818181818181,160.00000000000000,false
13,2,0,1,0,1,0.0000000000000000,32.355371900826450,7.7272727272727275,32.355371900826450,24.628099173553720,0.0000000000000000,0.0000000000000000,12,2,1.0000000000000000,7,1.2000000000000000,12,0.014007937494133423,0.067304527860011370,0.067304527860011370,0.30000000000000000,30.897376037546632,10.000000000000000,1.6666666666666667,11.666666666666666,1.0000000000000000,10.000000000000000,1.6666666666666667,11.666666666666666,44.022038567493110,0.0000000000000000,81.666666666666660,140.00000000000000,false
14,0,0,1,1,1,0.0000000000000000,17.809917355371900,44.022038567493110,44.022038567493110,0.0000000000000000,0.0000000000000000,0.0000000000000000,10,1,1.1000000000000000,8,1.2000000000000000,12,0.014007937494133423,0.067304527860011370,0.067304527860011370,0.30000000000000000,30.897376037546632,7.5757575757575750,0.83333333333333340,8.4090909090909080,1.0000000000000000,7.5757575757575750,0.83333333333333340,8.4090909090909080,52.431129476584020,0.0000000000000000,93.484848484848470,415.45454545454540,false
15,5,1,1,0,2,7.7272727272727275,0.0000000000000000,0.0000000000000000,7.7272727272727275,0.0000000000000000,0.0000000000000000,0.0000000000000000,15,2,1.0000000000000000,7,1.2000000000000000,12,0.027304451263626864,0.068284500916848100,0.068284500916848100,0.30000000000000000,15.851207119596910,12.500000000000000,1.6666666666666667,14.166666666666666,1.0000000000000000,12.500000000000000,1.6666666666666667,14.166666666666666,21.893939393939394,0.0000000000000000,99.166666666666660,170.00000000000000,false
16,4,1,1,1,2,17.809917355371900,0.0000000000000000,21.893939393939394,21.893939393939394,0.0000000000000000,0.0000000000000000,0.0000000000000000,16,3,1.2000000000000000,8,1.2000000000000000,12,0.027304451263626864,0.068284500916848100,0.068284500916848100,0.30000000000000000,15.851207119596910,11.111111111111110,2.5000000000000000,13.611111111111110,1.0000000000000000,11.111111111111110,2.5000000000000000,13.611111111111110,35.505050505050505,0.0000000000000000,108.88888888888889,163.33333333333331,false
17,7,1,1,2,2,32.355371900826450,0.0000000000000000,35.505050505050505,35.505050505050505,0.0000000000000000,0.0000000000000000,0.0000000000000000,12,2,0.90000000000000000,6,1.2000000000000000,12,0.027304451263626864,0.068284500916848100,0.068284500916848100,0.30000000000000000,15.851207119596910,11.111111111111110,1.6666666666666667,12.777777777777777,1.0000000000000000,11.111111111111110,1.6666666666666667,12.777777777777777,48.282828282828284,0.0000000000000000,76.666666666666660,153.33333333333331,false
18,2,1,1,0,3,44.022038567493110,21.893939393939394,0.0000000000000000,44.022038567493110,0.0000000000000000,0.0000000000000000,0.0000000000000000,12,3,1.0000000000000000,7,0.90000000000000000,9,0.013579305034188385,0.066138648916623470,0.066138648916623470,0.30000000000000000,31.872655572359147,13.333333333333332,3.3333333333333330,16.666666666666664,1.0000000000000000,13.333333333333332,3.3333333333333330,16.666666666666664,60.688705234159780,0.0000000000000000,138.79476584022038,349.15289256198344,false
19,0,1,1,1,2,52.431129476584020,35.505050505050505,48.282828282828284,52.431129476584020,4.1483011937557350,0.0000000000000000,0.0000000000000000,8,1,1.2000000000000000,8,1.2000000000000000,12,0.027304451263626864,0.068284500916848100,0.068284500916848100,0.30000000000000000,15.851207119596910,5.5555555555555550,0.83333333333333340,6.3888888888888880,1.0000000000000000,5.5555555555555550,0.83333333333333340,6.3888888888888880,58.820018365472905,0.0000000000000000,68.037190082644630,279.77961432506885,false
