scope,job,stage,field,p3Value,fm0Value,absoluteError,passed
common_append_semantics,9,0,factory,0,0,0,true
common_append_semantics,9,0,machine,1,1,0,true
common_append_semantics,9,0,worker,1,1,0,true
first_stage_direct_mapping,9,0,start,0.000000000000,0.0000000000000000,0,true
first_stage_direct_mapping,9,0,setup,2.000000000000,2.0000000000000000,0,true
first_stage_direct_mapping,9,0,processing,7.500000000000,7.5000000000000000,0,true
first_stage_direct_mapping,9,0,end,9.500000000000,9.5000000000000000,0,true
common_append_semantics,3,0,factory,0,0,0,true
common_append_semantics,3,0,machine,0,0,0,true
common_append_semantics,3,0,worker,1,1,0,true
first_stage_direct_mapping,3,0,start,9.500000000000,9.5000000000000000,0,true
first_stage_direct_mapping,3,0,setup,1.000000000000,1.0000000000000000,0,true
first_stage_direct_mapping,3,0,processing,9.000000000000,9.0000000000000000,0,true
first_stage_direct_mapping,3,0,end,19.500000000000,19.500000000000000,0,true
common_append_semantics,6,0,factory,0,0,0,true
common_append_semantics,6,0,machine,0,0,0,true
common_append_semantics,6,0,worker,0,0,0,true
first_stage_direct_mapping,6,0,start,19.500000000000,19.500000000000000,0,true
first_stage_direct_mapping,6,0,setup,1.666666666667,1.6666666666666667,3.3328895199247199e-13,true
first_stage_direct_mapping,6,0,processing,10.833333333333,10.833333333333334,3.3395508580724709e-13,true
first_stage_direct_mapping,6,0,end,32.000000000000,32.000000000000000,0,true
common_append_semantics,1,0,factory,0,0,0,true
common_append_semantics,1,0,machine,2,2,0,true
common_append_semantics,1,0,worker,1,1,0,true
first_stage_direct_mapping,1,0,start,19.500000000000,19.500000000000000,0,true
first_stage_direct_mapping,1,0,setup,3.000000000000,3.0000000000000000,0,true
first_stage_direct_mapping,1,0,processing,12.307692307692,12.307692307692307,3.0730973321624333e-13,true
first_stage_direct_mapping,1,0,end,34.807692307692,34.807692307692310,3.0553337637684308e-13,true
common_append_semantics,8,0,factory,0,0,0,true
common_append_semantics,8,0,machine,1,1,0,true
common_append_semantics,8,0,worker,0,0,0,true
first_stage_direct_mapping,8,0,start,32.000000000000,32.000000000000000,0,true
first_stage_direct_mapping,8,0,setup,2.500000000000,2.5000000000000000,0,true
first_stage_direct_mapping,8,0,processing,11.111111111111,11.111111111111110,1.1013412404281553e-13,true
first_stage_direct_mapping,8,0,end,45.611111111111,45.611111111111114,1.1368683772161603e-13,true
common_append_semantics,9,1,factory,0,0,0,true
common_append_semantics,3,1,factory,0,0,0,true
common_append_semantics,6,1,factory,0,0,0,true
common_append_semantics,1,1,factory,0,0,0,true
common_append_semantics,8,1,factory,0,0,0,true
common_append_semantics,5,0,factory,1,1,0,true
common_append_semantics,5,0,machine,1,1,0,true
common_append_semantics,5,0,worker,1,1,0,true
first_stage_direct_mapping,5,0,start,0.000000000000,0.0000000000000000,0,true
first_stage_direct_mapping,5,0,setup,1.666666666667,1.6666666666666667,3.3328895199247199e-13,true
first_stage_direct_mapping,5,0,processing,6.060606060606,6.0606060606060606,6.0396132539608516e-14,true
first_stage_direct_mapping,5,0,end,7.727272727273,7.7272727272727275,2.7267077484793845e-13,true
common_append_semantics,4,0,factory,1,1,0,true
common_append_semantics,4,0,machine,1,1,0,true
common_append_semantics,4,0,worker,0,0,0,true
first_stage_direct_mapping,4,0,start,7.727272727273,7.7272727272727275,2.7267077484793845e-13,true
first_stage_direct_mapping,4,0,setup,1.818181818182,1.8181818181818181,1.8185453143360064e-13,true
first_stage_direct_mapping,4,0,processing,8.264462809917,8.2644628099173540,3.5527136788005009e-13,true
first_stage_direct_mapping,4,0,end,17.809917355372,17.809917355371900,9.9475983006414026e-14,true
common_append_semantics,7,0,factory,1,1,0,true
common_append_semantics,7,0,machine,0,0,0,true
common_append_semantics,7,0,worker,0,0,0,true
first_stage_direct_mapping,7,0,start,17.809917355372,17.809917355371900,9.9475983006414026e-14,true
first_stage_direct_mapping,7,0,setup,1.818181818182,1.8181818181818181,1.8185453143360064e-13,true
first_stage_direct_mapping,7,0,processing,12.727272727273,12.727272727272727,2.7355895326763857e-13,true
first_stage_direct_mapping,7,0,end,32.355371900826,32.355371900826450,4.4764192352886312e-13,true
common_append_semantics,2,0,factory,1,1,0,true
common_append_semantics,2,0,machine,0,0,0,true
common_append_semantics,2,0,worker,1,1,0,true
first_stage_direct_mapping,2,0,start,32.355371900826,32.355371900826450,4.4764192352886312e-13,true
first_stage_direct_mapping,2,0,setup,1.666666666667,1.6666666666666667,3.3328895199247199e-13,true
first_stage_direct_mapping,2,0,processing,10.000000000000,10.000000000000000,0,true
first_stage_direct_mapping,2,0,end,44.022038567493,44.022038567493110,1.1368683772161603e-13,true
common_append_semantics,0,0,factory,1,1,0,true
common_append_semantics,0,0,machine,1,1,0,true
common_append_semantics,0,0,worker,1,1,0,true
first_stage_direct_mapping,0,0,start,44.022038567493,44.022038567493110,1.1368683772161603e-13,true
first_stage_direct_mapping,0,0,setup,0.833333333333,0.83333333333333340,3.3339997429493451e-13,true
first_stage_direct_mapping,0,0,processing,7.575757575758,7.5757575757575750,4.2454928461665986e-13,true
first_stage_direct_mapping,0,0,end,52.431129476584,52.431129476584020,2.1316282072803006e-14,true
common_append_semantics,5,1,factory,1,1,0,true
common_append_semantics,4,1,factory,1,1,0,true
common_append_semantics,7,1,factory,1,1,0,true
common_append_semantics,2,1,factory,1,1,0,true
common_append_semantics,0,1,factory,1,1,0,true
ETC_FIFO_order,9,1,factory0.ordinal0,9,9,0,true
ETC_FIFO_order,3,1,factory0.ordinal1,3,3,0,true
ETC_FIFO_order,6,1,factory0.ordinal2,6,6,0,true
ETC_FIFO_order,1,1,factory0.ordinal3,1,1,0,true
ETC_FIFO_order,8,1,factory0.ordinal4,8,8,0,true
ETC_FIFO_order,5,1,factory1.ordinal0,5,5,0,true
ETC_FIFO_order,4,1,factory1.ordinal1,4,4,0,true
ETC_FIFO_order,7,1,factory1.ordinal2,7,7,0,true
ETC_FIFO_order,2,1,factory1.ordinal3,2,2,0,true
ETC_FIFO_order,0,1,factory1.ordinal4,0,0,0,true
