sequence,factory,worker,job,start,end,actualDuration,cost
0,0,1,9,0.0000000000000000,9.5000000000000000,9.5000000000000000,95.000000000000000
1,0,1,3,9.5000000000000000,19.500000000000000,10.000000000000000,100.00000000000000
2,0,0,6,19.500000000000000,32.000000000000000,12.500000000000000,150.00000000000000
3,0,1,1,19.500000000000000,34.807692307692310,15.307692307692307,153.07692307692307
4,0,0,8,32.000000000000000,45.611111111111114,13.611111111111110,433.33333333333337
5,0,3,9,9.5000000000000000,17.227272727272727,7.7272727272727270,85.000000000000000
6,0,3,3,19.500000000000000,33.797520661157020,14.297520661157023,157.27272727272725
7,0,3,6,33.797520661157020,48.342975206611570,14.545454545454543,342.27272727272725
8,0,2,1,34.807692307692310,48.141025641025635,13.333333333333332,129.09154481881754
9,0,3,8,48.342975206611570,57.516528925619830,9.1735537190082630,103.13053613053617
10,1,1,5,0.0000000000000000,7.7272727272727275,7.7272727272727275,92.727272727272730
11,1,0,4,7.7272727272727275,17.809917355371900,10.082644628099173,110.90909090909090
12,1,0,7,17.809917355371900,32.355371900826450,14.545454545454545,160.00000000000000
13,1,1,2,32.355371900826450,44.022038567493110,11.666666666666666,140.00000000000000
14,1,1,0,44.022038567493110,52.431129476584020,8.4090909090909080,415.45454545454540
15,1,2,5,7.7272727272727275,21.893939393939394,14.166666666666666,170.00000000000000
16,1,2,4,21.893939393939394,35.505050505050505,13.611111111111110,163.33333333333331
17,1,2,7,35.505050505050505,48.282828282828284,12.777777777777777,153.33333333333331
18,1,3,2,44.022038567493110,60.688705234159780,16.666666666666664,349.15289256198344
19,1,2,0,52.431129476584020,58.820018365472905,6.3888888888888880,279.77961432506885
