cycle,source,evaluated,accepted,superseded,enteredPddr,pddrSelected,pddrRejected,fe,regionAssignments,regionRoles,bestGeneratedCmax
1,GLOBAL_Q_FINAL,0,0,0,100,56,44,0,0,"{}",Infinity
1,PARENT,0,0,0,100,0,100,0,0,"{}",Infinity
1,CATA_TEST,95,36,22,14,8,6,95,0,"{}",950.5098640063387
1,CATA_APPLY,81,51,1,50,30,20,81,0,"{}",978.1873990024127
1,CRITICAL_SWAP,6,5,5,0,0,0,6,0,"{}",997.4287802486313
1,CRITICAL_INSERT,6,6,6,0,0,0,6,0,"{}",981.1074074814467
1,O1_O9,1479,130,124,6,6,0,1479,0,"{}",837.8162713280806
2,GLOBAL_Q_FINAL,0,0,0,100,58,42,0,0,"{}",Infinity
2,PARENT,0,0,0,100,6,94,0,0,"{}",Infinity
2,CATA_TEST,95,47,31,16,9,7,95,0,"{}",857.8949873002499
2,CATA_APPLY,81,36,0,36,21,15,81,0,"{}",832.813651590373
2,CRITICAL_SWAP,6,2,2,0,0,0,6,0,"{}",846.095860525182
2,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",867.8008895687576
2,O1_O9,1480,111,105,6,6,0,1480,0,"{}",790.0059881995185
3,GLOBAL_Q_FINAL,0,0,0,100,59,41,0,0,"{}",Infinity
3,PARENT,0,0,0,100,11,89,0,0,"{}",Infinity
3,CATA_TEST,100,52,35,17,10,7,100,0,"{}",799.615194685732
3,CATA_APPLY,80,26,0,26,14,12,80,0,"{}",787.187669184147
3,CRITICAL_SWAP,6,1,1,0,0,0,6,0,"{}",801.9315819171693
3,CRITICAL_INSERT,6,3,3,0,0,0,6,0,"{}",805.4737265230025
3,O1_O9,1479,75,69,6,6,0,1479,0,"{}",762.5459745763771
4,GLOBAL_Q_FINAL,0,0,0,100,59,41,0,0,"{}",Infinity
4,PARENT,0,0,0,100,15,85,0,0,"{}",Infinity
4,CATA_TEST,90,30,17,13,7,6,90,0,"{}",784.4499466380413
4,CATA_APPLY,82,37,1,36,14,22,82,0,"{}",774.1077156739271
4,CRITICAL_SWAP,6,1,1,0,0,0,6,0,"{}",814.1785930069811
4,CRITICAL_INSERT,6,2,2,0,0,0,6,0,"{}",782.186983405681
4,O1_O9,1491,60,54,6,5,1,1491,0,"{}",758.4870178215604
5,GLOBAL_Q_FINAL,0,0,0,100,27,73,0,0,"{}",Infinity
5,PARENT,0,0,0,100,53,47,0,0,"{}",Infinity
5,CATA_TEST,95,40,26,14,6,8,95,0,"{}",757.2330988153685
5,CATA_APPLY,81,33,0,33,9,24,81,0,"{}",776.0943965736719
5,CRITICAL_SWAP,6,0,0,0,0,0,6,0,"{}",792.4478758455502
5,CRITICAL_INSERT,6,1,1,0,0,0,6,0,"{}",785.163268134403
5,O1_O9,1493,68,62,6,5,1,1493,0,"{}",742.6037601787065
6,GLOBAL_Q_FINAL,0,0,0,100,19,81,0,0,"{}",Infinity
6,PARENT,0,0,0,100,65,35,0,0,"{}",Infinity
6,CATA_TEST,98,34,20,14,2,12,98,0,"{}",798.9781419533838
6,CATA_APPLY,80,49,0,49,12,37,80,0,"{}",751.4173897100823
6,CRITICAL_SWAP,6,1,1,0,0,0,6,0,"{}",821.8454899836748
6,CRITICAL_INSERT,6,3,3,0,0,0,6,0,"{}",784.8085699213806
6,O1_O9,1497,90,84,6,2,4,1497,0,"{}",731.7529763900486
7,GLOBAL_Q_FINAL,0,0,0,100,38,62,0,0,"{}",Infinity
7,PARENT,0,0,0,100,44,56,0,0,"{}",Infinity
7,CATA_TEST,99,40,23,17,5,12,99,0,"{}",751.2173369292557
7,CATA_APPLY,80,31,0,31,10,21,80,0,"{}",737.6303094299235
7,CRITICAL_SWAP,6,1,1,0,0,0,6,0,"{}",746.0193356725091
7,CRITICAL_INSERT,6,1,1,0,0,0,6,0,"{}",755.3379587942674
7,O1_O9,1504,51,45,6,3,3,1504,0,"{}",730.4904390043268
8,GLOBAL_Q_FINAL,0,0,0,100,24,76,0,0,"{}",Infinity
8,PARENT,0,0,0,100,56,44,0,0,"{}",Infinity
8,CATA_TEST,100,27,13,14,7,7,100,0,"{}",730.6084108544566
8,CATA_APPLY,80,38,0,38,11,27,80,0,"{}",734.0280868995255
8,CRITICAL_SWAP,6,0,0,0,0,0,6,0,"{}",749.8233529257374
8,CRITICAL_INSERT,6,3,3,0,0,0,6,0,"{}",748.4484821862881
8,O1_O9,1513,39,33,6,2,4,1513,0,"{}",727.901310790756
9,GLOBAL_Q_FINAL,0,0,0,100,16,84,0,0,"{}",Infinity
9,PARENT,0,0,0,100,76,24,0,0,"{}",Infinity
9,CATA_TEST,90,35,18,17,1,16,90,0,"{}",731.3008569303356
9,CATA_APPLY,82,47,2,45,6,39,82,0,"{}",738.5183680306884
9,CRITICAL_SWAP,6,1,1,0,0,0,6,0,"{}",758.6482051167068
9,CRITICAL_INSERT,6,2,2,0,0,0,6,0,"{}",771.9729491387386
9,O1_O9,1531,42,36,6,1,5,1531,0,"{}",732.871403815511
10,GLOBAL_Q_FINAL,0,0,0,100,6,94,0,0,"{}",Infinity
10,PARENT,0,0,0,100,88,12,0,0,"{}",Infinity
